,Card,Quantity,Mana-Cost,Card-Type,Card-Class
0,Flame Imp,2,1,Minion,Warlock
1,Grim Rally,2,1,Spell,Warlock
2,The Soularium,1,1,Spell,Warlock
3,Voidwalker,2,1,Minion,Warlock
4,Witchwood Imp,2,1,Minion,Warlock
5,Fiendish Circle,2,4,Spell,Warlock
6,Abusive Sergeant,2,1,Minion,Neutral
7,Crystallizer,2,1,Minion,Neutral
8,Mecharoo,2,1,Minion,Neutral
9,Dire Wolf Alpha,2,2,Minion,Neutral
10,Knife Juggler,2,2,Minion,Neutral
11,Scarab Egg,2,2,Minion,Neutral
12,Magic Carpet,2,3,Minion,Neutral
13,Microtech Controller,2,3,Minion,Neutral
14,Defender of Argus,1,4,Minion,Neutral
15,Sea Giant,2,10,Minion,Neutral
