,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Pizza,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 Pizza,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,30,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1
3,4,24,30,P2 Pizza,0,0,1,2,0,0,0,1,0,2,0,3,0,1,0,0,4,2,1
4,5,24,29,P1 Pizza,0,0,4,3,0,0,0,1,0,2,0,4,0,1,0,0,4,3,1
5,6,19,29,P2 Pizza,0,0,1,2,0,0,0,3,0,2,1,5,0,1,0,1,6,2,1
6,7,19,29,P1 Pizza,0,0,1,2,0,0,0,2,1,1,1,4,0,2,0,0,8,4,1
7,8,13,29,P2 Pizza,0,0,1,1,0,0,0,5,0,0,2,6,0,2,0,0,10,4,1
8,9,13,19,P1 Pizza,0,0,1,1,0,0,0,4,0,1,1,5,0,2,0,2,11,3,1
9,10,6,19,P2 Pizza,0,0,1,1,0,0,0,6,0,1,0,7,0,2,0,5,10,0,1
10,11,6,7,P1 Pizza,0,0,1,0,0,0,0,5,0,0,0,5,0,2,0,6,11,0,1
11,12,-2,7,P2 Pizza,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,6,10,0,1
12,1,30,30,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
13,2,30,30,P2 Pizza,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,2
14,3,30,29,P1 Pizza,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,2
15,4,26,29,P2 Pizza,0,0,1,2,0,0,0,1,1,1,1,3,0,2,0,0,4,2,2
16,5,26,20,P1 Pizza,0,0,1,2,0,0,0,2,0,2,0,4,0,0,0,1,5,2,2
17,6,22,20,P2 Pizza,0,0,1,1,0,0,0,1,0,1,1,2,0,2,0,1,6,2,2
18,7,22,13,P1 Pizza,0,0,1,2,0,0,0,3,0,2,0,5,0,0,0,0,9,4,2
19,8,15,13,P2 Pizza,0,0,1,3,0,0,0,2,0,3,0,5,0,2,0,0,10,4,2
20,9,15,3,P1 Pizza,0,0,1,2,0,0,0,4,2,0,3,6,0,2,0,0,14,5,2
21,10,-5,3,P2 Pizza,0,0,1,0,0,0,0,2,0,0,0,2,0,2,0,5,10,0,2
22,1,30,30,P1 Pizza,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
23,2,30,30,P2 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3
24,3,30,30,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,3
25,4,29,30,P2 Pizza,0,0,1,2,0,0,0,1,0,1,0,3,0,1,0,0,4,2,3
26,5,29,27,P1 Pizza,0,0,4,3,0,0,0,1,1,1,1,4,0,2,0,0,5,3,3
27,6,25,27,P2 Pizza,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,2,5,1,3
28,7,25,23,P1 Pizza,0,0,1,1,0,0,0,1,0,0,1,2,0,3,0,0,9,4,3
29,8,23,23,P2 Pizza,0,0,1,3,0,0,0,1,0,3,0,4,0,1,0,0,9,4,3
30,9,23,15,P1 Pizza,0,0,1,4,0,0,0,5,1,3,2,9,0,4,0,0,14,5,3
31,10,9,15,P2 Pizza,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,4,10,1,3
32,11,9,-1,P1 Pizza,0,0,1,0,0,0,0,4,0,0,0,4,0,4,0,6,14,0,3
33,1,30,30,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,4
34,2,30,30,P2 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,4
35,3,30,29,P1 Pizza,0,0,4,2,0,0,0,1,0,1,0,3,0,1,0,0,3,2,4
36,4,28,29,P2 Pizza,0,0,1,3,0,0,0,1,1,1,1,4,0,2,0,0,4,2,4
37,5,28,23,P1 Pizza,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,2,4,1,4
38,6,23,23,P2 Pizza,0,0,4,2,0,0,0,4,0,1,0,6,0,3,0,0,7,3,4
39,7,23,18,P1 Pizza,0,0,1,3,0,0,0,3,0,3,1,6,0,1,0,0,8,4,4
40,8,16,18,P2 Pizza,0,0,1,2,0,0,0,5,1,2,2,7,0,3,0,0,11,4,4
41,9,16,5,P1 Pizza,0,0,1,2,0,0,0,4,0,2,0,6,0,1,0,1,12,4,4
42,10,8,5,P2 Pizza,0,0,1,1,0,0,0,7,1,1,2,8,0,3,0,4,12,1,4
43,11,8,-3,P1 Pizza,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,6,12,0,4
44,1,30,30,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,5
45,2,30,30,P2 Pizza,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,5
