,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,26,P1 Roffle,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1
1,2,30,26,P2 Solegit,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,1
2,3,30,26,P1 Roffle,0,0,1,2,0,0,0,0,0,2,0,2,0,1,0,0,3,2,1
3,4,26,26,P2 Solegit,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,0,4,2,1
4,5,26,23,P1 Roffle,0,0,1,2,0,0,0,2,1,1,1,4,0,2,0,1,5,2,1
5,6,12,23,P2 Solegit,0,0,1,3,0,0,0,3,1,2,1,6,0,2,0,0,7,3,1
6,7,12,16,P1 Roffle,0,0,1,1,0,0,0,2,0,1,0,3,0,2,0,3,6,1,1
7,8,0,16,P2 Solegit,0,0,1,1,0,0,0,2,0,0,0,3,0,3,0,3,8,1,1
8,1,30,30,P1 Roffle,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
9,2,30,30,P2 Solegit,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,2
10,3,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,2
11,4,27,30,P2 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,4,2,2
12,5,27,26,P1 Roffle,0,0,1,2,0,0,0,1,0,2,0,3,0,0,0,0,5,3,2
13,6,22,26,P2 Solegit,0,0,1,3,0,0,0,1,1,2,1,4,0,2,0,-1,8,4,2
14,7,22,21,P1 Roffle,0,0,1,1,0,0,0,3,1,1,2,4,0,0,0,2,7,2,2
15,8,8,21,P2 Solegit,0,0,1,1,0,0,0,5,0,1,1,6,0,2,0,1,11,3,2
16,9,6,14,P1 Roffle,0,0,2,3,0,0,0,5,2,1,2,8,0,2,1,0,12,5,2
17,10,-3,14,P2 Solegit,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,5,11,0,2
18,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3
19,2,30,30,P2 Solegit,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,3
20,3,30,28,P1 Roffle,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,3
21,4,28,28,P2 Solegit,0,0,1,2,0,0,0,1,0,2,0,3,0,1,0,0,4,2,3
22,5,28,24,P1 Roffle,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,0,6,3,3
23,6,22,24,P2 Solegit,0,0,1,2,0,0,0,3,1,2,3,5,0,1,0,0,7,3,3
24,7,22,18,P1 Roffle,0,0,1,3,0,0,0,2,1,2,1,5,0,1,0,0,10,4,3
25,8,3,18,P2 Solegit,0,0,1,1,0,0,0,5,0,0,0,6,0,2,0,0,11,4,3
26,9,3,7,P1 Roffle,0,0,1,1,0,0,0,6,0,1,0,7,0,1,0,4,11,1,3
27,10,-6,7,P2 Solegit,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,5,11,0,3
28,1,30,30,P1 Roffle,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
29,2,30,30,P2 Solegit,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,4
30,3,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,4
31,4,26,30,P2 Solegit,0,0,1,2,0,0,0,1,0,2,0,3,0,1,0,0,4,2,4
32,5,26,30,P1 Roffle,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,3,2,0,4
33,6,20,30,P2 Solegit,0,0,1,1,0,0,0,3,0,1,0,4,0,1,0,1,6,2,4
34,7,20,30,P1 Roffle,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,6,4,4
35,8,9,30,P2 Solegit,0,0,1,2,0,0,0,4,0,2,1,6,0,1,0,2,8,2,4
36,9,9,25,P1 Roffle,0,0,1,3,0,0,0,3,2,2,3,6,0,2,0,0,11,5,4
37,10,-1,25,P2 Solegit,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,5,8,0,4
38,1,30,26,P1 Roffle,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,5
39,2,30,26,P2 Solegit,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,5
40,3,30,26,P1 Roffle,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,5
41,4,28,26,P2 Solegit,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,1,3,1,5
42,5,28,26,P1 Roffle,0,0,1,2,0,0,0,0,1,1,1,2,0,2,0,0,4,3,5
43,6,22,26,P2 Solegit,0,0,4,2,0,0,0,3,0,1,0,5,0,2,0,0,6,3,5
44,7,22,23,P1 Roffle,0,0,1,3,0,0,0,3,0,2,0,6,0,3,0,1,7,3,5
45,8,18,23,P2 Solegit,0,0,1,2,0,0,0,4,2,2,4,6,0,2,0,2,8,2,5
46,9,18,20,P1 Roffle,0,0,1,1,0,0,0,3,1,1,2,4,0,3,0,2,10,3,5
47,10,4,20,P2 Solegit,0,0,1,1,0,0,0,4,1,0,3,5,0,3,0,1,12,4,5
48,11,2,14,P1 Roffle,0,0,2,2,0,0,0,2,1,1,1,4,0,4,1,2,14,4,5
49,12,-1,14,P2 Solegit,0,0,1,0,0,0,0,1,0,0,0,1,0,3,0,6,12,0,5
50,1,30,26,P1 Roffle,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,6
51,2,30,26,P2 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,6
52,3,30,26,P1 Roffle,0,0,1,2,0,0,0,0,0,1,0,2,0,2,0,0,3,2,6
53,4,29,26,P2 Solegit,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,6
54,5,29,22,P1 Roffle,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,2,4,1,6
55,6,29,22,P2 Solegit,0,0,1,2,0,0,0,1,0,0,0,3,0,2,0,0,5,3,6
56,7,29,17,P1 Roffle,0,0,1,0,0,0,0,2,0,0,0,2,0,2,0,4,4,0,6
57,8,17,17,P2 Solegit,0,0,1,3,0,0,0,5,3,1,4,8,0,4,0,0,9,4,6
58,9,17,10,P1 Roffle,0,0,1,2,0,0,0,1,1,1,1,3,0,3,0,2,7,3,6
59,10,2,10,P2 Solegit,0,0,1,2,0,0,0,3,0,2,0,5,0,4,0,0,14,5,6
60,11,2,0,P1 Roffle,0,0,1,0,0,0,0,4,0,0,0,4,0,3,0,6,7,0,6
61,1,30,30,P1 Roffle,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7
62,2,30,30,P2 Solegit,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,7
63,3,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,7
64,4,27,30,P2 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,4,2,7
65,5,27,24,P1 Roffle,0,0,1,2,0,0,0,1,0,1,0,3,0,1,0,0,5,3,7
66,6,17,24,P2 Solegit,0,0,1,3,0,0,0,2,1,2,1,5,0,2,0,0,7,3,7
67,7,15,18,P1 Roffle,0,0,2,2,0,0,0,2,1,0,2,4,0,3,1,0,9,4,7
68,8,5,18,P2 Solegit,0,0,1,1,0,0,0,2,0,0,0,3,0,3,0,0,11,4,7
69,9,5,10,P1 Roffle,0,0,1,1,0,0,0,4,0,1,0,5,0,3,1,2,12,3,7
70,10,0,10,P2 Solegit,0,0,1,0,0,0,0,1,0,0,0,1,0,3,0,5,11,0,7
71,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,8
72,2,30,30,P2 Solegit,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,8
73,3,30,28,P1 Roffle,0,0,1,2,0,0,0,1,0,1,0,3,0,1,0,0,3,2,8
74,4,30,28,P2 Solegit,0,0,1,2,0,0,0,1,1,2,1,3,0,1,0,0,4,2,8
75,5,30,26,P1 Roffle,0,0,1,2,0,0,0,2,0,2,2,4,0,1,0,0,6,3,8
76,6,30,26,P2 Solegit,0,0,4,3,0,0,0,1,1,2,2,4,0,2,0,0,7,3,8
77,7,28,18,P1 Roffle,0,0,2,2,0,0,0,3,1,1,2,5,0,2,1,0,10,4,8
78,8,22,16,P2 Solegit,0,0,2,2,0,0,0,1,0,1,0,3,0,3,1,0,11,4,8
79,9,22,5,P1 Roffle,0,0,1,1,0,0,0,4,0,0,1,5,0,3,1,1,14,4,8
