,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,3,30,29,P1 Roffle,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,2,1,1
3,4,30,29,P2 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1
4,5,30,23,P1 Roffle,0,0,1,1,0,0,0,2,0,0,0,3,0,1,0,2,3,1,1
5,6,30,23,P2 Wabeka,0,0,1,3,0,0,0,2,2,2,4,5,0,1,0,0,5,3,1
6,7,30,23,P1 Roffle,0,0,1,2,0,0,0,0,0,2,0,2,0,1,0,0,7,4,1
7,8,27,23,P2 Wabeka,0,0,1,1,0,0,0,2,1,0,1,3,0,2,0,3,6,1,1
8,9,25,11,P1 Roffle,0,0,2,2,0,0,0,3,1,1,1,5,0,2,1,0,12,5,1
9,10,19,17,P2 Wabeka,6,0,1,1,0,0,0,1,0,1,0,2,0,2,0,0,11,5,1
10,11,19,17,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,2,1,5,13,1,1
11,12,19,28,P2 Wabeka,11,0,1,1,0,0,0,1,0,1,1,2,0,2,0,1,16,5,1
12,13,19,30,P1 Roffle,0,0,1,1,0,0,0,3,3,1,4,4,0,2,1,6,14,1,1
13,14,19,30,P2 Wabeka,0,0,1,2,0,0,0,0,1,0,1,2,0,4,0,2,21,5,1
14,15,19,26,P1 Roffle,0,0,1,1,0,0,0,2,0,1,0,3,0,2,1,7,15,1,1
15,16,13,26,P2 Wabeka,0,0,1,2,0,0,0,3,0,2,0,5,0,4,0,1,28,7,1
16,17,13,20,P1 Roffle,0,0,1,1,0,0,0,3,0,0,0,4,0,3,1,5,19,4,1
17,18,1,20,P2 Wabeka,0,0,1,2,0,0,0,5,0,2,1,7,0,4,0,1,36,8,1
18,19,1,11,P1 Roffle,0,0,1,0,0,0,0,6,0,0,0,6,0,3,1,10,19,0,1
19,20,-1,11,P2 Wabeka,0,0,1,0,0,0,0,1,0,0,0,1,0,4,0,10,36,0,1
20,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
21,2,30,30,P2 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
22,3,30,27,P1 Roffle,0,0,1,2,0,0,0,1,1,1,1,3,0,1,0,0,3,2,2
23,4,30,27,P2 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,2
24,5,30,24,P1 Roffle,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,6,3,2
25,6,29,24,P2 Wabeka,0,0,1,2,0,0,0,1,1,1,1,3,0,1,0,0,4,3,2
26,7,29,14,P1 Roffle,0,0,1,1,0,0,0,3,0,0,0,4,0,2,0,0,10,4,2
27,8,20,14,P2 Wabeka,0,0,1,2,0,0,0,2,0,1,0,4,0,2,0,0,9,4,2
28,9,20,0,P1 Roffle,0,0,1,0,0,0,0,7,0,0,0,7,0,2,0,5,10,0,2
29,1,30,26,P1 Roffle,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,3
30,2,30,26,P2 Wabeka,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,3
31,3,30,26,P1 Roffle,0,0,1,2,0,0,0,0,0,2,0,2,0,1,0,0,3,2,3
32,4,30,26,P2 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,4,2,3
33,5,30,19,P1 Roffle,0,0,1,1,0,0,0,2,0,0,0,3,0,2,0,2,4,1,3
34,6,27,19,P2 Wabeka,0,0,1,1,0,0,0,2,1,1,3,3,0,1,0,1,6,2,3
35,7,27,19,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,2,6,2,3
36,8,17,19,P2 Wabeka,0,0,1,1,0,0,0,5,1,1,2,6,0,1,0,0,10,4,3
37,9,17,19,P1 Roffle,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,5,6,0,3
38,10,6,19,P2 Wabeka,0,0,1,0,0,0,0,5,0,0,0,5,0,1,0,5,10,0,3
39,11,6,19,P1 Roffle,0,0,1,2,0,0,0,0,0,1,0,2,0,3,0,3,9,3,3
40,12,0,19,P2 Wabeka,0,0,1,0,0,0,0,2,0,0,0,2,0,1,0,6,10,0,3
41,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,4
42,2,30,30,P2 Wabeka,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,4
43,3,30,28,P1 Roffle,0,0,1,2,0,0,0,1,0,1,0,3,0,1,0,0,3,2,4
44,4,29,28,P2 Wabeka,0,0,1,2,0,0,0,1,1,2,1,3,0,1,0,0,4,2,4
45,5,29,25,P1 Roffle,0,0,1,2,0,0,0,2,0,2,1,4,0,1,0,0,6,3,4
46,6,29,25,P2 Wabeka,0,0,1,0,0,0,0,1,1,0,2,1,0,1,0,3,4,0,4
47,7,29,15,P1 Roffle,0,0,1,2,0,0,0,3,0,2,0,5,0,1,0,0,10,4,4
48,8,29,15,P2 Wabeka,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,8,4,4
49,9,29,2,P1 Roffle,0,0,1,1,0,0,0,6,1,0,3,7,0,2,0,4,11,1,4
50,10,25,2,P2 Wabeka,0,0,1,2,0,0,0,2,0,2,0,4,0,2,0,2,11,3,4
51,11,25,0,P1 Roffle,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,6,11,0,4
52,1,30,26,P1 Roffle,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,5
53,2,30,26,P2 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
54,3,30,26,P1 Roffle,0,0,1,2,0,0,0,0,0,2,0,2,0,1,0,0,3,2,5
55,4,30,26,P2 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5
56,5,30,23,P1 Roffle,0,0,1,2,0,0,0,2,0,2,0,4,0,1,0,1,5,2,5
57,6,30,23,P2 Wabeka,0,0,1,2,0,0,0,0,0,0,0,2,0,2,0,0,4,3,5
58,7,28,14,P1 Roffle,0,0,2,1,0,0,0,4,0,0,0,5,0,2,1,1,8,3,5
59,8,27,14,P2 Wabeka,0,0,1,1,0,0,0,4,3,1,4,5,0,2,0,0,8,4,5
60,9,25,8,P1 Roffle,0,0,2,2,0,0,0,3,0,2,0,5,0,2,2,0,13,5,5
61,10,18,14,P2 Wabeka,6,0,1,1,0,0,0,2,0,1,0,3,0,2,0,0,13,5,5
62,11,18,14,P1 Roffle,0,0,1,1,0,0,0,2,0,1,0,3,0,2,2,3,16,3,5
63,12,6,25,P2 Wabeka,11,0,1,1,0,0,0,2,0,1,0,3,0,2,0,1,18,5,5
64,13,6,22,P1 Roffle,0,0,1,0,0,0,0,7,4,0,5,7,0,2,2,7,16,0,5
65,14,0,22,P2 Wabeka,0,0,4,2,0,0,0,2,2,0,2,4,0,4,0,5,20,2,5
66,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,6
67,2,30,30,P2 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,6
68,3,30,26,P1 Roffle,0,0,1,2,0,0,0,1,1,1,1,3,0,1,0,0,3,2,6
69,4,30,26,P2 Wabeka,0,0,4,3,0,0,0,1,1,1,1,4,0,2,0,0,4,2,6
70,5,30,23,P1 Roffle,0,0,1,2,0,0,0,1,0,2,0,3,0,1,0,0,6,3,6
71,6,30,23,P2 Wabeka,0,0,1,1,0,0,0,1,1,1,2,2,0,2,0,0,7,3,6
72,7,30,18,P1 Roffle,0,0,1,1,0,0,0,2,1,0,1,3,0,2,0,3,7,1,6
73,8,28,18,P2 Wabeka,0,0,1,1,0,0,0,1,0,0,0,2,0,3,0,0,11,4,6
74,9,28,13,P1 Roffle,0,0,1,2,0,0,0,2,0,1,0,4,0,3,0,2,10,3,6
75,10,22,13,P2 Wabeka,0,0,1,2,0,0,0,5,0,2,0,7,0,3,0,0,16,5,6
76,11,22,5,P1 Roffle,0,0,1,1,0,0,0,3,1,1,2,4,0,3,0,4,12,2,6
77,12,11,5,P2 Wabeka,0,0,1,1,0,0,0,6,0,1,0,7,0,3,0,4,18,2,6
78,13,11,0,P1 Roffle,0,0,1,0,0,0,0,1,0,0,0,1,0,3,0,7,12,0,6
79,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,7
