,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Solegit,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 Solegit,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,1
2,3,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1
3,4,23,30,P2 Solegit,0,0,1,2,0,0,0,2,1,0,1,4,0,3,0,0,4,2,1
4,5,23,25,P1 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,4,2,1
5,6,21,25,P2 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,3,0,0,7,3,1
6,7,21,19,P1 Solegit,0,0,1,2,0,0,0,2,0,2,0,4,0,0,0,0,8,4,1
7,8,18,19,P2 Solegit,0,0,1,0,0,0,0,2,0,0,0,2,0,3,0,4,7,0,1
8,9,18,4,P1 Solegit,0,0,1,1,0,0,0,4,0,1,1,5,0,0,0,0,13,5,1
9,10,14,4,P2 Solegit,0,0,1,0,0,0,0,3,0,0,0,3,0,3,0,5,7,0,1
10,11,14,-3,P1 Solegit,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,6,13,0,1
11,1,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
12,2,30,30,P2 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
13,3,30,29,P1 Solegit,0,0,1,2,0,0,0,1,0,2,0,3,0,0,0,0,3,2,2
14,4,29,29,P2 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,2,1,2
15,5,29,27,P1 Solegit,0,0,4,3,0,0,0,3,1,1,2,6,0,2,0,0,6,3,2
16,6,27,27,P2 Solegit,0,0,1,3,0,0,0,1,0,2,0,4,0,1,0,0,6,3,2
17,7,27,20,P1 Solegit,0,0,1,1,0,0,0,4,0,1,0,5,0,2,0,1,9,3,2
18,8,24,20,P2 Solegit,0,0,1,2,0,0,0,2,0,2,0,4,0,1,0,1,9,3,2
19,9,24,5,P1 Solegit,0,0,1,1,0,0,0,5,0,0,0,6,0,3,0,1,13,4,2
20,10,7,5,P2 Solegit,0,0,1,1,0,0,0,4,0,1,0,5,0,1,0,0,14,5,2
21,11,7,-3,P1 Solegit,0,0,1,0,0,0,0,1,0,0,0,1,0,3,0,6,13,0,2
22,1,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3
23,2,30,30,P2 Solegit,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,3
24,3,30,28,P1 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,3
25,4,28,28,P2 Solegit,0,0,1,2,0,0,0,1,0,2,0,3,0,1,0,0,4,2,3
26,5,28,24,P1 Solegit,0,0,1,2,0,0,0,2,0,2,1,4,0,0,0,0,6,3,3
27,6,23,24,P2 Solegit,0,0,1,1,0,0,0,3,0,1,0,4,0,1,0,1,6,2,3
28,7,23,14,P1 Solegit,0,0,1,3,0,0,0,4,0,3,1,7,0,0,0,0,10,4,3
29,8,18,14,P2 Solegit,0,0,1,1,0,0,0,3,0,0,0,4,0,2,0,0,10,4,3
30,9,18,0,P1 Solegit,0,0,1,0,0,0,0,3,0,0,0,3,0,0,0,5,10,0,3
31,1,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,4
32,2,30,30,P2 Solegit,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,4
33,3,30,28,P1 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,4
34,4,26,28,P2 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,1,3,1,4
35,5,26,24,P1 Solegit,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,0,6,3,4
36,6,21,24,P2 Solegit,0,0,1,2,0,0,0,2,0,2,0,4,0,1,0,0,6,3,4
37,7,18,18,P1 Solegit,0,0,1,2,0,0,0,4,0,2,1,6,0,0,0,1,9,3,4
38,8,8,18,P2 Solegit,0,0,1,2,0,0,0,3,1,1,1,5,0,2,0,0,10,4,4
39,9,8,0,P1 Solegit,0,0,1,1,0,0,0,5,0,1,1,6,0,0,0,0,14,5,4
40,1,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,5
41,2,30,30,P2 Solegit,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,5
42,3,30,23,P1 Solegit,0,0,1,2,0,0,0,1,0,1,0,3,0,1,0,0,3,2,5
43,4,28,23,P2 Solegit,0,0,1,2,0,0,0,1,0,2,1,3,0,1,0,0,4,2,5
44,5,28,23,P1 Solegit,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,3,3,0,5
45,6,21,23,P2 Solegit,0,0,1,1,0,0,0,3,0,0,1,4,0,2,0,2,5,1,5
46,7,21,22,P1 Solegit,0,0,1,2,0,0,0,0,0,2,0,2,0,1,0,0,7,4,5
47,8,18,22,P2 Solegit,0,0,1,2,0,0,0,2,0,2,0,4,0,2,0,-2,11,6,5
