,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 Roffle,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,1
2,3,30,27,P1 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,2,1,1
3,4,30,27,P2 Roffle,0,0,1,2,0,0,0,2,2,1,3,4,0,2,0,0,4,2,1
4,5,30,23,P1 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,2,3,1,1
5,6,27,23,P2 Roffle,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,0,7,3,1
6,7,27,20,P1 Viper,0,0,1,2,0,0,0,2,0,2,0,4,0,0,0,0,7,4,1
7,8,20,20,P2 Roffle,0,0,1,1,0,0,0,3,0,0,0,4,0,3,0,0,11,4,1
8,9,20,15,P1 Viper,0,0,1,2,0,0,0,3,0,2,2,5,0,0,0,2,10,3,1
9,10,11,15,P2 Roffle,0,0,1,2,0,0,0,5,0,2,0,7,0,3,0,3,13,2,1
10,11,8,0,P1 Viper,0,0,1,1,0,0,0,6,0,1,1,7,0,0,0,5,11,1,1
11,1,30,30,P1 Viper,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
12,2,30,30,P2 Roffle,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,2
13,3,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,2
14,4,28,30,P2 Roffle,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,0,4,2,2
15,5,28,27,P1 Viper,0,0,1,2,0,0,0,1,1,1,1,3,0,1,0,1,4,2,2
16,6,20,27,P2 Roffle,0,0,1,1,0,0,0,3,0,1,0,4,0,1,0,0,7,3,2
17,7,20,24,P1 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,1,7,3,2
18,8,5,24,P2 Roffle,0,0,1,2,0,0,0,5,1,1,3,7,0,2,0,1,10,3,2
19,9,5,16,P1 Viper,0,0,1,2,0,0,0,2,0,2,1,4,0,1,0,0,12,5,2
20,10,-2,16,P2 Roffle,0,0,1,1,0,0,0,2,0,1,0,3,0,2,0,4,11,1,2
21,1,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3
22,2,26,30,P2 Roffle,0,0,1,3,0,0,0,0,0,1,0,3,0,2,0,0,2,1,3
23,3,26,28,P1 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,3
24,4,26,28,P2 Roffle,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,2,2,0,3
25,5,26,24,P1 Viper,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,0,6,3,3
26,6,23,21,P2 Roffle,0,0,1,2,0,0,0,1,0,2,0,3,0,2,0,0,5,3,3
27,7,23,12,P1 Viper,0,0,1,2,0,0,0,5,0,2,0,7,0,0,0,1,9,3,3
28,8,12,12,P2 Roffle,0,0,1,2,0,0,0,3,1,1,1,5,0,3,0,0,9,4,3
29,9,12,-6,P1 Viper,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,5,9,0,3
30,1,30,30,P1 Viper,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
31,2,26,30,P2 Roffle,0,0,1,3,0,0,0,0,0,1,0,3,0,2,0,0,2,1,4
32,3,26,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,4
33,4,19,30,P2 Roffle,0,0,1,2,0,0,0,1,0,1,0,3,0,3,0,0,4,2,4
34,5,19,28,P1 Viper,0,0,1,1,0,0,0,1,0,1,1,2,0,0,0,0,5,3,4
35,6,18,28,P2 Roffle,0,0,1,1,0,0,0,1,0,1,0,2,0,3,0,1,6,2,4
36,7,18,21,P1 Viper,0,0,1,1,0,0,0,4,1,0,3,5,0,1,0,0,9,4,4
37,8,18,21,P2 Roffle,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,4,6,0,4
38,9,18,12,P1 Viper,0,0,1,0,0,0,0,7,0,0,0,7,0,1,0,5,9,0,4
39,10,18,12,P2 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,2,9,3,4
40,11,18,5,P1 Viper,0,0,1,2,0,0,0,7,2,2,4,9,0,1,0,1,14,5,4
41,12,18,5,P2 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,3,12,3,4
42,13,18,-3,P1 Viper,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,7,14,0,4
43,1,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,5
44,2,26,30,P2 Roffle,0,0,1,3,0,0,0,0,0,1,0,3,0,2,0,0,2,1,5
45,3,26,30,P1 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,5
46,4,26,30,P2 Roffle,0,0,1,1,0,0,0,1,1,1,1,2,0,2,0,0,4,2,5
47,5,26,23,P1 Viper,0,0,1,2,0,0,0,2,1,1,1,4,0,1,0,0,6,3,5
48,6,22,23,P2 Roffle,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,2,5,1,5
49,7,22,15,P1 Viper,0,0,1,1,0,0,0,2,0,0,0,3,0,2,0,0,10,4,5
50,8,14,15,P2 Roffle,0,0,1,2,0,0,0,2,1,1,1,4,0,3,0,2,7,2,5
51,9,14,0,P1 Viper,0,0,1,0,0,0,0,4,0,0,0,4,0,2,0,5,10,0,5
52,1,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,6
53,2,30,30,P2 Roffle,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,6
