,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 Solegit,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,28,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,1
3,4,26,28,P2 Solegit,0,0,1,2,0,0,0,1,0,2,0,3,0,1,0,0,4,2,1
4,5,26,27,P1 Wabeka,0,0,4,2,0,0,0,2,2,1,3,4,0,1,0,0,6,3,1
5,6,21,27,P2 Solegit,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,1,6,2,1
6,7,19,21,P1 Wabeka,0,0,2,2,0,0,0,2,0,2,0,4,0,1,1,0,10,4,1
7,8,9,21,P2 Solegit,0,0,1,1,0,0,0,3,1,0,1,4,0,2,0,3,7,1,1
8,9,14,9,P1 Wabeka,5,0,1,1,0,0,0,4,0,1,0,5,0,1,1,0,15,5,1
9,10,14,9,P2 Solegit,0,0,1,2,0,0,0,0,0,1,0,2,0,3,0,0,12,5,1
10,11,24,-1,P1 Wabeka,10,0,1,1,0,0,0,1,0,1,0,2,0,1,1,1,20,5,1
11,1,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
12,2,30,30,P2 Solegit,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,2
13,3,30,30,P1 Wabeka,0,0,1,1,0,0,0,1,1,1,1,2,0,0,0,1,2,1,2
14,4,30,30,P2 Solegit,0,0,1,2,0,0,0,2,2,1,3,4,0,2,0,0,4,2,2
15,5,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,2,3,1,2
16,6,26,30,P2 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,2,5,1,2
17,7,26,30,P1 Wabeka,0,0,1,1,0,0,0,1,1,0,2,2,0,1,0,0,7,4,2
18,8,25,30,P2 Solegit,0,0,4,3,0,0,0,1,0,2,1,4,0,3,0,0,9,4,2
19,9,25,27,P1 Wabeka,0,0,1,1,0,0,0,3,0,1,0,4,0,1,0,0,12,5,2
20,10,21,27,P2 Solegit,0,0,1,2,0,0,0,3,0,2,2,5,0,3,0,1,13,4,2
21,11,21,19,P1 Wabeka,0,0,4,3,0,0,0,2,0,2,0,5,0,2,0,2,16,4,2
22,12,11,19,P2 Solegit,0,0,1,1,0,0,0,5,1,1,3,6,0,3,0,4,15,2,2
23,13,20,8,P1 Wabeka,9,0,1,1,0,0,0,2,0,1,0,3,0,2,0,2,21,5,2
24,14,23,6,P2 Solegit,0,0,2,2,0,0,0,5,1,2,2,7,0,3,1,2,20,5,2
25,15,23,1,P1 Wabeka,0,0,1,2,0,0,0,1,1,1,1,3,0,3,0,3,26,5,2
26,16,2,1,P2 Solegit,0,0,1,1,0,0,0,7,1,0,1,8,0,4,1,7,21,1,2
27,17,2,-4,P1 Wabeka,0,0,1,0,0,0,0,1,0,0,0,1,0,3,0,9,26,0,2
28,1,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3
29,2,30,30,P2 Solegit,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,3
30,3,30,27,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,2,1,3
31,4,30,27,P2 Solegit,0,0,1,2,0,0,0,1,0,2,2,3,0,1,0,0,4,2,3
32,5,30,27,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,5,3,3
33,6,23,27,P2 Solegit,0,0,1,2,0,0,0,3,1,1,1,5,0,2,0,1,6,2,3
34,7,23,25,P1 Wabeka,0,0,1,1,0,0,0,1,0,0,0,2,0,1,0,0,9,4,3
35,8,15,25,P2 Solegit,0,0,1,0,0,0,0,4,0,0,0,4,0,2,0,4,6,0,3
36,9,15,17,P1 Wabeka,0,0,1,2,0,0,0,5,0,2,0,7,0,1,0,1,13,4,3
37,10,0,17,P2 Solegit,0,0,1,1,0,0,0,5,0,1,0,6,0,2,0,0,11,5,3
38,1,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,4
39,2,26,30,P2 Solegit,0,0,1,3,0,0,0,0,0,1,0,3,0,2,0,0,2,1,4
40,3,26,28,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,4
41,4,25,28,P2 Solegit,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,2,2,0,4
42,5,25,22,P1 Wabeka,0,0,1,2,0,0,0,2,2,0,2,4,0,2,0,1,5,2,4
43,6,21,22,P2 Solegit,0,0,1,2,0,0,0,1,1,1,1,3,0,3,0,1,4,2,4
44,7,21,17,P1 Wabeka,0,0,1,1,0,0,0,1,0,0,0,2,0,3,0,0,9,4,4
45,8,14,17,P2 Solegit,0,0,1,1,0,0,0,2,0,1,0,3,0,3,0,2,6,2,4
46,9,14,7,P1 Wabeka,0,0,1,1,0,0,0,5,0,1,0,6,0,3,0,0,14,5,4
47,10,5,7,P2 Solegit,0,0,1,1,0,0,0,3,0,0,0,4,0,4,0,1,10,4,4
48,11,5,-3,P1 Wabeka,0,0,1,0,0,0,0,2,0,0,0,2,0,3,0,6,14,0,4
49,1,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
50,2,26,30,P2 Solegit,0,0,1,3,0,0,0,0,0,1,0,3,0,2,0,0,2,1,5
51,3,26,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,5
52,4,22,30,P2 Solegit,0,0,1,2,0,0,0,1,1,1,1,3,0,3,0,0,4,2,5
53,5,22,30,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,1,2,0,0,0,0,5,3,5
54,6,22,30,P2 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,2,5,1,5
55,7,22,24,P1 Wabeka,0,0,1,2,0,0,0,2,1,1,2,4,0,1,0,2,7,2,5
56,8,19,24,P2 Solegit,0,0,4,3,0,0,0,1,1,1,1,4,0,5,0,1,8,3,5
57,9,19,9,P1 Wabeka,0,0,1,1,0,0,0,3,0,1,0,4,0,1,0,0,12,5,5
58,10,14,9,P2 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,5,0,4,9,1,5
59,11,14,-3,P1 Wabeka,0,0,1,0,0,0,0,2,0,0,0,2,0,1,0,6,12,0,5
60,1,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,6
61,2,30,30,P2 Solegit,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,6
62,3,30,29,P1 Wabeka,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,6
63,4,26,29,P2 Solegit,0,0,1,2,0,0,0,1,0,2,0,3,0,1,0,0,4,2,6
64,5,26,29,P1 Wabeka,0,0,1,2,0,0,0,1,2,1,2,3,0,1,0,0,4,3,6
65,6,17,29,P2 Solegit,0,0,1,2,0,0,0,3,0,2,0,5,0,1,0,0,7,3,6
66,7,17,27,P1 Wabeka,0,0,1,1,0,0,0,4,2,0,3,5,0,2,0,0,8,4,6
67,8,2,27,P2 Solegit,0,0,1,1,0,0,0,4,0,1,0,5,0,1,0,2,9,2,6
68,9,2,19,P1 Wabeka,0,0,1,1,0,0,0,6,0,1,0,7,0,2,0,3,10,2,6
69,10,-6,19,P2 Solegit,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,5,9,0,6
70,1,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,7
71,2,30,30,P2 Solegit,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,7
72,3,30,28,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,7
73,4,28,28,P2 Solegit,0,0,4,2,0,0,0,1,0,1,1,3,0,2,0,0,4,2,7
74,5,28,24,P1 Wabeka,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,3,3,0,7
75,6,25,24,P2 Solegit,0,0,1,0,0,0,0,2,1,0,1,2,0,2,0,3,4,0,7
76,7,25,20,P1 Wabeka,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,0,7,4,7
77,8,21,18,P2 Solegit,0,0,1,2,0,0,0,2,0,1,2,4,0,3,0,-1,9,5,7
