,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Solegit,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,3,30,30,P1 Solegit,0,0,4,2,0,0,0,0,0,1,0,2,0,1,0,0,2,2,1
3,4,30,30,P2 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1
4,5,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,5,3,1
5,6,27,28,P2 Thijs,0,0,2,2,0,0,0,1,0,1,0,3,0,1,1,0,6,3,1
6,7,27,26,P1 Solegit,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,2,7,2,1
7,8,24,23,P2 Thijs,0,0,1,1,0,0,0,0,2,0,8,1,0,2,1,0,10,4,1
8,9,24,17,P1 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,12,5,1
9,10,24,21,P2 Thijs,4,0,1,1,0,0,0,2,2,1,3,3,0,2,1,2,13,3,1
10,11,24,21,P1 Solegit,0,0,1,3,0,0,0,0,1,1,1,3,0,3,0,0,18,6,1
11,12,22,21,P2 Thijs,0,0,1,1,0,0,0,1,0,1,0,2,0,2,1,1,18,5,1
12,13,22,21,P1 Solegit,0,0,1,0,0,0,0,2,2,0,2,2,0,3,0,7,18,0,1
13,14,18,24,P2 Thijs,3,0,1,1,0,0,0,3,1,1,3,4,0,2,1,2,23,5,1
14,15,18,24,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,7,19,1,1
15,16,11,30,P2 Thijs,6,0,1,2,0,0,0,2,0,1,1,4,0,3,1,0,31,8,1
16,17,11,30,P1 Solegit,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,9,19,0,1
17,18,11,28,P2 Thijs,0,0,2,1,0,0,0,0,3,1,3,1,0,3,2,0,40,9,1
18,19,11,28,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,9,20,1,1
19,20,11,28,P2 Thijs,0,0,1,2,0,0,0,1,0,2,1,3,0,3,2,0,50,10,1
20,21,11,28,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,8,22,2,1
21,22,0,28,P2 Thijs,0,0,1,0,0,0,0,2,0,0,0,2,0,3,2,10,50,0,1
22,1,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
23,2,30,30,P2 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
24,3,30,29,P1 Solegit,0,0,1,2,0,0,0,1,0,2,0,3,0,0,0,0,3,2,2
25,4,30,29,P2 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
26,5,30,26,P1 Solegit,0,0,1,0,0,0,0,3,0,0,0,3,0,0,0,3,3,0,2
27,6,27,23,P2 Thijs,0,0,1,2,0,0,0,0,0,0,2,2,0,2,0,0,4,3,2
28,7,27,21,P1 Solegit,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,3,4,1,2
29,8,24,18,P2 Thijs,0,0,1,1,0,0,0,0,0,0,3,1,0,3,0,0,8,4,2
30,9,24,12,P1 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,9,5,2
31,10,24,12,P2 Thijs,0,0,1,1,0,0,0,2,2,1,3,3,0,3,0,0,13,5,2
32,11,24,12,P1 Solegit,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,2
33,12,20,16,P2 Thijs,4,0,1,1,0,0,0,1,0,1,0,2,0,3,0,0,19,6,2
34,13,20,13,P1 Solegit,0,0,4,3,0,0,0,0,0,1,0,3,0,2,0,0,16,7,2
35,14,12,13,P2 Thijs,0,0,1,1,0,0,0,2,0,1,0,3,0,3,0,0,26,7,2
36,15,12,12,P1 Solegit,0,0,1,2,0,0,0,5,5,2,5,7,0,2,0,5,19,3,2
37,16,-3,12,P2 Thijs,0,0,1,0,0,0,0,3,0,0,0,3,0,3,0,8,26,0,2
38,1,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3
39,2,30,30,P2 Thijs,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,3
40,3,30,29,P1 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,3
41,4,30,29,P2 Thijs,0,0,1,1,0,0,0,0,1,1,3,1,0,1,0,0,4,2,3
42,5,30,24,P1 Solegit,0,0,1,1,0,0,0,3,0,1,0,4,0,0,0,2,4,1,3
43,6,30,26,P2 Thijs,4,0,2,0,0,0,0,0,1,0,5,0,0,1,1,1,6,2,3
44,7,30,26,P1 Solegit,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,8,4,3
45,8,30,26,P2 Thijs,0,0,1,1,0,0,0,0,0,0,1,1,0,2,1,1,9,3,3
46,9,28,21,P1 Solegit,0,0,2,2,0,0,0,3,0,2,0,5,0,1,1,0,13,5,3
47,10,28,24,P2 Thijs,3,0,1,1,0,0,0,1,0,1,1,2,0,2,1,0,14,5,3
48,11,28,15,P1 Solegit,0,0,1,3,0,0,0,4,0,3,0,7,0,1,1,0,19,6,3
49,12,28,18,P2 Thijs,3,0,2,2,0,0,0,1,0,1,2,3,0,3,1,0,20,6,3
50,13,28,4,P1 Solegit,0,0,4,2,0,0,0,6,3,1,5,8,0,2,1,1,25,6,3
51,14,26,4,P2 Thijs,0,0,1,1,0,0,0,2,2,1,5,3,0,3,1,0,27,7,3
52,15,26,-4,P1 Solegit,0,0,1,0,0,0,0,1,0,0,0,1,0,2,1,8,25,0,3
53,1,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,4
54,2,30,30,P2 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
55,3,30,29,P1 Solegit,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,4
56,4,30,29,P2 Thijs,0,0,1,2,0,0,0,0,0,0,1,2,0,2,0,0,3,2,4
57,5,30,29,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,4,3,4
58,6,30,29,P2 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,3,0,4
59,7,30,28,P1 Solegit,0,0,1,1,0,0,0,1,0,0,0,2,0,1,0,0,8,4,4
60,8,30,28,P2 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,4,3,0,4
61,9,30,18,P1 Solegit,0,0,1,2,0,0,0,5,1,1,1,7,0,2,0,2,11,3,4
62,10,30,21,P2 Thijs,3,0,1,1,0,0,0,1,0,1,1,2,0,2,0,0,8,5,4
63,11,30,11,P1 Solegit,0,0,1,1,0,0,0,7,0,1,1,8,0,2,0,5,12,1,4
64,12,27,6,P2 Thijs,0,0,2,1,0,0,0,0,0,0,6,1,0,3,1,0,14,6,4
65,13,27,0,P1 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,2,17,5,4
66,1,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,5
67,2,30,30,P2 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
68,3,30,29,P1 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,5
69,4,30,30,P2 Thijs,1,0,3,2,0,0,0,0,0,0,0,2,0,2,0,0,3,2,5
70,5,30,23,P1 Solegit,0,0,1,2,0,0,0,2,0,2,0,4,0,0,0,1,5,2,5
71,6,30,23,P2 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,3,0,5
72,7,30,15,P1 Solegit,0,0,1,1,0,0,0,4,0,0,0,5,0,1,0,0,9,4,5
73,8,27,12,P2 Thijs,0,0,1,1,0,0,0,0,0,0,6,1,0,3,0,0,7,4,5
74,9,27,10,P1 Solegit,0,0,1,2,0,0,0,2,0,1,0,4,0,2,0,0,14,5,5
75,10,27,10,P2 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,0,12,5,5
76,11,27,10,P1 Solegit,0,0,1,0,0,0,0,4,4,0,4,4,0,2,0,6,14,0,5
77,12,23,10,P2 Thijs,0,0,1,1,0,0,0,1,0,1,0,2,0,3,0,1,17,5,5
78,13,23,10,P1 Solegit,0,0,1,1,0,0,0,3,3,1,3,4,0,2,0,6,15,1,5
79,14,15,13,P2 Thijs,3,0,1,1,0,0,0,2,0,0,1,3,0,4,0,1,23,6,5
80,15,15,13,P1 Solegit,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,8,15,0,5
81,16,7,13,P2 Thijs,0,0,6,4,0,0,0,2,0,3,0,6,0,5,0,0,31,8,5
82,17,7,13,P1 Solegit,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,9,15,0,5
83,18,7,19,P2 Thijs,8,0,7,2,0,0,0,0,5,1,5,2,0,6,1,0,40,9,5
84,19,7,19,P1 Solegit,0,0,1,2,0,0,0,0,0,2,0,2,0,2,0,6,19,4,5
85,20,7,25,P2 Thijs,6,0,1,1,0,0,0,1,0,0,2,2,0,7,1,4,46,6,5
86,21,7,25,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,9,20,1,5
87,22,7,26,P2 Thijs,3,0,2,1,0,0,0,2,0,1,2,3,0,7,2,0,56,10,5
88,23,5,26,P1 Solegit,0,0,5,3,0,0,0,1,0,2,1,4,0,3,1,0,30,10,5
89,24,0,26,P2 Thijs,0,0,1,0,0,0,0,1,0,0,0,1,0,7,2,10,56,0,5
90,1,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,6
91,2,30,30,P2 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
92,3,30,29,P1 Solegit,0,0,1,2,0,0,0,1,0,2,0,3,0,0,0,0,3,2,6
93,4,30,29,P2 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6
94,5,30,26,P1 Solegit,0,0,1,0,0,0,0,3,0,0,0,3,0,0,0,3,3,0,6
95,6,27,23,P2 Thijs,0,0,1,2,0,0,0,0,0,0,2,2,0,2,0,0,4,3,6
96,7,27,21,P1 Solegit,0,0,1,2,0,0,0,1,0,2,0,3,0,0,0,0,7,4,6
97,8,27,21,P2 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,2,6,2,6
98,9,27,9,P1 Solegit,0,0,1,1,0,0,0,4,0,1,0,5,0,0,0,0,12,5,6
99,10,25,9,P2 Thijs,0,0,7,2,0,0,0,3,0,1,1,5,0,3,0,1,10,4,6
100,11,25,0,P1 Solegit,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,6,12,0,6
101,1,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,7
102,2,30,30,P2 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7
103,3,30,29,P1 Solegit,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,7
104,4,30,29,P2 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7
105,5,30,28,P1 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,4,3,7
106,6,30,28,P2 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7
107,7,30,26,P1 Solegit,0,0,1,1,0,0,0,2,0,0,0,3,0,1,0,0,8,4,7
108,8,27,23,P2 Thijs,0,0,2,3,0,0,0,0,0,0,6,3,0,3,0,0,5,4,7
109,9,27,22,P1 Solegit,0,0,1,1,0,0,0,1,0,0,0,2,0,2,0,1,12,4,7
110,10,24,19,P2 Thijs,0,0,4,2,0,0,0,0,0,0,5,2,0,5,0,0,10,5,7
111,11,24,19,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,5,13,1,7
112,12,24,19,P2 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,5,0,1,15,5,7
113,13,22,18,P1 Solegit,0,0,2,3,0,0,0,0,0,3,0,3,0,2,1,0,20,7,7
114,14,22,21,P2 Thijs,3,0,1,1,0,0,0,1,1,1,8,2,0,5,0,0,22,7,7
115,15,22,15,P1 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,2,1,3,25,5,7
116,16,20,15,P2 Thijs,0,0,8,2,0,0,0,3,1,1,2,5,0,6,0,0,30,8,7
117,17,20,15,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,2,1,2,32,7,7
118,18,18,19,P2 Thijs,4,0,5,4,0,0,0,3,1,2,2,7,0,8,0,0,39,9,7
119,19,18,19,P1 Solegit,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,10,32,0,7
120,20,18,17,P2 Thijs,0,0,2,1,0,0,0,0,5,1,5,1,0,8,1,1,48,9,7
121,21,18,17,P1 Solegit,0,0,1,2,0,0,0,0,0,2,0,2,0,2,1,0,42,10,7
122,22,11,17,P2 Thijs,0,0,1,1,0,0,0,1,0,1,0,2,0,8,1,2,56,8,7
123,23,11,14,P1 Solegit,0,0,1,2,0,0,0,2,1,1,2,4,0,3,1,7,45,3,7
124,24,0,14,P2 Thijs,0,0,1,0,0,0,0,2,1,0,1,2,0,8,1,10,56,0,7
125,1,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,8
126,2,30,30,P2 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8
127,3,30,28,P1 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,8
128,4,30,28,P2 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8
129,5,30,24,P1 Solegit,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,2,4,1,8
130,6,30,24,P2 Thijs,0,0,8,3,0,0,0,0,0,1,0,3,0,2,0,0,4,3,8
131,7,30,18,P1 Solegit,0,0,1,0,0,0,0,3,0,0,0,3,0,0,0,4,4,0,8
132,8,27,18,P2 Thijs,0,0,5,2,0,0,0,1,0,1,0,3,0,3,0,0,8,4,8
133,9,27,5,P1 Solegit,0,0,1,1,0,0,0,4,0,1,0,5,0,0,0,0,9,5,8
134,10,27,7,P2 Thijs,4,0,2,1,0,0,0,0,4,1,8,1,0,3,1,0,13,5,8
135,11,27,4,P1 Solegit,0,0,1,2,0,0,0,2,2,2,3,4,0,0,0,2,13,4,8
136,12,27,4,P2 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,3,1,0,19,6,8
137,13,27,4,P1 Solegit,0,0,1,1,0,0,0,1,0,0,0,2,0,1,0,3,17,4,8
138,14,20,1,P2 Thijs,0,0,5,3,0,0,0,1,0,0,5,4,0,6,1,1,25,6,8
139,15,20,1,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,7,18,1,8
140,16,20,1,P2 Thijs,0,0,1,1,0,0,0,1,1,1,2,2,0,6,1,1,32,7,8
141,17,20,1,P1 Solegit,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,5,22,4,8
142,18,9,1,P2 Thijs,0,0,1,3,0,0,0,2,0,3,0,5,0,6,1,1,40,8,8
143,19,-1,1,P1 Solegit,0,0,2,3,0,0,0,0,0,3,0,3,0,2,1,4,28,6,8
144,1,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,9
145,2,30,30,P2 Thijs,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,9
146,3,30,29,P1 Solegit,0,0,1,2,0,0,0,1,0,2,0,3,0,0,0,0,3,2,9
147,4,27,30,P2 Thijs,3,0,2,0,0,0,0,1,0,0,0,1,0,1,1,0,4,2,9
148,5,27,27,P1 Solegit,0,0,1,1,0,0,0,3,0,1,0,4,0,0,0,2,4,1,9
149,6,24,27,P2 Thijs,0,0,1,1,0,0,0,1,0,1,0,2,0,1,1,0,7,3,9
150,7,24,23,P1 Solegit,0,0,1,2,0,0,0,4,0,2,0,6,0,0,0,0,8,4,9
151,8,23,23,P2 Thijs,0,0,1,0,0,0,0,2,0,0,1,2,0,1,1,4,7,0,9
152,9,23,6,P1 Solegit,0,0,1,2,0,0,0,5,1,0,1,7,0,2,0,0,13,5,9
153,10,19,6,P2 Thijs,0,0,1,1,0,0,0,2,1,1,3,3,0,1,1,0,12,5,9
154,11,19,-3,P1 Solegit,0,0,1,1,0,0,0,3,2,1,3,4,0,2,0,4,15,2,9
155,1,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,10
156,2,30,30,P2 Thijs,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,10
157,3,30,28,P1 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,10
