,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,3,30,28,P1 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,1
3,4,30,28,P2 Stonekeep,0,0,1,2,0,0,0,0,0,0,1,2,0,2,0,0,3,2,1
4,5,30,26,P1 Viper,0,0,1,2,0,0,0,1,1,1,1,3,0,1,0,1,5,2,1
5,6,30,26,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,3,0,1
6,7,30,23,P1 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,9,4,1
7,8,27,20,P2 Stonekeep,0,0,1,1,0,0,0,0,0,0,1,1,0,3,0,0,7,4,1
8,9,27,17,P1 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,2,12,3,1
9,10,27,21,P2 Stonekeep,4,0,1,2,0,0,0,0,0,1,0,2,0,4,0,0,12,5,1
10,11,25,15,P1 Viper,0,0,2,2,0,0,0,2,1,1,1,4,0,2,1,1,17,5,1
