,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,3,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1
3,4,30,30,P2 Krebs1996,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,3,2,1
4,5,30,25,P1 Wabeka,0,0,4,3,0,0,0,1,0,2,1,4,0,1,0,0,5,3,1
5,6,30,28,P2 Krebs1996,3,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,6,3,1
6,7,30,23,P1 Wabeka,0,0,1,1,0,0,0,3,0,1,0,4,0,1,0,1,8,3,1
7,8,26,23,P2 Krebs1996,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,10,4,1
8,9,26,20,P1 Wabeka,0,0,1,1,0,0,0,3,1,0,2,4,0,2,0,1,12,4,1
9,10,26,24,P2 Krebs1996,4,0,1,1,0,0,0,1,1,0,9,2,0,2,0,1,14,4,1
10,11,26,24,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,1,17,5,1
11,12,26,24,P2 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,1,19,5,1
12,13,26,24,P1 Wabeka,0,0,1,2,0,0,0,1,0,2,0,3,0,2,0,1,23,6,1
13,14,26,28,P2 Krebs1996,4,0,1,1,0,0,0,0,1,1,4,1,0,2,0,0,26,7,1
14,15,26,28,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,5,26,3,1
15,16,22,28,P2 Krebs1996,0,0,1,1,0,0,0,1,0,1,1,2,0,2,0,2,32,6,1
16,17,22,28,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,7,28,2,1
17,18,18,29,P2 Krebs1996,3,0,2,2,0,0,0,2,0,2,1,4,0,2,1,1,40,8,1
18,19,18,29,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,5,33,5,1
19,20,9,29,P2 Krebs1996,0,0,1,2,0,0,0,4,1,2,2,6,0,2,1,0,50,10,1
20,21,9,29,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,9,34,1,1
21,22,-1,23,P2 Krebs1996,0,0,1,2,0,0,0,1,7,0,8,3,0,4,1,2,58,8,1
22,1,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
23,2,30,30,P2 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
24,3,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,2
25,4,30,30,P2 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
26,5,30,27,P1 Wabeka,0,0,1,2,0,0,0,1,0,2,0,3,0,0,0,0,5,3,2
27,6,27,24,P2 Krebs1996,0,0,1,2,0,0,0,0,0,0,3,2,0,2,0,0,4,3,2
28,7,27,23,P1 Wabeka,0,0,1,1,0,0,0,1,0,0,0,2,0,1,0,0,9,4,2
29,8,24,20,P2 Krebs1996,0,0,1,1,0,0,0,0,0,0,5,1,0,3,0,0,8,4,2
30,9,24,20,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,14,5,2
31,10,24,20,P2 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,0,13,5,2
32,11,30,12,P1 Wabeka,6,0,1,1,0,0,0,1,0,1,0,2,0,1,0,1,19,5,2
33,12,30,12,P2 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,2,17,4,2
34,13,30,10,P1 Wabeka,0,0,1,3,0,0,0,1,1,2,2,4,0,2,0,0,26,7,2
35,14,30,10,P2 Krebs1996,0,0,1,2,0,0,0,0,0,2,0,2,0,3,0,0,24,7,2
36,15,30,6,P1 Wabeka,0,0,1,2,0,0,0,4,0,2,2,6,0,2,0,2,32,6,2
37,16,30,6,P2 Krebs1996,0,0,1,2,0,0,0,1,1,2,2,3,0,3,0,1,31,7,2
38,17,30,-1,P1 Wabeka,0,0,1,1,0,0,0,3,1,1,1,4,0,2,0,7,34,2,2
39,1,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3
40,2,30,30,P2 Krebs1996,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,3
41,3,30,29,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,3
42,4,30,29,P2 Krebs1996,0,0,1,1,0,0,0,1,0,1,1,2,0,1,0,0,4,2,3
43,5,30,27,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,1,2,0,0,0,0,6,3,3
44,6,27,27,P2 Krebs1996,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,3,4,0,3
45,7,27,20,P1 Wabeka,0,0,1,1,0,0,0,2,1,1,2,3,0,0,0,3,7,1,3
46,8,27,20,P2 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,8,4,3
47,9,30,12,P1 Wabeka,3,0,1,1,0,0,0,4,0,1,0,5,0,0,0,0,12,5,3
48,10,30,15,P2 Krebs1996,3,0,1,1,0,0,0,2,0,1,1,3,0,1,0,0,13,5,3
49,11,30,7,P1 Wabeka,0,0,4,3,0,0,0,3,0,2,0,6,0,1,0,1,17,5,3
50,12,27,10,P2 Krebs1996,3,0,1,1,0,0,0,2,1,1,6,3,0,1,0,0,19,6,3
51,13,27,10,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,2,22,5,3
52,14,27,13,P2 Krebs1996,3,0,1,2,0,0,0,2,1,2,2,4,0,1,0,0,26,7,3
53,15,27,13,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,3,27,5,3
54,16,21,15,P2 Krebs1996,4,0,2,1,0,0,0,3,1,0,2,4,0,2,1,2,32,6,3
55,17,21,15,P1 Wabeka,0,0,1,2,0,0,0,0,0,2,0,2,0,1,0,4,32,5,3
56,18,14,8,P2 Krebs1996,0,0,1,2,0,0,0,2,1,1,6,4,0,3,1,3,38,6,3
57,19,14,8,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,9,33,1,3
58,20,14,6,P2 Krebs1996,0,0,2,2,0,0,0,2,1,2,3,4,0,3,2,1,47,9,3
59,21,14,6,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10,33,0,3
60,22,14,8,P2 Krebs1996,4,0,2,2,0,0,0,0,3,2,3,2,0,3,3,3,54,7,3
61,23,14,8,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10,33,0,3
62,24,14,8,P2 Krebs1996,0,0,1,1,0,0,1,0,2,1,2,1,0,3,3,0,64,10,3
63,25,14,8,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,5,38,5,3
64,26,6,6,P2 Krebs1996,0,0,2,1,0,1,0,1,0,1,0,2,0,3,4,3,71,7,3
65,27,6,-2,P1 Wabeka,0,0,1,0,0,0,0,2,0,0,0,2,0,1,0,10,38,0,3
66,1,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
67,2,30,30,P2 Krebs1996,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,4
68,3,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,4
69,4,30,30,P2 Krebs1996,0,0,1,0,0,0,0,0,1,0,2,0,0,1,0,2,2,0,4
70,5,30,27,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,4,3,4
71,6,30,27,P2 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,4,2,4
72,7,30,24,P1 Wabeka,0,0,1,1,0,0,0,1,0,0,0,2,0,1,0,0,8,4,4
73,8,30,27,P2 Krebs1996,3,0,1,1,0,0,0,1,0,1,1,2,0,1,0,1,7,3,4
74,9,30,16,P1 Wabeka,0,0,1,1,0,0,0,4,0,1,0,5,0,1,0,0,13,5,4
75,10,27,19,P2 Krebs1996,3,0,1,1,0,0,0,3,0,1,2,4,0,1,0,0,12,5,4
76,11,22,13,P1 Wabeka,0,0,2,2,0,0,0,3,1,2,2,5,0,1,1,0,19,6,4
77,12,19,13,P2 Krebs1996,0,0,1,1,0,0,0,2,0,1,1,3,0,1,0,0,18,6,4
