,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 Slage,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,29,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,1
3,4,30,29,P2 Slage,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,2,2,0,1
4,5,30,24,P1 Wabeka,0,0,4,3,0,0,0,1,0,2,1,4,0,1,0,0,6,3,1
5,6,30,24,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,4,2,1
6,7,30,19,P1 Wabeka,0,0,1,1,0,0,0,3,1,1,1,4,0,1,0,0,10,4,1
7,8,27,12,P2 Slage,0,0,1,1,0,0,0,0,1,0,7,1,0,2,0,0,8,4,1
8,9,27,12,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,15,5,1
9,10,27,16,P2 Slage,4,0,1,1,0,0,0,0,0,1,0,1,0,2,0,1,12,4,1
10,11,27,16,P1 Wabeka,0,0,1,2,0,0,0,1,0,2,1,3,0,1,0,3,18,3,1
11,12,27,19,P2 Slage,3,0,1,1,0,0,0,0,0,0,1,1,0,3,0,0,18,6,1
12,13,27,11,P1 Wabeka,0,0,1,2,0,0,0,2,0,2,0,4,0,1,0,0,25,7,1
13,14,27,11,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,3,22,4,1
14,15,27,-1,P1 Wabeka,0,0,1,0,0,0,0,3,0,0,0,3,0,1,0,8,25,0,1
15,1,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
16,2,30,30,P2 Slage,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,2
17,3,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,2
18,4,30,30,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,4,2,2
19,5,30,27,P1 Wabeka,0,0,1,2,0,0,0,1,1,1,1,3,0,1,0,0,5,3,2
20,6,30,27,P2 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,4,0,2
21,7,30,24,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,3,6,1,2
22,8,30,24,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,8,4,2
23,9,30,19,P1 Wabeka,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,0,11,5,2
24,10,30,19,P2 Slage,0,0,5,2,0,0,0,1,0,1,1,3,0,2,0,0,13,5,2
25,11,30,4,P1 Wabeka,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,1,16,5,2
26,12,26,4,P2 Slage,0,0,1,2,0,0,0,2,0,2,1,4,0,2,0,0,19,6,2
27,13,26,-7,P1 Wabeka,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,7,16,0,2
28,1,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
29,2,30,30,P2 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
30,3,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,3
31,4,30,30,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,3
