,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,3,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1
3,4,30,30,P2 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
4,5,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1
5,6,27,27,P2 Thijs,0,0,1,2,0,0,0,0,0,0,1,2,0,2,0,0,4,3,1
6,7,27,27,P1 Wabeka,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,6,4,1
7,8,27,27,P2 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,2,6,2,1
8,9,27,17,P1 Wabeka,0,0,1,2,0,0,0,4,1,1,1,6,0,2,0,0,11,5,1
9,10,27,15,P2 Thijs,0,0,1,0,0,0,0,0,1,0,7,0,0,2,0,5,6,0,1
10,11,27,12,P1 Wabeka,0,0,1,2,0,0,0,0,0,2,0,2,0,2,0,0,17,6,1
11,12,27,12,P2 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,0,12,6,1
12,13,27,3,P1 Wabeka,0,0,1,2,0,0,0,4,3,2,4,6,0,2,0,0,24,7,1
13,14,27,3,P2 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,1,18,6,1
14,15,24,1,P1 Wabeka,0,0,1,3,0,0,0,3,1,3,3,6,0,2,0,1,31,7,1
15,16,24,1,P2 Thijs,0,0,1,1,0,0,0,0,0,0,5,1,0,3,0,0,26,8,1
16,17,24,1,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,6,34,3,1
17,18,24,4,P2 Thijs,3,0,1,2,0,0,0,0,0,1,1,2,0,4,0,0,35,9,1
18,19,24,4,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,5,39,5,1
19,20,24,4,P2 Thijs,0,0,1,3,0,0,0,1,1,2,2,4,0,5,0,0,45,10,1
20,21,24,4,P1 Wabeka,0,0,4,2,0,0,0,0,0,1,0,2,0,3,0,7,42,3,1
21,22,24,8,P2 Thijs,4,0,9,3,0,0,0,0,2,1,3,3,0,7,0,0,55,10,1
22,23,22,8,P1 Wabeka,0,0,2,2,0,0,0,3,4,1,4,5,0,4,1,6,46,4,1
23,24,14,8,P2 Thijs,0,0,1,2,0,0,0,2,0,2,1,4,0,7,0,3,62,7,1
24,25,14,8,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,4,1,8,48,2,1
25,26,-2,8,P2 Thijs,0,0,1,0,0,0,0,2,0,0,0,2,0,7,0,10,62,0,1
26,1,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
27,2,30,30,P2 Thijs,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,2
