,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Pizza,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,27,P2 NNRoffle,0,0,1,3,0,0,0,0,0,1,0,3,0,2,0,0,2,1,1
2,3,30,27,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1
3,4,25,27,P2 NNRoffle,0,0,1,2,0,0,0,1,0,1,0,3,0,3,0,0,4,2,1
4,5,25,25,P1 Pizza,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,5,3,1
5,6,19,25,P2 NNRoffle,0,0,1,2,0,0,0,2,1,1,2,4,0,4,0,0,7,3,1
6,7,19,21,P1 Pizza,0,0,4,4,0,0,0,1,2,1,2,5,0,3,0,0,9,4,1
7,8,-1,21,P2 NNRoffle,0,0,1,0,0,0,0,4,0,0,0,4,0,4,0,4,7,0,1
8,1,30,30,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
9,2,26,30,P2 NNRoffle,0,0,1,3,0,0,0,0,0,1,0,3,0,2,0,0,2,1,2
10,3,26,30,P1 Pizza,0,0,4,2,0,0,0,1,1,1,1,3,0,1,0,0,3,2,2
11,4,26,30,P2 NNRoffle,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,0,4,2,2
12,5,26,29,P1 Pizza,0,0,1,1,0,0,0,2,0,1,1,3,0,1,0,0,6,3,2
13,6,23,26,P2 NNRoffle,0,0,1,3,0,0,0,1,0,3,0,4,0,2,0,0,7,3,2
14,7,23,25,P1 Pizza,0,0,1,2,0,0,0,2,0,2,1,4,0,1,0,0,10,4,2
15,8,19,25,P2 NNRoffle,0,0,1,1,0,0,0,3,1,0,3,4,0,3,0,3,8,1,2
