,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Pizza,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 NNViper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
2,3,30,30,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1
3,4,28,30,P2 NNViper,0,0,1,3,0,0,0,1,0,2,0,4,0,1,0,0,4,2,1
4,5,28,30,P1 Pizza,0,0,1,1,0,0,0,1,1,1,1,2,0,0,0,1,4,2,1
5,6,24,30,P2 NNViper,0,0,1,1,0,0,0,3,1,1,2,4,0,1,0,0,7,3,1
6,7,24,30,P1 Pizza,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,8,4,1
7,8,14,30,P2 NNViper,0,0,1,2,0,0,0,5,0,2,0,7,0,1,0,0,11,4,1
8,9,14,30,P1 Pizza,0,0,1,3,0,0,0,4,4,3,5,7,0,1,0,0,13,5,1
9,10,0,28,P2 NNViper,0,0,2,1,0,0,0,5,2,0,3,6,0,2,1,2,14,3,1
10,1,30,30,P1 Pizza,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
11,2,30,30,P2 NNViper,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,2
12,3,30,30,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,2
13,4,26,30,P2 NNViper,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,1,3,1,2
14,5,26,29,P1 Pizza,0,0,1,2,0,0,0,1,0,2,1,3,0,0,0,0,5,3,2
15,6,26,29,P2 NNViper,0,0,1,1,0,0,0,2,2,1,4,3,0,1,0,0,6,3,2
16,7,26,26,P1 Pizza,0,0,1,2,0,0,0,1,1,1,1,3,0,1,0,1,8,3,2
17,8,20,26,P2 NNViper,0,0,1,2,0,0,0,3,1,2,2,5,0,1,0,0,10,4,2
18,9,20,23,P1 Pizza,0,0,1,1,0,0,0,3,0,0,0,4,0,2,0,1,12,4,2
19,10,2,23,P2 NNViper,0,0,1,1,0,0,0,4,0,1,0,5,0,1,0,1,14,4,2
20,11,2,23,P1 Pizza,0,0,1,2,0,0,0,7,7,2,8,9,0,2,0,2,16,4,2
21,12,-1,23,P2 NNViper,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,6,14,0,2
22,1,30,30,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3
23,2,30,30,P2 NNViper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3
24,3,30,29,P1 Pizza,0,0,1,1,0,0,0,1,1,1,1,2,0,0,0,0,3,2,3
25,4,29,29,P2 NNViper,0,0,1,3,0,0,0,1,0,2,0,4,0,1,0,0,4,2,3
26,5,29,28,P1 Pizza,0,0,4,3,0,0,0,1,1,2,2,4,0,1,0,0,6,3,3
27,6,26,25,P2 NNViper,0,0,1,2,0,0,0,3,1,2,3,5,0,1,0,0,7,3,3
28,7,26,25,P1 Pizza,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,1,9,3,3
