,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Roffle,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 NNPizza,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,30,P1 Roffle,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
3,4,26,30,P2 NNPizza,0,0,1,2,0,0,0,1,0,2,0,3,0,1,0,0,4,2,1
4,5,26,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,3,1
5,6,23,30,P2 NNPizza,0,0,1,3,0,0,0,3,2,2,4,6,0,2,0,0,7,3,1
6,7,23,30,P1 Roffle,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,7,4,1
7,8,13,30,P2 NNPizza,0,0,1,2,0,0,0,5,0,2,1,7,0,2,0,0,11,4,1
8,9,13,25,P1 Roffle,0,0,1,2,0,0,0,3,0,2,0,5,0,1,0,0,12,5,1
9,10,9,25,P2 NNPizza,0,0,1,1,0,0,0,6,1,0,5,7,0,3,0,1,15,4,1
10,11,9,21,P1 Roffle,0,0,1,2,0,0,0,2,1,0,1,4,0,3,0,1,17,5,1
11,12,-1,21,P2 NNPizza,0,0,1,0,0,0,0,3,0,0,0,3,0,3,0,6,15,0,1
12,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
13,2,30,30,P2 NNPizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
14,3,30,26,P1 Roffle,0,0,1,2,0,0,0,1,1,1,1,3,0,1,0,0,3,2,2
15,4,28,26,P2 NNPizza,0,0,1,2,0,0,0,1,0,1,0,3,0,1,0,0,4,2,2
16,5,26,20,P1 Roffle,0,0,2,1,0,0,0,1,0,0,0,2,0,2,1,0,6,3,2
17,6,21,17,P2 NNPizza,0,0,1,2,0,0,0,2,0,2,0,4,0,1,0,0,7,3,2
18,7,21,15,P1 Roffle,0,0,1,2,0,0,0,1,0,2,0,3,0,2,1,2,8,2,2
19,8,14,15,P2 NNPizza,0,0,1,1,0,0,0,4,0,1,1,5,0,1,0,1,10,3,2
20,9,14,10,P1 Roffle,0,0,1,1,0,0,0,2,0,1,0,3,0,2,1,3,10,2,2
21,10,-1,10,P2 NNPizza,0,0,1,2,0,0,0,4,1,1,2,6,0,2,0,2,13,3,2
22,1,30,26,P1 Roffle,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,3
23,2,30,26,P2 NNPizza,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,3
24,3,30,26,P1 Roffle,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,3
25,4,24,26,P2 NNPizza,0,0,1,2,0,0,0,1,0,2,0,3,0,1,0,0,4,2,3
26,5,24,26,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,4,3,3
27,6,19,26,P2 NNPizza,0,0,1,2,0,0,0,3,0,2,1,5,0,1,0,1,6,2,3
28,7,19,23,P1 Roffle,0,0,1,3,0,0,0,1,1,2,1,4,0,2,0,1,7,3,3
29,8,7,21,P2 NNPizza,0,0,2,2,0,0,0,5,0,2,1,7,0,1,1,0,10,4,3
30,9,7,16,P1 Roffle,0,0,1,1,0,0,0,2,0,1,0,3,0,2,0,4,8,1,3
31,10,-1,16,P2 NNPizza,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,5,10,0,3
32,1,30,26,P1 Roffle,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,4
33,2,30,26,P2 NNPizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,4
34,3,30,26,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,3,2,4
35,4,29,26,P2 NNPizza,0,0,1,2,0,0,0,1,0,2,0,3,0,0,0,0,3,2,4
36,5,29,26,P1 Roffle,0,0,1,2,0,0,0,1,0,2,1,3,0,1,0,1,5,2,4
37,6,29,24,P2 NNPizza,0,0,2,2,0,0,0,2,1,1,3,4,0,1,1,0,7,3,4
38,7,27,18,P1 Roffle,0,0,2,1,0,0,0,1,0,0,0,2,0,2,1,1,8,3,4
39,8,25,18,P2 NNPizza,0,0,1,3,0,0,0,3,2,3,3,6,0,1,1,1,10,3,4
40,9,25,18,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,2,1,4,9,1,4
41,10,21,18,P2 NNPizza,0,0,1,1,0,0,0,5,1,1,2,6,0,1,1,1,14,4,4
42,11,21,18,P1 Roffle,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,6,9,0,4
43,12,7,18,P2 NNPizza,0,0,1,1,0,0,0,5,0,1,0,6,0,1,1,1,19,5,4
44,13,7,18,P1 Roffle,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,7,9,0,4
45,14,-1,18,P2 NNPizza,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,7,19,0,4
46,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,5
47,2,30,30,P2 NNPizza,0,0,4,3,0,0,0,0,0,1,0,3,0,2,0,0,2,1,5
48,3,30,28,P1 Roffle,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,5
49,4,30,28,P2 NNPizza,0,0,1,1,0,0,0,1,0,1,1,2,0,2,0,0,4,2,5
50,5,30,26,P1 Roffle,0,0,1,2,0,0,0,1,1,1,1,3,0,1,0,0,6,3,5
51,6,24,26,P2 NNPizza,0,0,1,2,0,0,0,2,0,2,1,4,0,2,0,0,7,3,5
52,7,24,22,P1 Roffle,0,0,1,1,0,0,0,3,0,0,0,4,0,2,0,0,10,4,5
53,8,16,22,P2 NNPizza,0,0,1,3,0,0,0,3,0,3,3,6,0,2,0,1,10,3,5
54,9,16,17,P1 Roffle,0,0,1,2,0,0,0,4,0,2,0,6,0,2,0,1,14,4,5
55,10,0,15,P2 NNPizza,0,0,2,1,0,0,0,5,1,1,3,6,0,2,1,3,12,2,5
56,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,6
57,2,30,30,P2 NNPizza,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,6
58,3,30,27,P1 Roffle,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,6
59,4,30,27,P2 NNPizza,0,0,1,2,0,0,0,1,1,2,2,3,0,1,0,0,4,2,6
60,5,30,27,P1 Roffle,0,0,1,2,0,0,0,1,0,2,0,3,0,0,0,1,5,2,6
61,6,30,24,P2 NNPizza,0,0,1,2,0,0,0,3,3,2,5,5,0,1,0,0,7,3,6
62,7,30,23,P1 Roffle,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,3,6,1,6
63,8,25,21,P2 NNPizza,0,0,2,2,0,0,0,3,1,1,2,5,0,2,1,0,11,4,6
64,9,25,21,P1 Roffle,0,0,1,1,0,0,0,1,0,0,0,2,0,1,0,1,10,4,6
65,10,17,19,P2 NNPizza,0,0,5,2,0,0,0,3,0,1,1,5,0,3,2,0,16,5,6
66,11,17,15,P1 Roffle,0,0,1,1,0,0,0,4,2,1,3,5,0,1,0,5,11,1,6
67,12,9,15,P2 NNPizza,0,0,1,3,0,0,0,2,0,3,3,5,0,3,2,-2,24,8,6
68,13,9,15,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,5,13,2,6
69,14,-1,10,P2 NNPizza,0,0,1,1,0,0,0,2,0,1,0,3,0,3,2,6,25,1,6
70,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,7
71,2,30,30,P2 NNPizza,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,7
72,3,30,30,P1 Roffle,0,0,1,2,0,0,0,1,0,2,0,3,0,0,0,0,3,2,7
73,4,30,30,P2 NNPizza,0,0,1,1,0,0,0,2,1,1,2,3,0,1,0,1,3,1,7
74,5,30,26,P1 Roffle,0,0,1,1,0,0,0,2,2,0,2,3,0,1,0,2,4,1,7
75,6,28,26,P2 NNPizza,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,1,5,2,7
76,7,28,26,P1 Roffle,0,0,1,1,0,0,0,1,0,1,1,2,0,1,0,1,7,3,7
77,8,23,26,P2 NNPizza,0,0,1,1,0,0,0,2,1,0,2,3,0,2,0,0,9,4,7
78,9,23,21,P1 Roffle,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,3,9,2,7
79,10,18,21,P2 NNPizza,0,0,1,3,0,0,0,6,2,3,3,9,0,2,0,0,14,5,7
80,11,18,16,P1 Roffle,0,0,1,1,0,0,0,2,1,0,1,3,0,2,0,5,10,1,7
81,12,-1,14,P2 NNPizza,0,0,2,0,0,0,0,7,0,0,1,7,0,2,1,4,16,2,7
82,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,8
83,2,30,30,P2 NNPizza,0,0,4,3,0,0,0,0,0,1,0,3,0,2,0,0,2,1,8
84,3,30,30,P1 Roffle,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,8
85,4,30,30,P2 NNPizza,0,0,1,2,0,0,0,1,1,2,2,3,0,2,0,0,4,2,8
86,5,30,30,P1 Roffle,0,0,1,2,0,0,0,1,0,2,1,3,0,0,0,0,6,3,8
