,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 NNRoffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
2,3,30,30,P1 Roffle,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,1
3,4,30,30,P2 NNRoffle,0,0,1,3,0,0,0,1,0,2,1,4,0,1,0,0,4,2,1
4,5,30,27,P1 Roffle,0,0,1,3,0,0,0,1,1,1,2,4,0,2,0,0,6,3,1
5,6,30,27,P2 NNRoffle,0,0,1,2,0,0,0,1,2,1,4,3,0,2,0,1,6,2,1
6,7,28,23,P1 Roffle,0,0,2,1,0,0,0,0,0,0,0,1,0,3,1,1,9,3,1
7,8,25,23,P2 NNRoffle,0,0,1,1,0,0,0,1,0,0,0,2,0,3,0,0,10,4,1
8,9,25,23,P1 Roffle,0,0,1,2,0,0,0,0,0,2,0,2,0,3,1,1,13,4,1
9,10,19,23,P2 NNRoffle,0,0,1,2,0,0,0,5,2,0,4,7,0,5,0,0,15,5,1
10,11,19,22,P1 Roffle,0,0,1,0,0,0,0,1,0,0,0,1,0,3,1,6,13,0,1
11,12,10,20,P2 NNRoffle,0,0,2,0,0,0,0,7,0,0,0,7,0,5,1,4,17,2,1
12,13,10,18,P1 Roffle,0,0,1,2,0,0,0,1,1,1,1,3,0,4,1,5,15,2,1
13,14,0,18,P2 NNRoffle,0,0,1,0,0,0,0,4,0,0,0,4,0,5,1,7,17,0,1
14,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
15,2,30,30,P2 NNRoffle,0,0,1,3,0,0,0,0,0,1,1,3,0,2,0,0,2,1,2
16,3,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,2,2
17,4,29,30,P2 NNRoffle,0,0,1,2,0,0,0,1,0,2,0,3,0,2,0,0,4,2,2
18,5,29,30,P1 Roffle,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,6,3,2
19,6,28,30,P2 NNRoffle,0,0,1,1,0,0,0,3,1,1,2,4,0,2,0,1,6,2,2
20,7,28,27,P1 Roffle,0,0,1,3,0,0,0,2,1,2,2,5,0,1,0,0,10,4,2
21,8,25,25,P2 NNRoffle,0,0,2,1,0,0,0,2,1,1,3,3,0,2,1,1,9,3,2
22,9,25,21,P1 Roffle,0,0,1,2,0,0,0,4,0,1,1,6,0,2,0,3,12,2,2
23,10,23,21,P2 NNRoffle,0,0,1,3,0,0,0,1,1,2,4,4,0,3,1,0,14,5,2
24,11,21,12,P1 Roffle,0,0,2,2,0,0,0,3,0,2,0,5,0,2,1,2,16,4,2
25,12,16,10,P2 NNRoffle,0,0,2,1,0,0,0,4,1,1,5,5,0,3,2,2,18,4,2
26,13,16,10,P1 Roffle,0,0,1,0,0,0,0,1,0,0,1,1,0,2,1,7,16,0,2
27,14,2,8,P2 NNRoffle,0,0,2,3,0,0,0,4,0,2,1,7,0,4,3,1,24,6,2
28,15,2,8,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,2,1,7,17,1,2
29,16,-4,8,P2 NNRoffle,0,0,1,0,0,0,0,2,1,0,2,2,0,4,3,8,24,0,2
30,1,30,26,P1 Roffle,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,3
31,2,26,26,P2 NNRoffle,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,3
32,3,26,26,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,2,1,3
33,4,26,26,P2 NNRoffle,0,0,1,3,0,0,0,0,0,2,0,3,0,2,0,0,4,2,3
34,5,26,25,P1 Roffle,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,1,4,2,3
35,6,24,22,P2 NNRoffle,0,0,1,2,0,0,0,1,0,2,1,3,0,2,0,1,6,2,3
36,7,24,21,P1 Roffle,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,4,4,0,3
37,8,15,21,P2 NNRoffle,0,0,1,1,0,0,0,4,1,0,2,5,0,3,0,0,10,4,3
38,9,15,21,P1 Roffle,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5,4,0,3
39,10,1,19,P2 NNRoffle,0,0,2,1,0,0,0,7,0,0,0,8,0,4,1,2,13,3,3
40,11,1,19,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,5,5,1,3
41,12,0,19,P2 NNRoffle,0,0,1,0,0,0,0,1,0,0,0,1,0,4,1,6,13,0,3
42,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,4
43,2,30,30,P2 NNRoffle,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,4
44,3,30,30,P1 Roffle,0,0,1,1,0,0,0,1,1,1,1,2,0,0,0,0,3,2,4
45,4,29,30,P2 NNRoffle,0,0,1,1,0,0,0,2,0,1,1,3,0,1,0,0,4,2,4
46,5,29,29,P1 Roffle,0,0,1,2,0,0,0,0,0,2,1,2,0,0,0,0,6,3,4
47,6,29,26,P2 NNRoffle,0,0,1,3,0,0,0,1,0,3,1,4,0,1,0,0,7,3,4
