,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 NNSolegit,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,1
2,3,30,30,P1 Roffle,0,0,1,2,0,0,0,1,0,2,0,3,0,0,0,0,3,2,1
3,4,28,30,P2 NNSolegit,0,0,1,1,0,0,0,2,0,1,1,3,0,1,0,0,4,2,1
4,5,28,30,P1 Roffle,0,0,1,0,0,0,0,2,2,0,3,2,0,0,0,3,3,0,1
5,6,23,30,P2 NNSolegit,0,0,4,2,0,0,0,2,0,1,0,4,0,2,0,0,7,3,1
6,7,23,30,P1 Roffle,0,0,1,1,0,0,0,1,0,0,0,2,0,1,0,0,7,4,1
7,8,13,30,P2 NNSolegit,0,0,1,2,0,0,0,3,0,2,1,5,0,2,0,1,10,3,1
8,9,13,24,P1 Roffle,0,0,1,2,0,0,0,4,2,0,3,6,0,3,0,0,12,5,1
9,10,-1,19,P2 NNSolegit,0,0,1,1,0,0,0,4,0,1,0,5,0,2,0,4,11,1,1
10,1,30,26,P1 Roffle,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,2
11,2,30,26,P2 NNSolegit,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,2
12,3,30,26,P1 Roffle,0,0,1,2,0,0,0,0,0,2,0,2,0,1,0,0,3,2,2
13,4,27,26,P2 NNSolegit,0,0,1,2,0,0,0,1,0,1,1,3,0,2,0,0,4,2,2
14,5,27,26,P1 Roffle,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,1,5,2,2
15,6,23,24,P2 NNSolegit,0,0,2,1,0,0,0,3,1,0,2,4,0,3,1,0,7,3,2
16,7,23,24,P1 Roffle,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,4,5,0,2
17,8,18,24,P2 NNSolegit,0,0,1,2,0,0,0,1,0,2,1,3,0,3,1,1,10,3,2
18,9,18,24,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,4,6,1,2
19,10,12,22,P2 NNSolegit,0,0,2,2,0,0,0,3,0,2,0,5,0,3,2,0,15,5,2
20,11,12,21,P1 Roffle,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,6,6,0,2
21,12,1,19,P2 NNSolegit,0,0,2,1,0,0,0,5,1,1,2,6,0,3,3,0,21,6,2
22,13,1,19,P1 Roffle,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,7,6,0,2
23,14,-8,19,P2 NNSolegit,0,0,1,0,0,0,0,1,0,0,0,1,0,3,3,7,21,0,2
24,1,30,26,P1 Roffle,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,3
25,2,26,26,P2 NNSolegit,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,3
26,3,26,26,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,3,2,3
27,4,26,26,P2 NNSolegit,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,2,1,3
28,5,26,26,P1 Roffle,0,0,1,1,0,0,0,1,0,1,1,2,0,1,0,1,5,2,3
29,6,26,26,P2 NNSolegit,0,0,1,2,0,0,0,0,0,0,0,2,0,3,0,0,6,3,3
30,7,26,23,P1 Roffle,0,0,1,1,0,0,0,2,0,0,0,3,0,2,0,0,9,4,3
31,8,24,18,P2 NNSolegit,0,0,2,2,0,0,0,4,2,2,3,6,0,3,1,1,9,3,3
32,9,24,14,P1 Roffle,0,0,1,2,0,0,0,4,0,2,0,6,0,2,0,3,11,2,3
33,10,16,14,P2 NNSolegit,0,0,1,1,0,0,0,5,0,1,2,6,0,3,1,0,14,5,3
34,11,14,10,P1 Roffle,0,0,2,1,0,0,0,4,1,0,2,5,0,3,1,3,14,3,3
35,12,-2,10,P2 NNSolegit,0,0,1,0,0,0,0,2,0,0,0,2,0,3,1,6,14,0,3
36,1,30,26,P1 Roffle,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,4
37,2,30,26,P2 NNSolegit,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,4
38,3,30,26,P1 Roffle,0,0,1,2,0,0,0,0,0,1,0,2,0,2,0,0,3,2,4
39,4,28,26,P2 NNSolegit,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,1,3,1,4
40,5,28,22,P1 Roffle,0,0,1,2,0,0,0,1,0,2,0,3,0,2,0,0,6,3,4
41,6,24,22,P2 NNSolegit,0,0,1,2,0,0,0,2,1,1,2,4,0,2,0,0,6,3,4
42,7,22,8,P1 Roffle,0,0,2,2,0,0,0,3,0,1,0,5,0,3,1,0,10,4,4
43,8,16,6,P2 NNSolegit,0,0,2,3,0,0,0,5,1,3,3,8,0,2,1,0,10,4,4
44,9,16,-1,P1 Roffle,0,0,1,1,0,0,0,2,0,1,0,3,0,3,1,3,12,2,4
45,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,5
46,2,30,30,P2 NNSolegit,0,0,1,3,0,0,0,0,0,1,1,3,0,2,0,0,2,1,5
47,3,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,2,5
48,4,25,30,P2 NNSolegit,0,0,1,2,0,0,0,2,1,1,1,4,0,3,0,0,4,2,5
49,5,25,30,P1 Roffle,0,0,1,2,0,0,0,1,0,2,1,3,0,0,0,0,6,3,5
50,6,25,30,P2 NNSolegit,0,0,1,1,0,0,0,1,1,1,2,2,0,3,0,1,6,2,5
51,7,25,24,P1 Roffle,0,0,1,1,0,0,0,2,0,0,1,3,0,1,0,0,10,4,5
52,8,25,24,P2 NNSolegit,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,0,10,4,5
53,9,25,16,P1 Roffle,0,0,1,1,0,0,0,6,0,1,0,7,0,1,0,4,11,1,5
54,10,25,14,P2 NNSolegit,0,0,2,2,0,0,0,1,0,2,1,3,0,3,1,0,15,5,5
55,11,25,4,P1 Roffle,0,0,1,1,0,0,0,6,0,1,1,7,0,1,0,4,13,2,5
56,12,16,2,P2 NNSolegit,0,0,2,1,0,0,0,3,1,1,3,4,0,3,2,2,19,4,5
57,13,16,0,P1 Roffle,0,0,1,2,0,0,0,4,1,1,3,6,0,2,0,1,19,6,5
58,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,6
59,2,30,30,P2 NNSolegit,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,6
60,3,30,26,P1 Roffle,0,0,1,2,0,0,0,1,0,1,0,3,0,1,0,0,3,2,6
61,4,28,26,P2 NNSolegit,0,0,1,0,0,0,0,2,0,0,0,2,0,1,0,2,2,0,6
62,5,28,17,P1 Roffle,0,0,1,2,0,0,0,2,0,1,0,4,0,2,0,1,5,2,6
63,6,26,17,P2 NNSolegit,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,0,5,3,6
64,7,26,11,P1 Roffle,0,0,1,1,0,0,0,3,0,1,0,4,0,2,0,1,8,3,6
65,8,22,11,P2 NNSolegit,0,0,1,3,0,0,0,4,1,2,3,7,0,2,0,1,8,3,6
66,9,22,6,P1 Roffle,0,0,1,1,0,0,0,3,0,0,1,4,0,3,0,1,12,4,6
67,10,20,6,P2 NNSolegit,0,0,1,1,0,0,0,5,1,0,4,6,0,3,0,1,12,4,6
68,11,20,1,P1 Roffle,0,0,1,1,0,0,0,4,0,0,0,5,0,4,0,2,16,4,6
69,12,18,1,P2 NNSolegit,0,0,1,2,0,0,0,7,2,2,8,9,0,3,0,3,15,3,6
70,13,18,0,P1 Roffle,0,0,1,0,0,0,0,1,0,0,0,1,0,4,0,7,16,0,6
71,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,7
72,2,30,30,P2 NNSolegit,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,7
73,3,30,29,P1 Roffle,0,0,1,2,0,0,0,1,0,2,0,3,0,0,0,0,3,2,7
74,4,26,26,P2 NNSolegit,0,0,1,2,0,0,0,1,0,2,0,3,0,1,0,0,4,2,7
75,5,26,20,P1 Roffle,0,0,1,1,0,0,0,3,1,0,1,4,0,1,0,2,4,1,7
76,6,21,15,P2 NNSolegit,0,0,1,2,0,0,0,3,1,2,3,5,0,1,0,0,7,3,7
77,7,21,15,P1 Roffle,0,0,1,2,0,0,0,1,0,2,0,3,0,1,0,0,8,4,7
