,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Roffle,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 NNViper,0,0,4,3,0,0,0,0,0,1,0,3,0,2,0,0,2,1,1
2,3,30,30,P1 Roffle,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
3,4,29,30,P2 NNViper,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,0,4,2,1
4,5,29,30,P1 Roffle,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,3,3,1
5,6,26,30,P2 NNViper,0,0,1,1,0,0,0,2,0,1,0,3,0,2,0,0,7,3,1
6,7,26,28,P1 Roffle,0,0,1,1,0,0,0,1,0,0,0,2,0,2,0,0,7,4,1
7,8,19,26,P2 NNViper,0,0,2,3,0,0,0,4,1,2,3,7,0,3,1,0,11,4,1
8,9,19,23,P1 Roffle,0,0,1,2,0,0,0,3,2,1,3,5,0,3,0,0,12,5,1
9,10,0,23,P2 NNViper,0,0,1,1,0,0,0,4,0,1,1,5,0,3,1,3,13,2,1
10,1,30,30,P1 Roffle,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
11,2,30,30,P2 NNViper,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,2
12,3,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,2
13,4,30,30,P2 NNViper,0,0,1,1,0,0,0,2,1,1,2,3,0,1,0,1,3,1,2
14,5,30,30,P1 Roffle,0,0,1,2,0,0,0,0,0,2,0,2,0,0,0,0,5,3,2
15,6,29,30,P2 NNViper,0,0,1,1,0,0,0,2,1,1,2,3,0,1,0,2,4,1,2
16,7,29,30,P1 Roffle,0,0,1,1,0,0,0,1,0,0,0,2,0,1,0,0,9,4,2
17,8,27,30,P2 NNViper,0,0,1,2,0,0,0,3,1,1,2,5,0,2,0,0,8,4,2
18,9,27,25,P1 Roffle,0,0,1,2,0,0,0,4,2,0,3,6,0,3,0,0,14,5,2
19,10,18,25,P2 NNViper,0,0,1,2,0,0,0,6,1,2,6,8,0,2,0,0,13,5,2
20,11,18,23,P1 Roffle,0,0,1,2,0,0,0,1,0,2,0,3,0,3,0,4,16,2,2
21,12,0,21,P2 NNViper,0,0,2,2,0,0,0,6,3,1,4,8,0,3,1,2,17,4,2
22,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3
23,2,30,30,P2 NNViper,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,3
24,3,30,30,P1 Roffle,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,3
25,4,29,30,P2 NNViper,0,0,1,1,0,0,0,2,1,1,2,3,0,1,0,0,4,2,3
26,5,29,30,P1 Roffle,0,0,1,2,0,0,0,1,0,1,0,3,0,1,0,1,5,2,3
27,6,29,30,P2 NNViper,0,0,1,2,0,0,0,2,2,2,4,4,0,1,0,0,7,3,3
28,7,29,30,P1 Roffle,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,9,4,3
29,8,29,30,P2 NNViper,0,0,1,2,0,0,0,3,2,1,5,5,0,2,0,0,11,4,3
30,9,29,29,P1 Roffle,0,0,1,2,0,0,0,1,1,2,2,3,0,2,0,2,12,3,3
31,10,16,29,P2 NNViper,0,0,1,1,0,0,0,2,0,0,0,3,0,3,0,1,15,4,3
32,11,16,24,P1 Roffle,0,0,1,2,0,0,0,2,1,0,2,4,0,4,0,1,17,5,3
33,12,-2,24,P2 NNViper,0,0,1,0,0,0,0,3,0,0,0,3,0,3,0,6,15,0,3
34,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,4
35,2,30,30,P2 NNViper,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,4
36,3,30,27,P1 Roffle,0,0,1,2,0,0,0,1,0,2,0,3,0,0,0,0,3,2,4
37,4,30,27,P2 NNViper,0,0,1,1,0,0,0,1,0,1,1,2,0,1,0,1,3,1,4
38,5,30,23,P1 Roffle,0,0,1,2,0,0,0,2,0,2,0,4,0,0,0,0,6,3,4
39,6,30,21,P2 NNViper,0,0,2,1,0,0,0,2,2,1,4,3,0,1,1,0,6,3,4
40,7,28,17,P1 Roffle,0,0,2,1,0,0,0,2,1,0,1,3,0,1,1,1,9,3,4
41,8,28,17,P2 NNViper,0,0,1,1,0,0,0,0,0,0,0,1,0,2,1,0,10,4,4
42,9,28,17,P1 Roffle,0,0,1,2,0,0,0,1,1,1,2,3,0,2,1,1,13,4,4
43,10,18,17,P2 NNViper,0,0,1,2,0,0,0,5,0,2,0,7,0,2,1,0,15,5,4
44,11,18,11,P1 Roffle,0,0,1,0,0,0,0,2,0,0,0,2,0,2,1,6,13,0,4
45,12,0,11,P2 NNViper,0,0,1,0,0,0,0,3,0,0,0,3,0,2,1,6,15,0,4
46,1,30,30,P1 Roffle,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
47,2,30,30,P2 NNViper,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,5
48,3,30,30,P1 Roffle,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,2,5
49,4,25,30,P2 NNViper,0,0,4,2,0,0,0,1,0,1,0,3,0,2,0,0,4,2,5
50,5,25,26,P1 Roffle,0,0,1,2,0,0,0,1,1,1,1,3,0,2,0,0,5,3,5
51,6,21,26,P2 NNViper,0,0,1,2,0,0,0,2,1,2,3,4,0,2,0,0,7,3,5
52,7,21,26,P1 Roffle,0,0,1,1,0,0,0,2,1,0,1,3,0,3,0,0,9,4,5
53,8,9,26,P2 NNViper,0,0,1,3,0,0,0,3,1,2,3,6,0,3,0,0,11,4,5
54,9,9,20,P1 Roffle,0,0,1,2,0,0,0,3,2,0,3,5,0,5,0,0,14,5,5
55,10,-2,20,P2 NNViper,0,0,1,0,0,0,0,2,0,0,0,2,0,3,0,5,11,0,5
56,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,6
57,2,30,30,P2 NNViper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,6
58,3,30,30,P1 Roffle,0,0,1,1,0,0,0,1,1,1,2,2,0,0,0,1,2,1,6
59,4,30,30,P2 NNViper,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,4,2,6
60,5,30,22,P1 Roffle,0,0,1,2,0,0,0,2,0,1,0,4,0,1,0,0,5,3,6
61,6,25,22,P2 NNViper,0,0,1,2,0,0,0,3,1,2,2,5,0,1,0,0,7,3,6
62,7,25,18,P1 Roffle,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,3,6,1,6
63,8,20,18,P2 NNViper,0,0,4,3,0,0,0,4,0,2,3,7,0,2,0,0,11,4,6
64,9,20,18,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,4,7,1,6
65,10,9,16,P2 NNViper,0,0,2,1,0,0,0,6,2,1,2,7,0,2,1,0,16,5,6
66,11,7,10,P1 Roffle,0,0,2,2,0,0,0,1,0,1,0,3,0,2,1,1,12,5,6
67,12,0,10,P2 NNViper,0,0,1,0,0,0,0,3,1,0,2,3,0,2,1,6,16,0,6
68,1,30,26,P1 Roffle,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,7
69,2,30,26,P2 NNViper,0,0,4,3,0,0,0,0,0,1,0,3,0,2,0,0,2,1,7
70,3,30,26,P1 Roffle,0,0,1,2,0,0,0,0,0,2,0,2,0,1,0,0,3,2,7
71,4,29,26,P2 NNViper,0,0,1,1,0,0,0,1,1,1,2,2,0,2,0,0,4,2,7
72,5,29,24,P1 Roffle,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,2,4,1,7
73,6,24,24,P2 NNViper,0,0,1,2,0,0,0,2,0,2,0,4,0,2,0,0,7,3,7
74,7,24,20,P1 Roffle,0,0,1,1,0,0,0,3,0,1,0,4,0,1,0,1,7,3,7
75,8,18,15,P2 NNViper,0,0,2,2,0,0,0,4,1,2,3,6,0,2,1,0,11,4,7
76,9,18,10,P1 Roffle,0,0,1,1,0,0,0,3,0,1,0,4,0,1,0,4,8,1,7
77,10,0,10,P2 NNViper,0,0,1,2,0,0,0,3,1,1,2,5,0,3,1,2,14,3,7
78,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,8
79,2,30,30,P2 NNViper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,8
80,3,30,30,P1 Roffle,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,8
81,4,30,30,P2 NNViper,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,4,2,8
82,5,30,29,P1 Roffle,0,0,1,2,0,0,0,2,0,2,3,4,0,0,0,1,5,2,8
