,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 NNWabeka,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,28,P1 Roffle,0,0,1,2,0,0,0,1,1,1,1,3,0,1,0,0,3,2,1
3,4,26,28,P2 NNWabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,4,2,1
4,5,26,26,P1 Roffle,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,2,4,1,1
5,6,23,24,P2 NNWabeka,0,0,2,1,0,0,0,2,0,1,1,3,0,1,1,0,7,3,1
6,7,23,24,P1 Roffle,0,0,1,1,0,0,0,1,0,0,0,2,0,2,0,0,8,4,1
7,8,14,24,P2 NNWabeka,0,0,1,1,0,0,0,3,0,0,0,4,0,2,1,0,11,4,1
8,9,14,18,P1 Roffle,0,0,1,2,0,0,0,5,2,1,3,7,0,3,0,1,12,4,1
9,10,0,18,P2 NNWabeka,0,0,1,1,0,0,0,4,0,1,0,5,0,2,1,0,16,5,1
10,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
11,2,30,30,P2 NNWabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
12,3,30,28,P1 Roffle,0,0,1,2,0,0,0,1,1,1,1,3,0,1,0,0,3,2,2
13,4,28,28,P2 NNWabeka,0,0,1,2,0,0,0,1,0,1,0,3,0,1,0,0,4,2,2
14,5,26,22,P1 Roffle,0,0,2,1,0,0,0,1,0,0,0,2,0,2,1,0,6,3,2
15,6,23,22,P2 NNWabeka,0,0,1,2,0,0,0,3,2,1,4,5,0,2,0,1,6,2,2
16,7,23,22,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,2,1,2,8,2,2
17,8,20,22,P2 NNWabeka,0,0,1,1,0,0,0,2,0,1,1,3,0,2,0,0,10,4,2
18,9,20,22,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,2,1,2,11,3,2
19,10,12,22,P2 NNWabeka,0,0,1,1,0,0,0,3,0,1,2,4,0,2,0,0,15,5,2
20,11,12,22,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,2,1,5,12,1,2
21,12,0,22,P2 NNWabeka,0,0,1,1,0,0,0,2,0,1,0,3,0,2,0,5,16,1,2
22,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3
23,2,30,30,P2 NNWabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3
24,3,30,30,P1 Roffle,0,0,1,0,0,0,0,1,1,0,2,1,0,0,0,2,1,0,3
25,4,30,28,P2 NNWabeka,0,0,2,2,0,0,0,0,0,1,0,2,0,1,1,0,4,2,3
26,5,30,28,P1 Roffle,0,0,1,1,0,0,0,1,1,1,1,2,0,0,0,1,3,2,3
27,6,29,25,P2 NNWabeka,0,0,1,3,0,0,0,1,0,3,0,4,0,1,1,0,7,3,3
28,7,29,25,P1 Roffle,0,0,1,2,0,0,0,1,0,2,1,3,0,0,0,0,7,4,3
29,8,25,25,P2 NNWabeka,0,0,1,1,0,0,0,3,1,1,2,4,0,1,1,0,11,4,3
30,9,23,17,P1 Roffle,0,0,2,2,0,0,0,3,1,1,2,5,0,1,1,1,11,4,3
31,10,16,20,P2 NNWabeka,3,0,1,1,0,0,0,4,0,1,1,5,0,1,1,0,16,5,3
32,11,16,20,P1 Roffle,0,0,1,2,0,0,0,2,0,1,1,4,0,2,1,1,16,5,3
33,12,1,28,P2 NNWabeka,8,0,1,2,0,0,0,4,0,2,0,6,0,1,1,0,22,6,3
34,13,1,30,P1 Roffle,0,0,1,2,0,0,0,6,5,1,5,8,0,3,1,2,21,5,3
35,14,-1,30,P2 NNWabeka,0,0,1,0,0,0,0,1,1,0,2,1,0,1,1,7,22,0,3
36,1,30,26,P1 Roffle,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,4
37,2,30,26,P2 NNWabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,4
38,3,30,26,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,3,2,4
39,4,29,23,P2 NNWabeka,0,0,1,2,0,0,0,1,0,2,0,3,0,0,0,0,3,2,4
40,5,29,22,P1 Roffle,0,0,1,3,0,0,0,1,0,2,1,4,0,2,0,0,6,3,4
41,6,29,22,P2 NNWabeka,0,0,1,1,0,0,0,2,2,1,3,3,0,0,0,1,5,2,4
42,7,27,16,P1 Roffle,0,0,2,1,0,0,0,2,0,1,0,3,0,2,1,1,9,3,4
43,8,19,22,P2 NNWabeka,6,0,1,2,0,0,0,2,0,1,0,4,0,1,0,0,10,4,4
44,9,16,19,P1 Roffle,0,0,1,2,0,0,0,3,0,2,0,5,0,2,1,2,12,3,4
45,10,5,28,P2 NNWabeka,9,0,1,2,0,0,0,2,0,2,0,4,0,1,0,1,14,4,4
46,11,5,23,P1 Roffle,0,0,1,1,0,0,0,5,2,1,3,6,0,2,1,4,14,2,4
47,12,-4,30,P2 NNWabeka,7,0,1,0,0,0,0,1,0,0,0,1,0,1,0,6,14,0,4
48,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,5
49,2,30,30,P2 NNWabeka,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,5
50,3,30,27,P1 Roffle,0,0,1,2,0,0,0,1,1,1,1,3,0,1,0,0,3,2,5
51,4,27,27,P2 NNWabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,1,3,1,5
52,5,27,23,P1 Roffle,0,0,1,2,0,0,0,2,0,2,0,4,0,1,0,1,5,2,5
53,6,24,23,P2 NNWabeka,0,0,1,1,0,0,0,2,0,1,1,3,0,1,0,0,6,3,5
54,7,24,23,P1 Roffle,0,0,1,1,0,0,0,3,2,0,3,4,0,2,0,0,9,4,5
55,8,21,23,P2 NNWabeka,0,0,1,2,0,0,0,3,1,2,3,5,0,1,0,0,10,4,5
56,9,21,22,P1 Roffle,0,0,1,2,0,0,0,3,1,2,2,5,0,2,0,1,13,4,5
57,10,8,22,P2 NNWabeka,0,0,1,1,0,0,0,6,2,1,4,7,0,1,0,0,15,5,5
58,11,8,19,P1 Roffle,0,0,1,0,0,0,0,3,0,0,0,3,0,2,0,6,13,0,5
59,12,0,19,P2 NNWabeka,0,0,1,0,0,0,0,2,0,0,0,2,0,1,0,6,15,0,5
60,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,6
61,2,30,30,P2 NNWabeka,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,6
62,3,30,28,P1 Roffle,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,6
63,4,24,28,P2 NNWabeka,0,0,1,2,0,0,0,1,0,2,0,3,0,1,0,0,4,2,6
64,5,24,21,P1 Roffle,0,0,1,2,0,0,0,2,0,2,1,4,0,0,0,0,6,3,6
65,6,24,21,P2 NNWabeka,0,0,1,1,0,0,0,2,1,1,2,3,0,1,0,0,7,3,6
66,7,24,8,P1 Roffle,0,0,1,2,0,0,0,3,0,1,0,5,0,1,0,1,9,3,6
67,8,22,8,P2 NNWabeka,0,0,1,1,0,0,0,2,0,0,1,3,0,2,0,0,11,4,6
68,9,20,1,P1 Roffle,0,0,2,1,0,0,0,3,0,1,1,4,0,1,1,0,14,5,6
69,10,18,5,P2 NNWabeka,4,0,1,1,0,0,0,6,4,1,9,7,0,2,0,0,16,5,6
70,11,18,5,P1 Roffle,0,0,1,2,0,0,0,0,0,1,0,2,0,2,1,1,19,5,6
71,12,11,9,P2 NNWabeka,4,0,1,3,0,0,0,3,0,3,2,6,0,2,0,0,22,6,6
72,13,11,9,P1 Roffle,0,0,1,1,0,0,0,3,3,1,4,4,0,2,1,6,20,1,6
73,14,-1,14,P2 NNWabeka,5,0,1,2,0,0,0,3,1,1,2,5,0,3,0,2,27,5,6
74,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,7
75,2,30,30,P2 NNWabeka,0,0,4,3,0,0,0,0,0,1,0,3,0,2,0,0,2,1,7
76,3,30,26,P1 Roffle,0,0,1,1,0,0,0,1,1,0,1,2,0,1,0,1,2,1,7
77,4,28,26,P2 NNWabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,0,4,2,7
78,5,26,22,P1 Roffle,0,0,2,1,0,0,0,1,1,0,1,2,0,2,1,0,5,3,7
79,6,20,22,P2 NNWabeka,0,0,1,2,0,0,0,2,1,1,1,4,0,3,0,0,7,3,7
80,7,20,22,P1 Roffle,0,0,1,2,0,0,0,0,0,2,0,2,0,2,1,2,7,2,7
81,8,20,22,P2 NNWabeka,0,0,1,1,0,0,0,2,0,1,2,3,0,3,0,0,11,4,7
82,9,20,22,P1 Roffle,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,5,7,0,7
83,10,7,28,P2 NNWabeka,6,0,1,1,0,0,0,4,0,1,0,5,0,3,0,0,16,5,7
84,11,7,28,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,2,1,5,8,1,7
85,12,-4,30,P2 NNWabeka,2,0,1,1,0,0,0,1,0,1,0,2,0,3,0,1,21,5,7
86,1,30,26,P1 Roffle,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,8
87,2,30,26,P2 NNWabeka,0,0,4,3,0,0,0,0,0,1,0,3,0,2,0,0,2,1,8
88,3,30,26,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,3,2,8
89,4,29,26,P2 NNWabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,0,4,2,8
90,5,29,22,P1 Roffle,0,0,1,3,0,0,0,1,0,3,2,4,0,1,0,0,6,3,8
91,6,26,17,P2 NNWabeka,0,0,2,1,0,0,0,1,0,1,0,2,0,2,1,0,7,3,8
92,7,26,11,P1 Roffle,0,0,1,1,0,0,0,4,0,1,0,5,0,1,0,3,7,1,8
93,8,24,11,P2 NNWabeka,0,0,1,2,0,0,0,3,1,2,5,5,0,2,1,0,11,4,8
94,9,24,10,P1 Roffle,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,5,7,0,8
95,10,9,10,P2 NNWabeka,0,0,1,2,0,0,0,4,1,1,1,6,0,3,1,0,16,5,8
96,11,9,8,P1 Roffle,0,0,1,2,0,0,0,1,0,1,0,3,0,2,0,3,10,3,8
97,12,0,15,P2 NNWabeka,7,0,1,1,0,0,0,2,0,1,0,3,0,3,1,1,21,5,8
98,1,30,26,P1 Roffle,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,9
99,2,30,26,P2 NNWabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,9
100,3,30,26,P1 Roffle,0,0,1,2,0,0,0,0,0,2,0,2,0,1,0,0,3,2,9
101,4,30,26,P2 NNWabeka,0,0,1,2,0,0,0,1,1,1,2,3,0,1,0,0,3,2,9
102,5,30,26,P1 Roffle,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,1,5,2,9
103,6,28,26,P2 NNWabeka,0,0,1,1,0,0,0,2,1,1,2,3,0,1,0,0,6,3,9
104,7,28,25,P1 Roffle,0,0,1,2,0,0,0,1,0,2,1,3,0,1,0,0,9,4,9
105,8,27,25,P2 NNWabeka,0,0,1,2,0,0,0,1,0,1,0,3,0,2,0,0,11,4,9
106,9,27,14,P1 Roffle,0,0,1,1,0,0,0,3,1,0,1,4,0,2,0,4,10,1,9
107,10,25,14,P2 NNWabeka,0,0,1,1,0,0,0,2,0,1,1,3,0,2,0,0,16,5,9
108,11,23,9,P1 Roffle,0,0,2,2,0,0,0,1,0,2,0,3,0,2,1,0,16,6,9
109,12,17,9,P2 NNWabeka,0,0,1,2,0,0,0,3,0,2,2,5,0,2,0,0,22,6,9
110,13,17,6,P1 Roffle,0,0,1,0,0,0,0,2,0,0,0,2,0,2,1,7,16,0,9
111,14,0,6,P2 NNWabeka,0,0,1,1,0,0,0,3,1,0,1,4,0,3,0,6,23,1,9
112,1,30,26,P1 Roffle,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,10
113,2,30,26,P2 NNWabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,10
114,3,30,26,P1 Roffle,0,0,1,2,0,0,0,0,0,2,0,2,0,1,0,0,3,2,10
115,4,29,26,P2 NNWabeka,0,0,1,2,0,0,0,1,0,1,0,3,0,1,0,0,4,2,10
116,5,27,22,P1 Roffle,0,0,2,1,0,0,0,2,0,0,1,3,0,2,1,0,6,3,10
117,6,27,22,P2 NNWabeka,0,0,1,1,0,0,0,1,0,1,1,2,0,1,0,1,6,2,10
118,7,27,22,P1 Roffle,0,0,1,1,0,0,0,1,1,0,1,2,0,3,1,0,10,4,10
