,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 NNPizza,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,1
2,3,30,29,P1 Solegit,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,1
3,4,27,29,P2 NNPizza,0,0,1,2,0,0,0,2,1,1,1,4,0,2,0,0,4,2,1
4,5,27,27,P1 Solegit,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,3,1,0,1
5,6,22,27,P2 NNPizza,0,0,1,1,0,0,0,3,0,1,1,4,0,2,0,0,7,3,1
6,7,22,25,P1 Solegit,0,0,1,2,0,0,0,1,1,1,1,3,0,1,0,1,4,3,1
7,8,15,25,P2 NNPizza,0,0,1,1,0,0,0,3,0,0,1,4,0,3,0,0,11,4,1
8,9,15,16,P1 Solegit,0,0,1,2,0,0,0,4,0,2,0,6,0,1,0,0,9,5,1
9,10,0,16,P2 NNPizza,0,0,1,1,0,0,0,6,2,0,3,7,0,4,0,4,12,1,1
10,1,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
11,2,30,30,P2 NNPizza,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,2
12,3,30,27,P1 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,2,1,2
13,4,25,27,P2 NNPizza,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,1,3,1,2
14,5,25,23,P1 Solegit,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,1,4,2,2
15,6,20,23,P2 NNPizza,0,0,1,2,0,0,0,2,2,1,3,4,0,2,0,0,6,3,2
16,7,20,16,P1 Solegit,0,0,1,2,0,0,0,2,0,2,0,4,0,0,0,0,8,4,2
17,8,13,16,P2 NNPizza,0,0,1,2,0,0,0,4,2,2,4,6,0,2,0,1,9,3,2
18,9,13,12,P1 Solegit,0,0,1,2,0,0,0,2,0,1,0,4,0,1,0,1,12,4,2
19,10,0,12,P2 NNPizza,0,0,1,1,0,0,0,2,0,0,2,3,0,3,0,1,13,4,2
20,1,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3
21,2,30,30,P2 NNPizza,0,0,4,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,3
22,3,30,27,P1 Solegit,0,0,1,2,0,0,0,1,0,2,0,3,0,0,0,0,3,2,3
23,4,30,27,P2 NNPizza,0,0,1,3,0,0,0,0,0,2,0,3,0,2,0,0,4,2,3
24,5,30,24,P1 Solegit,0,0,1,0,0,0,0,3,0,0,0,3,0,0,0,3,3,0,3
25,6,30,22,P2 NNPizza,0,0,2,1,0,0,0,2,1,1,2,3,0,2,1,0,7,3,3
26,7,30,22,P1 Solegit,0,0,1,0,0,0,0,2,1,0,1,2,0,0,0,4,3,0,3
27,8,26,22,P2 NNPizza,0,0,1,1,0,0,0,2,0,0,0,3,0,3,1,0,11,4,3
28,9,26,16,P1 Solegit,0,0,1,1,0,0,0,2,1,1,2,3,0,0,0,0,8,5,3
29,10,18,16,P2 NNPizza,0,0,1,1,0,0,0,7,1,1,2,8,0,3,1,1,15,4,3
30,11,18,16,P1 Solegit,0,0,1,4,0,0,0,0,1,3,1,4,0,1,0,0,14,6,3
31,12,0,16,P2 NNPizza,0,0,1,0,0,0,0,5,1,0,2,5,0,3,1,6,15,0,3
32,1,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,4
