,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,26,30,P2 NNRoffle,0,0,1,3,0,0,0,0,0,1,0,3,0,2,0,0,2,1,1
2,3,26,30,P1 Solegit,0,0,4,2,0,0,0,1,1,1,2,3,0,1,0,0,3,2,1
3,4,26,30,P2 NNRoffle,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,0,4,2,1
4,5,26,29,P1 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,2,4,1,1
5,6,23,29,P2 NNRoffle,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,1,6,2,1
6,7,23,27,P1 Solegit,0,0,1,1,0,0,0,2,0,0,0,3,0,2,0,0,8,4,1
7,8,15,27,P2 NNRoffle,0,0,1,2,0,0,0,2,0,2,1,4,0,2,0,1,9,3,1
8,9,15,22,P1 Solegit,0,0,1,2,0,0,0,5,0,1,0,7,0,3,0,0,13,5,1
9,10,2,22,P2 NNRoffle,0,0,1,2,0,0,0,4,0,1,2,6,0,3,0,0,14,5,1
