,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 NNViper,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,1
2,3,30,30,P1 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,1
3,4,30,30,P2 NNViper,0,0,1,1,0,0,0,2,1,1,2,3,0,1,0,0,4,2,1
4,5,30,25,P1 Solegit,0,0,1,2,0,0,0,1,0,2,0,3,0,0,0,1,5,2,1
5,6,27,23,P2 NNViper,0,0,5,1,0,0,0,2,0,0,0,3,0,2,1,0,7,3,1
6,7,27,16,P1 Solegit,0,0,1,2,0,0,0,3,1,1,2,5,0,1,0,0,9,4,1
7,8,24,16,P2 NNViper,0,0,1,1,0,0,0,1,0,1,0,2,0,2,1,0,11,4,1
8,9,24,6,P1 Solegit,0,0,1,2,0,0,0,4,0,2,0,6,0,1,0,0,14,5,1
9,10,19,6,P2 NNViper,0,0,1,2,0,0,0,2,0,2,0,4,0,2,1,0,16,5,1
10,11,19,-2,P1 Solegit,0,0,1,0,0,0,0,2,1,0,2,2,0,1,0,6,14,0,1
11,1,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
12,2,30,30,P2 NNViper,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,2
13,3,30,28,P1 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,2
14,4,28,25,P2 NNViper,0,0,1,2,0,0,0,1,0,2,1,3,0,1,0,0,4,2,2
15,5,28,21,P1 Solegit,0,0,1,2,0,0,0,1,0,2,0,3,0,0,0,0,6,3,2
16,6,21,21,P2 NNViper,0,0,1,1,0,0,0,2,0,1,1,3,0,1,0,0,7,3,2
17,7,21,16,P1 Solegit,0,0,1,2,0,0,0,2,0,2,1,4,0,0,0,1,9,3,2
18,8,10,16,P2 NNViper,0,0,1,2,0,0,0,5,1,2,1,7,0,1,0,0,11,4,2
19,9,10,8,P1 Solegit,0,0,1,2,0,0,0,3,2,2,5,5,0,0,0,2,12,3,2
20,10,-2,8,P2 NNViper,0,0,1,0,0,0,0,2,0,0,0,2,0,1,0,5,11,0,2
21,1,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3
22,2,30,30,P2 NNViper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3
23,3,30,27,P1 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,2,1,3
24,4,30,27,P2 NNViper,0,0,1,2,0,0,0,1,1,1,2,3,0,1,0,0,4,2,3
25,5,30,26,P1 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,5,3,3
26,6,23,26,P2 NNViper,0,0,1,1,0,0,0,4,0,1,0,5,0,1,0,2,5,1,3
27,7,23,24,P1 Solegit,0,0,1,1,0,0,0,2,0,0,0,3,0,1,0,0,9,4,3
28,8,16,24,P2 NNViper,0,0,1,2,0,0,0,5,0,2,0,7,0,1,0,0,9,4,3
29,9,16,24,P1 Solegit,0,0,1,2,0,0,0,7,6,1,6,9,0,2,0,0,14,5,3
30,10,0,24,P2 NNViper,0,0,1,0,0,0,0,5,0,0,0,5,0,1,0,5,9,0,3
31,1,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,4
32,2,30,30,P2 NNViper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,4
33,3,30,30,P1 Solegit,0,0,1,1,0,0,0,1,1,1,1,2,0,0,0,0,3,2,4
34,4,30,30,P2 NNViper,0,0,1,2,0,0,0,1,1,1,2,3,0,1,0,0,4,2,4
35,5,30,27,P1 Solegit,0,0,1,2,0,0,0,1,1,1,1,3,0,1,0,0,6,3,4
36,6,20,27,P2 NNViper,0,0,1,2,0,0,0,3,1,1,1,5,0,2,0,0,7,3,4
37,7,20,23,P1 Solegit,0,0,1,1,0,0,0,1,0,0,0,2,0,2,0,0,10,4,4
38,8,11,21,P2 NNViper,0,0,2,2,0,0,0,6,1,2,2,8,0,2,1,2,9,2,4
39,9,11,12,P1 Solegit,0,0,4,4,0,0,0,4,1,2,1,8,0,4,0,0,15,5,4
40,10,-7,12,P2 NNViper,0,0,1,0,0,0,0,2,0,0,0,2,0,2,1,5,9,0,4
41,1,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,5
42,2,30,30,P2 NNViper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,5
43,3,30,29,P1 Solegit,0,0,1,1,0,0,0,1,1,1,1,2,0,0,0,0,3,2,5
44,4,28,29,P2 NNViper,0,0,1,3,0,0,0,1,0,2,0,4,0,1,0,0,4,2,5
45,5,28,24,P1 Solegit,0,0,1,2,0,0,0,2,2,1,3,4,0,1,0,0,6,3,5
46,6,25,24,P2 NNViper,0,0,1,1,0,0,0,2,0,1,1,3,0,1,0,0,7,3,5
