,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,26,P1 Solegit,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1
1,2,30,26,P2 NNWabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
2,3,30,26,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,3,2,1
3,4,29,24,P2 NNWabeka,0,0,2,0,0,0,0,1,0,0,0,1,0,0,1,0,3,2,1
4,5,29,24,P1 Solegit,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,3,3,0,1
5,6,29,24,P2 NNWabeka,0,0,1,2,0,0,0,1,1,0,2,3,0,2,1,0,7,3,1
6,7,29,24,P1 Solegit,0,0,4,3,0,0,0,0,0,2,0,3,0,2,0,0,7,4,1
7,8,27,24,P2 NNWabeka,0,0,1,1,0,0,0,4,2,1,3,5,0,2,1,0,11,4,1
8,9,27,23,P1 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,1,11,4,1
9,10,14,21,P2 NNWabeka,0,0,2,2,0,0,0,4,1,1,1,6,0,3,2,0,16,5,1
10,11,14,10,P1 Solegit,0,0,1,2,0,0,0,2,0,2,0,4,0,2,0,2,15,4,1
11,12,-1,10,P2 NNWabeka,0,0,1,1,0,0,0,4,1,1,2,5,0,3,2,1,21,5,1
12,1,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
13,2,30,30,P2 NNWabeka,0,0,4,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,2
14,3,30,28,P1 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,2
15,4,30,28,P2 NNWabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,3,2,2
16,5,30,21,P1 Solegit,0,0,1,2,0,0,0,2,0,2,0,4,0,0,0,0,6,3,2
17,6,30,21,P2 NNWabeka,0,0,1,2,0,0,0,1,1,0,2,3,0,3,0,0,7,3,2
18,7,30,13,P1 Solegit,0,0,1,1,0,0,0,3,1,0,1,4,0,1,0,3,7,1,2
19,8,24,13,P2 NNWabeka,0,0,1,2,0,0,0,4,1,2,2,6,0,3,0,0,11,4,2
20,9,23,11,P1 Solegit,0,0,1,1,0,0,0,1,1,1,1,2,0,1,0,0,12,5,2
21,10,11,11,P2 NNWabeka,0,0,1,1,0,0,0,7,1,1,2,8,0,3,0,0,16,5,2
22,11,11,11,P1 Solegit,0,0,1,2,0,0,0,0,0,1,0,2,0,2,0,1,17,5,2
23,12,0,11,P2 NNWabeka,0,0,1,1,0,0,0,6,1,1,3,7,0,3,0,2,20,4,2
24,1,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3
25,2,30,30,P2 NNWabeka,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,3
26,3,30,29,P1 Solegit,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,3
27,4,29,26,P2 NNWabeka,0,0,1,2,0,0,0,2,1,2,2,4,0,1,0,0,4,2,3
28,5,27,22,P1 Solegit,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,4,3,3
29,6,21,22,P2 NNWabeka,0,0,1,1,0,0,0,4,0,1,0,5,0,1,0,2,5,1,3
30,7,21,22,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,7,3,3
31,8,14,22,P2 NNWabeka,0,0,1,1,0,0,0,5,0,1,0,6,0,1,0,0,9,4,3
32,9,14,21,P1 Solegit,0,0,1,1,0,0,0,2,0,1,1,3,0,1,1,0,12,5,3
33,10,1,21,P2 NNWabeka,0,0,1,1,0,0,0,5,1,1,2,6,0,1,0,0,14,5,3
34,11,1,19,P1 Solegit,0,0,1,3,0,0,0,1,1,2,1,4,0,2,1,1,17,5,3
35,12,-1,19,P2 NNWabeka,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,6,14,0,3
36,1,30,30,P1 Solegit,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
37,2,30,30,P2 NNWabeka,0,0,4,3,0,0,0,0,0,1,0,3,0,2,0,0,2,1,4
38,3,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,4
39,4,28,30,P2 NNWabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,0,4,2,4
40,5,28,30,P1 Solegit,0,0,4,3,0,0,0,1,1,1,1,4,0,2,0,0,4,3,4
41,6,25,30,P2 NNWabeka,0,0,1,1,0,0,0,2,0,1,1,3,0,2,0,2,5,1,4
42,7,25,30,P1 Solegit,0,0,1,1,0,0,0,1,1,0,1,2,0,3,0,0,8,4,4
43,8,17,30,P2 NNWabeka,0,0,1,1,0,0,0,3,0,0,0,4,0,3,0,0,9,4,4
44,9,17,21,P1 Solegit,0,0,1,2,0,0,0,5,1,2,2,7,0,3,0,0,13,5,4
45,10,4,26,P2 NNWabeka,5,0,1,1,0,0,0,7,1,1,2,8,0,3,0,0,14,5,4
46,11,4,28,P1 Solegit,0,0,1,1,0,0,0,4,1,1,2,5,0,3,0,5,14,1,4
47,12,-1,28,P2 NNWabeka,0,0,1,0,0,0,0,2,0,0,0,2,0,3,0,6,14,0,4
48,1,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,5
49,2,30,30,P2 NNWabeka,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,5
50,3,30,29,P1 Solegit,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,5
51,4,26,29,P2 NNWabeka,0,0,1,2,0,0,0,1,0,2,0,3,0,1,0,0,4,2,5
52,5,26,25,P1 Solegit,0,0,4,3,0,0,0,1,1,1,1,4,0,2,0,0,4,3,5
53,6,20,23,P2 NNWabeka,0,0,2,1,0,0,0,3,1,1,1,4,0,1,1,0,7,3,5
54,7,20,23,P1 Solegit,0,0,1,1,0,0,0,1,1,0,1,2,0,3,0,0,8,4,5
55,8,12,23,P2 NNWabeka,0,0,1,1,0,0,0,4,1,0,4,5,0,2,1,0,11,4,5
56,9,12,22,P1 Solegit,0,0,1,2,0,0,0,2,0,2,1,4,0,3,0,1,12,4,5
57,10,0,22,P2 NNWabeka,0,0,1,1,0,0,0,4,0,1,0,5,0,2,1,0,16,5,5
58,1,30,26,P1 Solegit,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,6
59,2,30,26,P2 NNWabeka,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,6
60,3,30,26,P1 Solegit,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,6
61,4,27,26,P2 NNWabeka,0,0,4,2,0,0,0,1,0,1,0,3,0,2,0,0,4,2,6
62,5,27,26,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,4,3,6
63,6,23,26,P2 NNWabeka,0,0,1,1,0,0,0,2,0,1,0,3,0,2,0,0,7,3,6
64,7,20,24,P1 Solegit,0,0,1,2,0,0,0,2,1,1,2,4,0,2,0,2,6,2,6
65,8,13,24,P2 NNWabeka,0,0,1,1,0,0,0,2,0,1,0,3,0,2,0,1,10,3,6
66,9,13,20,P1 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,4,7,1,6
67,10,2,20,P2 NNWabeka,0,0,1,1,0,0,0,3,0,1,1,4,0,2,0,0,15,5,6
68,11,2,18,P1 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,0,13,6,6
69,12,-6,18,P2 NNWabeka,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,6,15,0,6
70,1,30,30,P1 Solegit,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7
71,2,30,30,P2 NNWabeka,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,7
72,3,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,7
73,4,26,27,P2 NNWabeka,0,0,1,2,0,0,0,2,0,2,0,4,0,1,0,0,4,2,7
74,5,26,27,P1 Solegit,0,0,1,2,0,0,0,1,1,1,1,3,0,1,0,0,4,3,7
75,6,23,27,P2 NNWabeka,0,0,1,1,0,0,0,4,1,0,4,5,0,2,0,2,5,1,7
76,7,23,27,P1 Solegit,0,0,1,1,0,0,0,1,1,1,1,2,0,1,0,2,6,2,7
77,8,12,27,P2 NNWabeka,0,0,1,1,0,0,0,3,0,1,0,4,0,2,0,0,9,4,7
78,9,12,21,P1 Solegit,0,0,1,1,0,0,0,2,1,1,2,3,0,1,0,0,11,5,7
79,10,0,21,P2 NNWabeka,0,0,1,1,0,0,0,2,1,0,1,3,0,3,0,4,10,1,7
80,1,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,8
81,2,30,30,P2 NNWabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8
82,3,30,29,P1 Solegit,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,8
83,4,30,29,P2 NNWabeka,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,3,2,8
84,5,28,24,P1 Solegit,0,0,2,1,0,0,0,1,0,0,0,2,0,1,1,0,4,3,8
85,6,26,24,P2 NNWabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,6,3,8
86,7,26,22,P1 Solegit,0,0,1,2,0,0,0,1,1,1,1,3,0,2,1,1,7,3,8
87,8,23,22,P2 NNWabeka,0,0,1,1,0,0,0,2,0,0,1,3,0,2,0,0,10,4,8
88,9,23,19,P1 Solegit,0,0,1,3,0,0,0,3,0,2,0,6,0,3,1,0,12,5,8
89,10,7,17,P2 NNWabeka,0,0,2,2,0,0,0,5,2,0,2,7,0,4,1,1,14,4,8
90,11,7,-3,P1 Solegit,0,0,1,0,0,0,0,2,0,0,0,2,0,3,1,6,12,0,8
91,1,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,9
92,2,30,30,P2 NNWabeka,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,9
93,3,30,29,P1 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,2,1,9
94,4,24,29,P2 NNWabeka,0,0,1,2,0,0,0,1,0,2,0,3,0,1,0,0,4,2,9
95,5,24,28,P1 Solegit,0,0,1,1,0,0,0,2,1,1,2,3,0,0,0,2,3,1,9
96,6,21,28,P2 NNWabeka,0,0,1,1,0,0,0,2,0,1,1,3,0,1,0,0,7,3,9
97,7,21,25,P1 Solegit,0,0,1,1,0,0,0,2,1,0,1,3,0,1,0,3,4,1,9
98,8,14,25,P2 NNWabeka,0,0,1,1,0,0,0,3,0,0,1,4,0,2,0,0,11,4,9
99,9,14,19,P1 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,9,5,9
100,10,-1,19,P2 NNWabeka,0,0,1,2,0,0,0,6,2,1,3,8,0,3,0,0,16,5,9
101,1,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,10
102,2,30,30,P2 NNWabeka,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,10
103,3,30,27,P1 Solegit,0,0,1,2,0,0,0,1,0,2,0,3,0,0,0,0,3,2,10
