,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 NNPizza,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,3,30,28,P1 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,1
3,4,30,28,P2 NNPizza,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,3,2,1
4,5,30,24,P1 Viper,0,0,1,2,0,0,0,2,0,2,0,4,0,0,0,1,5,2,1
5,6,30,24,P2 NNPizza,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,6,3,1
6,7,30,13,P1 Viper,0,0,1,1,0,0,0,4,1,0,1,5,0,1,0,3,6,1,1
7,8,27,8,P2 NNPizza,0,0,1,3,0,0,0,4,3,3,6,7,0,1,0,0,10,4,1
8,9,27,7,P1 Viper,0,0,1,1,0,0,0,1,0,0,0,2,0,2,0,1,10,4,1
9,10,19,2,P2 NNPizza,0,0,1,3,0,0,0,5,0,3,4,8,0,1,0,1,14,4,1
10,11,19,2,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,4,12,2,1
11,12,3,2,P2 NNPizza,0,0,2,2,0,0,0,6,1,1,3,8,0,2,1,2,18,4,1
12,13,3,2,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,6,13,1,1
13,14,-1,2,P2 NNPizza,0,0,1,0,0,0,0,1,0,0,0,1,0,2,1,7,18,0,1
14,1,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
