,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 NNRoffle,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,1
2,3,30,28,P1 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,1
3,4,27,28,P2 NNRoffle,0,0,1,1,0,0,0,2,1,1,2,3,0,1,0,0,4,2,1
4,5,27,27,P1 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,6,3,1
5,6,21,27,P2 NNRoffle,0,0,1,2,0,0,0,3,0,2,1,5,0,1,0,0,7,3,1
6,7,21,21,P1 Viper,0,0,4,3,0,0,0,3,1,1,1,6,0,2,0,0,10,4,1
7,8,9,21,P2 NNRoffle,0,0,1,1,0,0,0,5,0,1,1,6,0,1,0,1,10,3,1
8,9,9,8,P1 Viper,0,0,1,2,0,0,0,2,0,2,0,4,0,2,0,1,14,4,1
9,10,0,8,P2 NNRoffle,0,0,1,0,0,0,0,3,0,0,0,3,0,1,0,5,10,0,1
10,1,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
11,2,30,30,P2 NNRoffle,0,0,1,3,0,0,0,0,0,1,1,3,0,2,0,0,2,1,2
12,3,30,30,P1 Viper,0,0,1,2,0,0,0,0,0,2,0,2,0,0,0,0,3,2,2
13,4,29,27,P2 NNRoffle,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,1,3,1,2
14,5,29,21,P1 Viper,0,0,4,3,0,0,0,2,1,1,1,5,0,2,0,0,6,3,2
15,6,25,19,P2 NNRoffle,0,0,2,1,0,0,0,2,1,1,2,3,0,2,1,0,6,3,2
16,7,25,19,P1 Viper,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,4,6,0,2
17,8,20,19,P2 NNRoffle,0,0,1,1,0,0,0,2,0,0,0,3,0,3,1,0,10,4,2
18,9,20,19,P1 Viper,0,0,1,1,0,0,0,1,0,1,1,2,0,2,0,1,10,4,2
19,10,7,19,P2 NNRoffle,0,0,1,2,0,0,0,5,1,0,1,7,0,5,1,0,15,5,2
20,11,7,3,P1 Viper,0,0,1,2,0,0,0,2,0,2,0,4,0,2,0,1,15,5,2
21,12,7,1,P2 NNRoffle,0,0,2,1,0,0,0,6,4,1,7,7,0,5,2,3,18,3,2
22,13,7,-1,P1 Viper,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,7,15,0,2
23,1,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3
24,2,26,30,P2 NNRoffle,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,3
25,3,26,27,P1 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,2,1,3
26,4,26,27,P2 NNRoffle,0,0,1,2,0,0,0,0,0,1,0,2,0,2,0,0,4,2,3
27,5,26,23,P1 Viper,0,0,1,2,0,0,0,2,1,1,1,4,0,1,0,0,5,3,3
28,6,26,23,P2 NNRoffle,0,0,1,2,0,0,0,2,1,1,3,4,0,3,0,0,7,3,3
29,7,26,23,P1 Viper,0,0,1,2,0,0,0,0,0,2,1,2,0,1,0,1,8,3,3
30,8,19,23,P2 NNRoffle,0,0,1,2,0,0,0,4,1,2,3,6,0,3,0,0,11,4,3
31,9,19,23,P1 Viper,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,1,12,4,3
32,10,0,23,P2 NNRoffle,0,0,1,2,0,0,0,5,2,0,4,7,0,5,0,0,16,5,3
33,11,0,23,P1 Viper,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,6,12,0,3
34,1,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,4
35,2,26,30,P2 NNRoffle,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,4
