,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 NNSolegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
2,3,30,30,P1 Viper,0,0,1,1,0,0,0,1,1,1,1,2,0,0,0,0,3,2,1
3,4,26,30,P2 NNSolegit,0,0,1,3,0,0,0,1,0,2,0,4,0,1,0,0,4,2,1
4,5,26,30,P1 Viper,0,0,1,1,0,0,0,1,1,1,2,2,0,0,0,0,6,3,1
5,6,24,30,P2 NNSolegit,0,0,1,2,0,0,0,2,1,2,2,4,0,1,0,1,6,2,1
6,7,24,26,P1 Viper,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,2,8,2,1
7,8,22,26,P2 NNSolegit,0,0,1,1,0,0,0,3,1,1,3,4,0,1,0,1,9,3,1
8,9,22,24,P1 Viper,0,0,4,4,0,0,0,1,1,2,1,5,0,2,0,0,13,5,1
9,10,7,22,P2 NNSolegit,0,0,2,2,0,0,0,5,0,1,1,7,0,2,1,1,13,4,1
10,11,7,15,P1 Viper,0,0,1,2,0,0,0,4,0,2,0,6,0,2,0,2,17,4,1
11,12,-1,15,P2 NNSolegit,0,0,1,0,0,0,0,5,0,0,1,5,0,2,1,6,13,0,1
12,1,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
13,2,26,30,P2 NNSolegit,0,0,1,3,0,0,0,0,0,1,0,3,0,2,0,0,2,1,2
14,3,26,29,P1 Viper,0,0,1,2,0,0,0,1,0,2,0,3,0,0,0,0,3,2,2
15,4,26,29,P2 NNSolegit,0,0,1,1,0,0,0,1,1,1,1,2,0,2,0,0,4,2,2
16,5,26,26,P1 Viper,0,0,4,2,0,0,0,3,0,1,0,5,0,1,0,0,6,3,2
17,6,24,26,P2 NNSolegit,0,0,1,1,0,0,0,2,0,1,1,3,0,2,0,1,6,2,2
18,7,24,22,P1 Viper,0,0,1,2,0,0,0,3,0,2,3,5,0,1,0,-2,12,6,2
19,8,24,22,P2 NNSolegit,0,0,1,2,0,0,0,1,0,2,1,3,0,2,0,0,10,4,2
20,9,24,4,P1 Viper,0,0,1,1,0,0,0,6,1,1,2,7,0,1,0,1,16,4,2
21,10,24,2,P2 NNSolegit,0,0,2,2,0,0,0,2,1,2,3,4,0,2,1,0,15,5,2
22,11,24,0,P1 Viper,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,6,16,0,2
23,1,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3
24,2,30,30,P2 NNSolegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3
25,3,30,30,P1 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,3
26,4,29,30,P2 NNSolegit,0,0,1,3,0,0,0,1,1,2,2,4,0,1,0,0,4,2,3
27,5,29,28,P1 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,6,3,3
