,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 NNViper,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,29,P1 Viper,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,1
3,4,28,29,P2 NNViper,0,0,1,2,0,0,0,1,1,1,2,3,0,2,0,0,4,2,1
4,5,28,29,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,4,3,1
5,6,22,29,P2 NNViper,0,0,1,1,0,0,0,2,0,1,0,3,0,2,0,0,7,3,1
6,7,22,27,P1 Viper,0,0,1,2,0,0,0,1,0,2,0,3,0,0,0,1,7,3,1
7,8,14,27,P2 NNViper,0,0,1,2,0,0,0,6,0,2,1,8,0,2,0,0,11,4,1
8,9,14,21,P1 Viper,0,0,1,3,0,0,0,3,0,3,2,6,0,0,0,-1,13,6,1
9,10,8,21,P2 NNViper,0,0,1,2,0,0,0,5,1,2,2,7,0,2,0,0,16,5,1
10,11,8,17,P1 Viper,0,0,1,1,0,0,0,4,2,1,5,5,0,0,0,4,15,2,1
11,12,0,14,P2 NNViper,0,0,1,2,0,0,0,3,0,2,1,5,0,2,0,3,19,3,1
12,1,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
13,2,30,30,P2 NNViper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
14,3,30,30,P1 Viper,0,0,4,2,0,0,0,1,1,1,2,3,0,1,0,0,3,2,2
15,4,29,30,P2 NNViper,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,4,2,2
16,5,29,29,P1 Viper,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,3,3,0,2
17,6,21,29,P2 NNViper,0,0,1,2,0,0,0,2,0,2,1,4,0,1,0,0,7,3,2
18,7,21,29,P1 Viper,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,7,4,2
19,8,13,26,P2 NNViper,0,0,1,3,0,0,0,4,0,3,3,7,0,1,0,0,11,4,2
20,9,13,24,P1 Viper,0,0,1,2,0,0,0,1,0,2,0,3,0,2,0,0,12,5,2
21,10,-2,24,P2 NNViper,0,0,1,0,0,0,0,4,1,0,1,4,0,1,0,5,11,0,2
22,1,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3
23,2,30,30,P2 NNViper,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,3
