,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,27,P2 NNWabeka,0,0,4,3,0,0,0,0,0,1,0,3,0,2,0,0,2,1,1
2,3,30,26,P1 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,2,1,1
3,4,30,23,P2 NNWabeka,0,0,1,1,0,0,0,1,0,1,1,2,0,2,0,1,3,1,1
4,5,30,22,P1 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,5,3,1
5,6,22,22,P2 NNWabeka,0,0,1,1,0,0,0,2,0,1,0,3,0,2,0,1,5,2,1
6,7,22,20,P1 Viper,0,0,1,1,0,0,0,2,0,0,0,3,0,1,0,0,9,4,1
7,8,12,18,P2 NNWabeka,0,0,2,1,0,0,0,3,0,1,0,4,0,2,1,1,8,3,1
8,9,12,15,P1 Viper,0,0,4,3,0,0,0,6,2,2,3,9,0,2,0,2,12,3,1
9,10,2,19,P2 NNWabeka,4,0,1,1,0,0,0,4,0,1,1,5,0,2,1,0,13,5,1
10,11,2,17,P1 Viper,0,0,1,1,0,0,0,7,1,0,2,8,0,3,0,2,16,4,1
11,12,-2,17,P2 NNWabeka,0,0,1,0,0,0,0,1,0,0,0,1,0,2,1,6,13,0,1
12,1,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
13,2,30,30,P2 NNWabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
14,3,30,28,P1 Viper,0,0,1,2,0,0,0,1,1,1,1,3,0,1,0,0,3,2,2
15,4,30,28,P2 NNWabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,2
16,5,30,26,P1 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,2,4,1,2
17,6,28,26,P2 NNWabeka,0,0,1,2,0,0,0,1,0,0,1,3,0,2,0,0,6,3,2
18,7,28,23,P1 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,2,6,2,2
19,8,22,23,P2 NNWabeka,0,0,1,1,0,0,0,5,1,1,1,6,0,2,0,1,9,3,2
20,9,22,17,P1 Viper,0,0,1,2,0,0,0,2,0,2,0,4,0,1,0,1,10,4,2
21,10,16,21,P2 NNWabeka,4,0,1,1,0,0,0,6,1,1,3,7,0,2,0,0,14,5,2
22,11,16,23,P1 Viper,0,0,1,1,0,0,0,2,0,1,1,3,0,1,0,3,13,3,2
23,12,12,23,P2 NNWabeka,0,0,1,2,0,0,0,5,2,2,5,7,0,2,0,0,20,6,2
24,13,10,15,P1 Viper,0,0,2,2,0,0,0,2,1,1,1,4,0,2,1,0,20,7,2
25,14,0,15,P2 NNWabeka,0,0,1,3,0,0,0,4,1,3,3,7,0,2,0,0,27,7,2
26,1,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3
27,2,30,30,P2 NNWabeka,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,3
28,3,30,29,P1 Viper,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,3
29,4,28,26,P2 NNWabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,1,3,1,3
30,5,28,24,P1 Viper,0,0,1,2,0,0,0,1,1,1,1,3,0,1,0,1,3,2,3
31,6,19,24,P2 NNWabeka,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,1,5,2,3
32,7,19,22,P1 Viper,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,4,3,0,3
33,8,7,22,P2 NNWabeka,0,0,1,1,0,0,0,3,0,0,0,4,0,2,0,0,9,4,3
34,9,7,20,P1 Viper,0,0,1,3,0,0,0,1,0,3,0,4,0,1,0,1,7,4,3
35,10,-2,20,P2 NNWabeka,0,0,1,0,0,0,0,3,0,0,1,3,0,2,0,5,9,0,3
36,1,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,4
37,2,30,30,P2 NNWabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,4
38,3,30,29,P1 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,2,1,4
39,4,30,23,P2 NNWabeka,0,0,1,2,0,0,0,1,1,2,2,3,0,0,0,0,3,2,4
40,5,30,20,P1 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,2,3,1,4
41,6,23,18,P2 NNWabeka,0,0,5,1,0,0,0,3,0,0,0,4,0,1,1,0,6,3,4
42,7,23,15,P1 Viper,0,0,1,2,0,0,0,2,0,2,0,4,0,0,0,0,7,4,4
43,8,11,15,P2 NNWabeka,0,0,1,2,0,0,0,3,0,1,0,5,0,2,1,0,11,4,4
44,9,11,12,P1 Viper,0,0,1,1,0,0,0,3,1,1,2,4,0,0,0,2,10,3,4
