,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 NNPizza,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,28,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,1
3,4,30,28,P2 NNPizza,0,0,1,2,0,0,0,0,0,2,0,2,0,1,0,0,4,2,1
4,5,30,22,P1 Wabeka,0,0,1,2,0,0,0,2,1,1,1,4,0,1,0,0,6,3,1
5,6,27,22,P2 NNPizza,0,0,1,2,0,0,0,3,1,2,2,5,0,1,0,0,7,3,1
6,7,27,15,P1 Wabeka,0,0,1,2,0,0,0,5,1,2,2,7,0,1,0,0,10,4,1
7,8,13,13,P2 NNPizza,0,0,2,1,0,0,0,4,1,1,2,5,0,1,1,1,10,3,1
8,9,13,9,P1 Wabeka,0,0,1,1,0,0,0,6,1,1,2,7,0,1,0,4,11,1,1
9,10,-1,9,P2 NNPizza,0,0,1,0,0,0,0,3,0,0,0,3,0,1,1,5,10,0,1
10,1,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
11,2,30,30,P2 NNPizza,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,2
12,3,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
13,4,26,30,P2 NNPizza,0,0,4,2,0,0,0,1,0,1,0,3,0,2,0,0,4,2,2
14,5,26,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,3,2
15,6,21,30,P2 NNPizza,0,0,1,2,0,0,0,2,0,2,0,4,0,2,0,0,7,3,2
16,7,21,28,P1 Wabeka,0,0,1,1,0,0,0,1,0,0,0,2,0,1,0,0,7,4,2
17,8,14,28,P2 NNPizza,0,0,1,1,0,0,0,4,1,0,4,5,0,3,0,0,11,4,2
18,9,19,22,P1 Wabeka,5,0,1,1,0,0,0,2,0,1,0,3,0,1,0,0,12,5,2
19,10,21,20,P2 NNPizza,0,0,2,2,0,0,0,6,3,2,6,8,0,3,1,0,16,5,2
20,11,21,19,P1 Wabeka,0,0,4,4,0,0,0,1,0,3,1,5,0,2,0,0,18,6,2
21,12,12,17,P2 NNPizza,0,0,2,3,0,0,0,5,2,2,5,8,0,4,2,1,21,5,2
22,13,12,17,P1 Wabeka,0,0,1,2,0,0,0,2,2,2,2,4,0,2,0,3,22,4,2
23,14,0,17,P2 NNPizza,0,0,1,0,0,0,0,3,0,0,0,3,0,4,2,7,21,0,2
24,1,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3
25,2,30,30,P2 NNPizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3
26,3,30,29,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,2,1,3
27,4,29,29,P2 NNPizza,0,0,1,2,0,0,0,1,0,1,0,3,0,1,0,0,4,2,3
28,5,29,26,P1 Wabeka,0,0,1,1,0,0,0,2,1,0,1,3,0,1,0,2,3,1,3
29,6,25,26,P2 NNPizza,0,0,1,2,0,0,0,3,0,2,1,5,0,1,0,0,7,3,3
30,7,25,22,P1 Wabeka,0,0,4,2,0,0,0,2,0,1,0,4,0,2,0,0,7,4,3
31,8,18,17,P2 NNPizza,0,0,2,2,0,0,0,4,0,2,1,6,0,1,1,0,11,4,3
32,9,18,17,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,1,2,0,2,0,0,12,5,3
33,10,11,17,P2 NNPizza,0,0,1,2,0,0,0,5,2,1,6,7,0,2,1,0,16,5,3
34,11,11,17,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,1,17,5,3
35,12,2,15,P2 NNPizza,0,0,2,1,0,0,0,7,3,0,4,8,0,3,2,0,22,6,3
36,13,2,15,P1 Wabeka,0,0,1,2,0,0,0,0,0,1,0,2,0,3,0,2,22,5,3
37,14,0,15,P2 NNPizza,0,0,1,0,0,0,0,1,0,0,0,1,0,3,2,7,22,0,3
38,1,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
39,2,30,30,P2 NNPizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,4
40,3,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,4
41,4,30,28,P2 NNPizza,0,0,2,2,0,0,0,1,1,1,1,3,0,1,1,0,4,2,4
42,5,30,27,P1 Wabeka,0,0,1,2,0,0,0,1,1,2,1,3,0,0,0,0,5,3,4
43,6,28,27,P2 NNPizza,0,0,1,2,0,0,0,1,0,2,0,3,0,1,1,0,7,3,4
44,7,28,23,P1 Wabeka,0,0,4,3,0,0,0,2,0,2,1,5,0,1,0,0,9,4,4
45,8,25,23,P2 NNPizza,0,0,1,2,0,0,0,2,1,2,1,4,0,1,1,-1,12,5,4
46,9,25,14,P1 Wabeka,0,0,1,1,0,0,0,4,0,1,0,5,0,1,0,1,13,4,4
47,10,14,12,P2 NNPizza,0,0,2,3,0,0,0,3,1,2,2,6,0,2,2,0,17,5,4
48,11,11,-1,P1 Wabeka,0,0,1,3,0,0,0,6,4,3,9,9,0,1,0,0,19,6,4
49,1,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,5
50,2,30,30,P2 NNPizza,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,5
51,3,30,28,P1 Wabeka,0,0,1,2,0,0,0,1,1,1,1,3,0,1,0,0,3,2,5
52,4,27,25,P2 NNPizza,0,0,1,2,0,0,0,1,0,2,0,3,0,1,0,0,4,2,5
53,5,27,22,P1 Wabeka,0,0,1,0,0,0,0,2,0,0,0,2,0,1,0,3,3,0,5
54,6,17,19,P2 NNPizza,0,0,1,2,0,0,0,3,0,2,0,5,0,1,0,0,7,3,5
55,7,17,16,P1 Wabeka,0,0,1,1,0,0,0,2,0,0,0,3,0,2,0,0,7,4,5
56,8,7,14,P2 NNPizza,0,0,2,3,0,0,0,5,1,3,5,8,0,1,1,0,11,4,5
57,9,7,6,P1 Wabeka,0,0,1,2,0,0,0,3,1,1,1,5,0,3,0,0,12,5,5
58,10,-2,6,P2 NNPizza,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,5,11,0,5
59,1,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
60,2,30,30,P2 NNPizza,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,6
61,3,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,6
62,4,26,30,P2 NNPizza,0,0,1,2,0,0,0,2,1,1,1,4,0,2,0,0,4,2,6
63,5,26,30,P1 Wabeka,0,0,4,2,0,0,0,1,0,1,0,3,0,1,0,0,5,3,6
64,6,23,30,P2 NNPizza,0,0,4,2,0,0,0,2,1,1,2,4,0,3,0,0,7,3,6
65,7,23,24,P1 Wabeka,0,0,1,3,0,0,0,1,1,2,1,4,0,2,0,0,9,4,6
66,8,18,24,P2 NNPizza,0,0,1,2,0,0,0,2,0,2,1,4,0,3,0,0,11,4,6
67,9,18,18,P1 Wabeka,0,0,1,1,0,0,0,4,2,1,3,5,0,2,0,1,13,4,6
68,10,15,16,P2 NNPizza,0,0,2,1,0,0,0,3,2,1,4,4,0,3,1,0,16,5,6
69,11,15,10,P1 Wabeka,0,0,1,1,0,0,0,2,0,1,0,3,0,2,0,1,18,5,6
70,12,7,8,P2 NNPizza,0,0,2,2,0,0,0,4,0,2,0,6,0,3,2,1,21,5,6
71,13,7,-2,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,2,23,5,6
72,1,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,7
73,2,30,30,P2 NNPizza,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,7
74,3,30,30,P1 Wabeka,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,2,1,0,7
75,4,28,30,P2 NNPizza,0,0,1,1,0,0,0,2,1,1,2,3,0,1,0,0,4,2,7
76,5,28,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,7
77,6,22,30,P2 NNPizza,0,0,1,2,0,0,0,2,0,2,0,4,0,1,0,0,7,3,7
78,7,22,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,5,4,7
79,8,18,30,P2 NNPizza,0,0,1,2,0,0,0,4,0,2,2,6,0,1,0,0,11,4,7
80,9,21,29,P1 Wabeka,3,0,1,1,0,0,0,3,1,1,2,4,0,1,0,0,10,5,7
81,10,17,27,P2 NNPizza,0,0,2,2,0,0,0,4,1,1,3,6,0,2,1,0,16,5,7
82,11,17,27,P1 Wabeka,0,0,1,2,0,0,0,0,0,2,0,2,0,1,0,0,16,6,7
83,12,0,25,P2 NNPizza,0,0,2,1,0,0,0,5,1,0,2,6,0,3,2,3,19,3,7
84,1,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8
85,2,30,30,P2 NNPizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,8
86,3,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,8
87,4,29,28,P2 NNPizza,0,0,5,2,0,0,0,1,0,0,0,3,0,2,1,0,4,2,8
88,5,29,28,P1 Wabeka,0,0,1,1,0,0,0,1,1,1,2,2,0,0,0,0,4,3,8
89,6,29,25,P2 NNPizza,0,0,1,2,0,0,0,0,0,2,0,2,0,2,1,1,6,2,8
