,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,26,30,P2 NNSolegit,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1
2,3,26,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
3,4,26,30,P2 NNSolegit,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,3,2,1
4,5,26,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,3,1
5,6,22,30,P2 NNSolegit,0,0,1,2,0,0,0,1,0,2,0,3,0,1,0,0,6,3,1
6,7,22,28,P1 Wabeka,0,0,1,3,0,0,0,1,1,2,1,4,0,1,0,0,7,4,1
7,8,15,28,P2 NNSolegit,0,0,1,2,0,0,0,4,1,2,5,6,0,1,0,-1,11,5,1
8,9,18,26,P1 Wabeka,3,0,1,1,0,0,0,2,0,1,0,3,0,1,0,0,12,5,1
9,10,5,24,P2 NNSolegit,0,0,2,1,0,0,0,7,1,1,1,8,0,1,1,2,14,3,1
10,11,10,17,P1 Wabeka,5,0,1,2,0,0,0,2,0,2,0,4,0,1,0,0,18,6,1
11,12,0,17,P2 NNSolegit,0,0,1,0,0,0,0,4,0,0,1,4,0,1,1,6,14,0,1
12,1,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
13,2,30,30,P2 NNSolegit,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,2
14,3,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,2
15,4,29,30,P2 NNSolegit,0,0,1,1,0,0,0,2,1,1,1,3,0,1,0,1,3,1,2
16,5,29,30,P1 Wabeka,0,0,1,1,0,0,0,1,1,1,1,2,0,0,0,1,4,2,2
17,6,27,30,P2 NNSolegit,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,0,6,3,2
18,7,27,30,P1 Wabeka,0,0,1,1,0,0,0,1,0,0,1,2,0,1,0,0,8,4,2
19,8,26,30,P2 NNSolegit,0,0,1,3,0,0,0,4,1,3,4,7,0,1,0,0,10,4,2
20,9,29,28,P1 Wabeka,3,0,1,1,0,0,0,3,0,1,0,4,0,1,0,0,13,5,2
21,10,25,26,P2 NNSolegit,0,0,2,2,0,0,0,5,2,1,5,7,0,2,1,0,15,5,2
22,11,25,26,P1 Wabeka,0,0,1,3,0,0,0,0,1,2,1,3,0,2,0,1,18,5,2
23,12,4,26,P2 NNSolegit,0,0,1,1,0,0,0,7,1,1,2,8,0,2,1,1,20,5,2
24,13,4,21,P1 Wabeka,0,0,1,2,0,0,0,5,0,2,0,7,0,2,0,3,22,4,2
25,14,-3,21,P2 NNSolegit,0,0,1,0,0,0,0,1,0,0,0,1,0,2,1,7,20,0,2
26,1,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
27,2,30,30,P2 NNSolegit,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,3
28,3,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,3
29,4,28,27,P2 NNSolegit,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,1,3,1,3
