,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 NNViper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
2,3,30,30,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,1
3,4,30,30,P2 NNViper,0,0,1,4,0,0,0,1,0,3,1,5,0,1,0,0,4,2,1
4,5,27,28,P1 Wabeka,0,0,1,2,0,0,0,1,0,2,2,3,0,0,0,1,5,2,1
5,6,27,28,P2 NNViper,0,0,1,1,0,0,0,3,2,1,3,4,0,1,0,0,7,3,1
6,7,27,24,P1 Wabeka,0,0,1,1,0,0,0,2,0,1,1,3,0,0,0,3,6,1,1
7,8,26,24,P2 NNViper,0,0,1,1,0,0,0,3,2,0,4,4,0,2,0,0,11,4,1
8,9,26,18,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,11,5,1
9,10,20,13,P2 NNViper,0,0,2,2,0,0,0,5,0,2,0,7,0,2,1,0,16,5,1
10,11,20,7,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,16,5,1
11,12,12,7,P2 NNViper,0,0,1,2,0,0,0,7,2,2,3,9,0,2,1,3,19,3,1
12,13,12,1,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,2,21,5,1
13,14,0,1,P2 NNViper,0,0,1,0,0,0,0,4,0,0,0,4,0,2,1,7,19,0,1
14,1,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
15,2,30,30,P2 NNViper,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,2
16,3,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
17,4,28,27,P2 NNViper,0,0,1,2,0,0,0,1,0,2,0,3,0,1,0,0,4,2,2
18,5,28,27,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,3,2
19,6,20,27,P2 NNViper,0,0,1,1,0,0,0,3,0,1,0,4,0,1,0,0,7,3,2
20,7,20,26,P1 Wabeka,0,0,1,1,0,0,0,1,0,0,0,2,0,1,0,0,7,4,2
21,8,9,24,P2 NNViper,0,0,2,2,0,0,0,6,1,2,2,8,0,1,1,0,11,4,2
22,9,9,22,P1 Wabeka,0,0,1,2,0,0,0,4,1,2,2,6,0,1,0,0,12,5,2
23,10,0,22,P2 NNViper,0,0,1,1,0,0,0,3,0,1,0,4,0,1,1,3,13,2,2
24,1,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
25,2,30,30,P2 NNViper,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,3
26,3,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,3
27,4,29,30,P2 NNViper,0,0,1,0,0,0,0,2,1,0,1,2,0,1,0,2,2,0,3
28,5,29,30,P1 Wabeka,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,3,2,0,3
29,6,28,30,P2 NNViper,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,2,3,1,3
30,7,28,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,6,4,3
31,8,26,30,P2 NNViper,0,0,1,3,0,0,0,2,0,3,0,5,0,1,0,0,7,4,3
32,9,29,29,P1 Wabeka,3,0,1,1,0,0,0,5,3,1,5,6,0,1,0,0,11,5,3
33,10,8,29,P2 NNViper,0,0,1,2,0,0,0,5,1,2,2,7,0,1,0,0,12,5,3
34,11,8,29,P1 Wabeka,0,0,1,2,0,0,0,1,1,2,1,3,0,1,0,1,16,5,3
35,12,-1,29,P2 NNViper,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,6,12,0,3
36,1,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
37,2,30,30,P2 NNViper,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,4
38,3,30,30,P1 Wabeka,0,0,4,2,0,0,0,0,0,1,0,2,0,1,0,0,2,2,4
39,4,27,30,P2 NNViper,0,0,1,2,0,0,0,1,0,2,1,3,0,1,0,0,4,2,4
40,5,27,30,P1 Wabeka,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,3,2,0,4
41,6,20,24,P2 NNViper,0,0,1,3,0,0,0,3,0,3,0,6,0,1,0,0,7,3,4
42,7,20,24,P1 Wabeka,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,6,4,4
43,8,9,24,P2 NNViper,0,0,1,1,0,0,0,6,1,0,3,7,0,2,0,0,11,4,4
44,9,12,24,P1 Wabeka,3,0,1,1,0,0,0,3,2,1,4,4,0,2,0,0,11,5,4
45,10,0,19,P2 NNViper,0,0,2,3,0,0,0,3,1,2,2,6,0,3,1,0,16,5,4
46,1,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
47,2,30,30,P2 NNViper,0,0,4,3,0,0,0,0,0,1,0,3,0,2,0,0,2,1,5
48,3,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5
49,4,29,30,P2 NNViper,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,0,4,2,5
50,5,29,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,3,5
51,6,24,30,P2 NNViper,0,0,1,1,0,0,0,2,0,1,0,3,0,2,0,0,7,3,5
52,7,24,27,P1 Wabeka,0,0,1,2,0,0,0,1,1,1,1,3,0,1,0,0,7,4,5
53,8,10,27,P2 NNViper,0,0,1,2,0,0,0,5,0,2,0,7,0,2,0,0,11,4,5
54,9,10,22,P1 Wabeka,0,0,1,2,0,0,0,1,0,1,0,3,0,2,0,0,12,5,5
55,10,4,20,P2 NNViper,0,0,2,1,0,0,0,6,1,1,6,7,0,2,1,3,13,2,5
