,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,27,P2 NNPizza,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,1
2,3,30,22,P1 Roffle,0,0,1,2,0,0,0,1,1,1,1,3,0,1,0,0,3,2,1
3,4,22,22,P2 NNPizza,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,0,4,2,1
4,5,22,15,P1 Roffle,0,0,1,1,0,0,0,1,0,0,0,2,0,2,0,2,4,1,1
5,6,13,15,P2 NNPizza,0,0,1,2,0,0,0,3,2,1,3,5,0,2,0,0,7,3,1
6,7,13,11,P1 Roffle,0,0,1,1,0,0,0,0,0,0,0,1,0,3,0,3,5,1,1
7,8,0,11,P2 NNPizza,0,0,1,1,0,0,0,3,0,1,0,4,0,2,0,2,9,2,1
8,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
9,2,30,24,P2 NNPizza,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,2
10,3,30,21,P1 Roffle,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,2
11,4,26,21,P2 NNPizza,0,0,1,2,0,0,0,2,1,1,2,4,0,2,0,0,4,2,2
12,5,24,17,P1 Roffle,0,0,2,1,0,0,0,1,0,0,1,2,0,1,1,0,6,3,2
13,6,16,17,P2 NNPizza,0,0,1,2,0,0,0,2,0,2,0,4,0,2,0,1,6,2,2
14,7,16,12,P1 Roffle,0,0,1,3,0,0,0,1,0,2,0,4,0,2,1,1,9,3,2
15,8,8,12,P2 NNPizza,0,0,1,1,0,0,0,4,0,1,2,5,0,2,0,1,9,3,2
16,9,8,7,P1 Roffle,0,0,1,2,0,0,0,1,0,1,0,3,0,3,1,0,14,5,2
17,10,0,7,P2 NNPizza,0,0,1,0,0,0,0,2,0,0,0,2,0,2,0,5,9,0,2
18,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3
19,2,30,30,P2 NNPizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3
20,3,30,24,P1 Roffle,0,0,1,2,0,0,0,1,0,1,0,3,0,1,0,0,3,2,3
21,4,30,24,P2 NNPizza,0,0,4,3,0,0,0,1,1,1,1,4,0,2,0,0,4,2,3
22,5,30,21,P1 Roffle,0,0,1,0,0,0,0,2,0,0,0,2,0,1,0,3,3,0,3
23,6,28,21,P2 NNPizza,0,0,1,1,0,0,0,2,0,1,1,3,0,2,0,0,7,3,3
24,7,28,18,P1 Roffle,0,0,1,2,0,0,0,1,0,1,0,3,0,2,0,1,6,3,3
25,8,25,16,P2 NNPizza,0,0,2,2,0,0,0,4,2,1,4,6,0,3,1,0,11,4,3
26,9,25,16,P1 Roffle,0,0,1,1,0,0,0,0,0,0,0,1,0,3,0,1,10,4,3
27,10,18,16,P2 NNPizza,0,0,1,2,0,0,0,3,1,0,2,5,0,5,1,0,16,5,3
28,11,18,16,P1 Roffle,0,0,1,1,0,0,0,3,3,1,4,4,0,3,0,4,12,2,3
29,12,7,16,P2 NNPizza,0,0,1,2,0,0,0,5,1,2,2,7,0,5,1,1,21,5,3
30,13,7,16,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,6,13,1,3
31,14,-2,16,P2 NNPizza,0,0,1,0,0,0,0,1,0,0,0,1,0,5,1,7,21,0,3
32,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,4
33,2,30,30,P2 NNPizza,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,4
34,3,30,24,P1 Roffle,0,0,1,2,0,0,0,1,0,1,0,3,0,1,0,0,3,2,4
35,4,30,21,P2 NNPizza,0,0,1,2,0,0,0,1,0,2,1,3,0,1,0,0,4,2,4
36,5,30,18,P1 Roffle,0,0,1,2,0,0,0,1,1,1,1,3,0,2,0,0,6,3,4
37,6,16,18,P2 NNPizza,0,0,1,2,0,0,0,3,2,1,3,5,0,2,0,0,7,3,4
38,7,16,18,P1 Roffle,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,4,6,0,4
39,8,2,18,P2 NNPizza,0,0,1,1,0,0,0,6,0,0,0,7,0,3,0,0,11,4,4
40,9,2,18,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,3,8,2,4
41,10,-3,18,P2 NNPizza,0,0,1,0,0,0,0,1,0,0,0,1,0,3,0,5,11,0,4
42,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,5
43,2,30,24,P2 NNPizza,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,5
44,3,30,19,P1 Roffle,0,0,1,2,0,0,0,1,0,2,0,3,0,0,0,0,3,2,5
45,4,25,19,P2 NNPizza,0,0,1,2,0,0,0,2,0,2,1,4,0,1,0,0,4,2,5
46,5,25,15,P1 Roffle,0,0,1,2,0,0,0,2,1,1,1,4,0,1,0,1,5,2,5
47,6,15,15,P2 NNPizza,0,0,1,1,0,0,0,4,2,1,4,5,0,1,0,2,5,1,5
48,7,15,15,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,8,3,5
49,8,6,15,P2 NNPizza,0,0,1,1,0,0,0,3,0,0,0,4,0,2,0,0,9,4,5
50,9,6,11,P1 Roffle,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,4,9,1,5
51,10,0,11,P2 NNPizza,0,0,1,0,0,0,0,4,0,0,1,4,0,2,0,5,9,0,5
52,1,30,30,P1 Roffle,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
53,2,30,30,P2 NNPizza,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,6
54,3,30,30,P1 Roffle,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6
55,4,26,30,P2 NNPizza,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,0,4,2,6
