,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,26,30,P2 NNRoffle,0,0,1,3,0,0,0,0,0,1,0,3,0,2,0,0,2,1,1
2,3,26,29,P1 Roffle,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,1
3,4,26,29,P2 NNRoffle,0,0,1,2,0,0,0,1,0,1,1,3,0,3,0,0,4,2,1
4,5,26,29,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,4,3,1
5,6,23,29,P2 NNRoffle,0,0,1,1,0,0,0,2,0,1,1,3,0,3,0,2,5,1,1
6,7,23,27,P1 Roffle,0,0,1,1,0,0,0,1,0,0,0,2,0,1,0,0,8,4,1
7,8,18,27,P2 NNRoffle,0,0,1,1,0,0,0,3,0,0,0,4,0,4,0,0,9,4,1
8,9,18,16,P1 Roffle,0,0,1,2,0,0,0,5,1,0,1,7,0,3,0,0,13,5,1
9,10,10,16,P2 NNRoffle,0,0,1,2,0,0,0,7,5,2,10,9,0,4,0,0,14,5,1
10,11,10,14,P1 Roffle,0,0,1,1,0,0,0,1,0,1,0,2,0,3,0,5,14,1,1
11,12,0,14,P2 NNRoffle,0,0,1,0,0,0,0,3,0,0,0,3,0,4,0,6,14,0,1
12,1,30,26,P1 Roffle,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,2
13,2,26,26,P2 NNRoffle,0,0,1,3,0,0,0,0,0,1,0,3,0,2,0,0,2,1,2
14,3,26,26,P1 Roffle,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,2
15,4,21,26,P2 NNRoffle,0,0,1,2,0,0,0,1,1,0,1,3,0,4,0,0,4,2,2
16,5,21,22,P1 Roffle,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,2,2,1,2
17,6,20,22,P2 NNRoffle,0,0,1,2,0,0,0,1,0,2,0,3,0,4,0,0,7,3,2
18,7,20,22,P1 Roffle,0,0,1,1,0,0,0,0,0,0,0,1,0,3,0,0,6,4,2
19,8,18,20,P2 NNRoffle,0,0,2,2,0,0,0,2,1,2,2,4,0,4,1,0,11,4,2
20,9,18,18,P1 Roffle,0,0,1,3,0,0,0,3,3,2,4,6,0,4,0,1,10,4,2
21,10,15,18,P2 NNRoffle,0,0,1,1,0,0,0,3,0,1,2,4,0,4,1,3,13,2,2
22,11,15,15,P1 Roffle,0,0,1,1,0,0,0,3,0,0,0,4,0,5,0,2,14,4,2
23,12,6,15,P2 NNRoffle,0,0,1,1,0,0,0,4,1,1,2,5,0,4,1,5,14,1,2
24,13,6,9,P1 Roffle,0,0,1,1,0,0,0,6,0,1,0,7,0,5,0,4,17,3,2
25,14,-1,9,P2 NNRoffle,0,0,1,0,0,0,0,2,0,0,0,2,0,4,1,7,14,0,2
26,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3
27,2,30,30,P2 NNRoffle,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,3
28,3,30,30,P1 Roffle,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,3
29,4,28,30,P2 NNRoffle,0,0,1,2,0,0,0,2,1,1,2,4,0,2,0,0,4,2,3
30,5,28,30,P1 Roffle,0,0,1,2,0,0,0,1,0,2,0,3,0,0,0,0,6,3,3
31,6,22,30,P2 NNRoffle,0,0,1,2,0,0,0,3,1,2,2,5,0,2,0,0,7,3,3
32,7,22,30,P1 Roffle,0,0,1,1,0,0,0,1,1,0,1,2,0,1,0,0,10,4,3
33,8,12,30,P2 NNRoffle,0,0,1,2,0,0,0,4,0,2,1,6,0,2,0,1,10,3,3
34,9,10,24,P1 Roffle,0,0,2,1,0,0,0,3,1,0,2,4,0,2,1,2,13,3,3
35,10,-1,24,P2 NNRoffle,0,0,1,1,0,0,0,2,0,0,0,3,0,3,0,4,11,1,3
36,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,4
37,2,26,30,P2 NNRoffle,0,0,1,3,0,0,0,0,0,1,0,3,0,2,0,0,2,1,4
38,3,26,26,P1 Roffle,0,0,1,2,0,0,0,1,1,1,1,3,0,1,0,0,3,2,4
39,4,23,26,P2 NNRoffle,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,0,4,2,4
40,5,23,24,P1 Roffle,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,6,3,4
41,6,18,24,P2 NNRoffle,0,0,1,2,0,0,0,2,0,1,0,4,0,3,0,1,6,2,4
42,7,18,18,P1 Roffle,0,0,1,1,0,0,0,3,0,0,0,4,0,2,0,0,10,4,4
43,8,13,18,P2 NNRoffle,0,0,1,1,0,0,0,3,2,1,4,4,0,3,0,1,9,3,4
44,9,13,12,P1 Roffle,0,0,1,2,0,0,0,5,0,2,0,7,0,2,0,3,12,2,4
45,10,9,10,P2 NNRoffle,0,0,2,2,0,0,0,3,0,2,2,5,0,3,1,0,14,5,4
46,11,9,4,P1 Roffle,0,0,1,1,0,0,0,5,0,1,0,6,0,2,0,5,13,1,4
47,12,0,4,P2 NNRoffle,0,0,1,0,0,0,0,3,0,0,0,3,0,3,1,6,14,0,4
48,1,30,26,P1 Roffle,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,5
49,2,30,26,P2 NNRoffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,5
50,3,30,26,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,2,1,5
51,4,29,26,P2 NNRoffle,0,0,1,3,0,0,0,1,0,2,0,4,0,1,0,0,4,2,5
52,5,29,23,P1 Roffle,0,0,1,2,0,0,0,1,0,2,0,3,0,1,0,0,5,3,5
53,6,28,21,P2 NNRoffle,0,0,2,1,0,0,0,3,2,1,3,4,0,1,1,0,7,3,5
54,7,28,19,P1 Roffle,0,0,1,1,0,0,0,2,0,1,1,3,0,1,0,3,6,1,5
55,8,27,19,P2 NNRoffle,0,0,1,1,0,0,0,5,3,0,6,6,0,2,1,0,11,4,5
56,9,27,19,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,4,7,1,5
57,10,23,19,P2 NNRoffle,0,0,1,2,0,0,0,7,2,1,3,9,0,3,1,0,16,5,5
