,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,26,P1 Roffle,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1
1,2,30,26,P2 NNSolegit,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,26,P1 Roffle,0,0,1,2,0,0,0,0,0,1,0,2,0,2,0,0,3,2,1
3,4,28,26,P2 NNSolegit,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,1,3,1,1
4,5,28,22,P1 Roffle,0,0,1,2,0,0,0,1,1,1,1,3,0,3,0,0,6,3,1
5,6,25,19,P2 NNSolegit,0,0,4,3,0,0,0,2,0,2,1,5,0,2,0,0,6,3,1
6,7,23,14,P1 Roffle,0,0,2,1,0,0,0,3,0,1,0,4,0,3,1,0,10,4,1
7,8,15,14,P2 NNSolegit,0,0,1,3,0,0,0,4,1,3,4,7,0,2,0,0,10,4,1
8,9,15,14,P1 Roffle,0,0,1,2,0,0,0,1,1,2,1,3,0,3,1,2,13,3,1
9,10,0,14,P2 NNSolegit,0,0,1,1,0,0,0,2,1,1,1,3,0,2,0,0,15,5,1
10,1,30,26,P1 Roffle,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,2
11,2,30,26,P2 NNSolegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
12,3,30,26,P1 Roffle,0,0,1,2,0,0,0,0,0,2,0,2,0,1,0,0,3,2,2
13,4,30,26,P2 NNSolegit,0,0,1,1,0,0,0,1,0,1,1,2,0,0,0,1,2,1,2
14,5,30,25,P1 Roffle,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,6,3,2
15,6,28,25,P2 NNSolegit,0,0,1,2,0,0,0,2,0,0,0,4,0,2,0,0,6,3,2
16,7,26,16,P1 Roffle,0,0,2,1,0,0,0,3,0,0,0,4,0,2,1,1,9,3,2
17,8,18,16,P2 NNSolegit,0,0,1,3,0,0,0,5,2,2,3,8,0,3,0,0,10,4,2
18,9,18,16,P1 Roffle,0,0,1,0,0,0,0,2,1,0,2,2,0,2,1,5,9,0,2
19,10,7,16,P2 NNSolegit,0,0,1,2,0,0,0,5,1,1,2,7,0,4,0,0,15,5,2
20,11,7,16,P1 Roffle,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,6,9,0,2
21,12,0,16,P2 NNSolegit,0,0,1,0,0,0,0,3,0,0,0,3,0,4,0,6,15,0,2
22,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3
23,2,30,27,P2 NNSolegit,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,3
24,3,30,25,P1 Roffle,0,0,1,2,0,0,0,1,1,1,1,3,0,1,0,0,3,2,3
25,4,22,25,P2 NNSolegit,0,0,1,2,0,0,0,2,0,2,0,4,0,1,0,0,4,2,3
26,5,22,20,P1 Roffle,0,0,1,2,0,0,0,2,1,1,1,4,0,2,0,1,5,2,3
27,6,12,20,P2 NNSolegit,0,0,1,1,0,0,0,4,1,1,2,5,0,1,0,0,7,3,3
28,7,12,16,P1 Roffle,0,0,1,0,0,0,0,2,0,0,0,2,0,2,0,4,5,0,3
29,8,-1,16,P2 NNSolegit,0,0,1,0,0,0,0,2,0,0,0,2,0,1,0,4,7,0,3
30,1,30,26,P1 Roffle,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,4
31,2,30,26,P2 NNSolegit,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,4
32,3,30,26,P1 Roffle,0,0,1,2,0,0,0,0,0,2,0,2,0,1,0,0,3,2,4
33,4,29,26,P2 NNSolegit,0,0,1,1,0,0,0,2,0,1,1,3,0,1,0,0,4,2,4
34,5,29,26,P1 Roffle,0,0,1,1,0,0,0,1,1,1,2,2,0,1,0,2,4,1,4
35,6,25,26,P2 NNSolegit,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,0,7,3,4
36,7,25,22,P1 Roffle,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,2,6,2,4
37,8,18,22,P2 NNSolegit,0,0,1,2,0,0,0,3,1,1,1,5,0,2,0,1,10,3,4
38,9,18,13,P1 Roffle,0,0,1,1,0,0,0,3,0,1,0,4,0,1,0,2,9,3,4
39,10,10,13,P2 NNSolegit,0,0,1,1,0,0,0,7,3,1,9,8,0,2,0,0,15,5,4
40,11,8,7,P1 Roffle,0,0,2,2,0,0,0,1,0,1,0,3,0,2,1,2,13,4,4
41,12,0,7,P2 NNSolegit,0,0,1,1,0,0,0,1,0,0,1,2,0,3,0,2,19,4,4
42,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,5
43,2,30,30,P2 NNSolegit,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,5
44,3,30,29,P1 Roffle,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,5
45,4,30,24,P2 NNSolegit,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,1,3,1,5
46,5,30,24,P1 Roffle,0,0,1,3,0,0,0,2,0,3,1,5,0,0,0,0,6,3,5
47,6,30,24,P2 NNSolegit,0,0,1,1,0,0,0,1,1,1,2,2,0,1,0,0,6,3,5
48,7,30,17,P1 Roffle,0,0,1,1,0,0,0,4,0,0,0,5,0,1,0,0,10,4,5
49,8,30,17,P2 NNSolegit,0,0,1,3,0,0,0,2,1,3,3,5,0,1,0,0,10,4,5
50,9,30,12,P1 Roffle,0,0,1,2,0,0,0,5,0,1,0,7,0,2,0,3,12,2,5
51,10,16,10,P2 NNSolegit,0,0,2,2,0,0,0,5,1,2,3,7,0,1,1,0,15,5,5
52,11,14,1,P1 Roffle,0,0,2,1,0,0,0,5,0,0,0,6,0,3,1,3,15,3,5
53,12,-1,1,P2 NNSolegit,0,0,1,1,0,0,0,2,0,1,0,3,0,1,1,1,20,5,5
54,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,6
55,2,30,30,P2 NNSolegit,0,0,1,3,0,0,0,0,0,1,1,3,0,2,0,0,2,1,6
56,3,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,2,6
57,4,29,30,P2 NNSolegit,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,2,2,0,6
58,5,29,23,P1 Roffle,0,0,1,3,0,0,0,1,0,2,1,4,0,1,0,0,6,3,6
59,6,29,23,P2 NNSolegit,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,2,0,6
60,7,29,16,P1 Roffle,0,0,1,1,0,0,0,3,0,1,0,4,0,1,0,2,8,2,6
61,8,29,16,P2 NNSolegit,0,0,1,1,0,0,0,0,0,0,0,1,0,3,0,0,6,4,6
62,9,29,6,P1 Roffle,0,0,1,1,0,0,0,4,1,1,3,5,0,1,0,4,9,1,6
63,10,29,6,P2 NNSolegit,0,0,1,3,0,0,0,2,2,2,3,5,0,4,0,0,11,5,6
64,11,24,4,P1 Roffle,0,0,2,3,0,0,0,4,1,3,4,7,0,1,1,1,14,5,6
65,12,15,4,P2 NNSolegit,0,0,1,1,0,0,0,3,1,1,2,4,0,4,0,5,12,1,6
66,13,15,0,P1 Roffle,0,0,1,0,0,0,0,4,0,0,1,4,0,1,1,7,14,0,6
67,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,7
68,2,30,30,P2 NNSolegit,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,7
69,3,30,25,P1 Roffle,0,0,1,1,0,0,0,1,0,0,0,2,0,1,0,1,2,1,7
70,4,28,25,P2 NNSolegit,0,0,4,2,0,0,0,1,0,1,0,3,0,2,0,0,4,2,7
71,5,28,25,P1 Roffle,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,5,3,7
72,6,24,25,P2 NNSolegit,0,0,1,1,0,0,0,2,0,1,0,3,0,2,0,0,7,3,7
73,7,24,22,P1 Roffle,0,0,1,1,0,0,0,3,1,0,2,4,0,2,0,0,9,4,7
74,8,20,22,P2 NNSolegit,0,0,1,2,0,0,0,3,0,2,1,5,0,2,0,0,11,4,7
