,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 NNViper,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,27,P1 Roffle,0,0,1,2,0,0,0,1,0,2,0,3,0,0,0,0,3,2,1
3,4,30,27,P2 NNViper,0,0,4,2,0,0,0,1,0,1,1,3,0,2,0,0,4,2,1
4,5,30,25,P1 Roffle,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,0,6,3,1
5,6,28,25,P2 NNViper,0,0,1,2,0,0,0,2,1,2,3,4,0,2,0,0,7,3,1
6,7,28,20,P1 Roffle,0,0,1,2,0,0,0,2,1,1,1,4,0,1,0,1,9,3,1
7,8,21,20,P2 NNViper,0,0,1,1,0,0,0,3,1,1,4,4,0,2,0,1,10,3,1
8,9,21,17,P1 Roffle,0,0,1,2,0,0,0,2,0,2,1,4,0,1,0,2,12,3,1
9,10,9,17,P2 NNViper,0,0,1,2,0,0,0,5,1,2,3,7,0,2,0,0,15,5,1
10,11,9,14,P1 Roffle,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,3,15,3,1
11,12,0,14,P2 NNViper,0,0,1,0,0,0,0,3,0,0,0,3,0,2,0,6,15,0,1
12,1,30,26,P1 Roffle,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,2
13,2,30,23,P2 NNViper,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,2
14,3,30,23,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,3,2,2
15,4,24,23,P2 NNViper,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,1,3,1,2
16,5,24,22,P1 Roffle,0,0,1,2,0,0,0,1,0,2,1,3,0,1,0,0,6,3,2
17,6,23,20,P2 NNViper,0,0,2,1,0,0,0,2,1,1,2,3,0,1,1,0,6,3,2
18,7,23,13,P1 Roffle,0,0,1,2,0,0,0,2,0,2,1,4,0,1,0,0,10,4,2
19,8,22,13,P2 NNViper,0,0,1,2,0,0,0,1,0,1,0,3,0,2,1,0,10,4,2
20,9,20,2,P1 Roffle,0,0,2,2,0,0,0,5,0,1,2,7,0,2,1,1,14,4,2
21,10,11,2,P2 NNViper,0,0,1,2,0,0,0,4,3,2,6,6,0,2,1,0,15,5,2
