,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 NNPizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
2,3,30,29,P1 Solegit,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,1
3,4,29,29,P2 NNPizza,0,0,1,2,0,0,0,1,0,1,0,3,0,1,0,0,4,2,1
4,5,29,25,P1 Solegit,0,0,1,2,0,0,0,1,1,1,1,3,0,1,0,1,3,2,1
5,6,24,23,P2 NNPizza,0,0,2,1,0,0,0,2,0,1,0,3,0,1,1,0,7,3,1
6,7,24,23,P1 Solegit,0,0,1,1,0,0,0,1,0,0,0,2,0,2,0,0,7,4,1
7,8,18,23,P2 NNPizza,0,0,1,2,0,0,0,3,1,2,2,5,0,1,1,0,11,4,1
8,9,18,14,P1 Solegit,0,0,1,1,0,0,0,5,1,1,2,6,0,2,0,0,12,5,1
9,10,12,14,P2 NNPizza,0,0,1,2,0,0,0,5,3,1,5,7,0,2,1,0,16,5,1
10,11,12,6,P1 Solegit,0,0,1,3,0,0,0,2,0,2,0,5,0,3,0,4,14,2,1
11,12,-1,6,P2 NNPizza,0,0,1,0,0,0,0,2,0,0,0,2,0,2,1,6,16,0,1
12,1,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
13,2,30,30,P2 NNPizza,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,2
14,3,30,28,P1 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,2
15,4,30,28,P2 NNPizza,0,0,1,1,0,0,0,1,1,1,1,2,0,1,0,1,3,1,2
16,5,30,23,P1 Solegit,0,0,1,2,0,0,0,2,0,2,0,4,0,0,0,0,6,3,2
17,6,29,23,P2 NNPizza,0,0,1,1,0,0,0,3,2,1,3,4,0,1,0,0,6,3,2
18,7,29,13,P1 Solegit,0,0,1,2,0,0,0,3,0,2,0,5,0,0,0,2,8,2,2
19,8,29,8,P2 NNPizza,0,0,1,2,0,0,0,3,2,2,5,5,0,1,0,0,10,4,2
20,9,29,8,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,4,9,1,2
21,10,20,8,P2 NNPizza,0,0,1,2,0,0,0,3,1,1,2,5,0,2,0,0,15,5,2
22,11,20,8,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,5,10,1,2
23,12,8,8,P2 NNPizza,0,0,2,1,0,0,0,7,0,1,1,8,0,2,1,3,18,3,2
24,13,8,4,P1 Solegit,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,6,11,1,2
25,14,0,4,P2 NNPizza,0,0,1,0,0,0,0,1,0,0,0,1,0,2,1,7,18,0,2
