,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,26,30,P2 NNRoffle,0,0,1,3,0,0,0,0,0,0,0,3,0,3,0,0,2,1,1
2,3,26,25,P1 Solegit,0,0,4,2,0,0,0,1,0,0,0,3,0,2,0,0,3,2,1
3,4,26,25,P2 NNRoffle,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,0,4,2,1
4,5,26,24,P1 Solegit,0,0,1,2,0,0,0,1,0,2,0,3,0,2,0,0,6,3,1
5,6,20,24,P2 NNRoffle,0,0,1,2,0,0,0,1,0,2,1,3,0,3,0,0,7,3,1
6,7,20,18,P1 Solegit,0,0,1,2,0,0,0,3,0,2,1,5,0,2,0,2,8,2,1
7,8,13,18,P2 NNRoffle,0,0,1,1,0,0,0,2,0,1,0,3,0,3,0,3,8,1,1
8,9,13,13,P1 Solegit,0,0,1,1,0,0,0,5,1,1,1,6,0,2,0,4,9,1,1
9,10,6,11,P2 NNRoffle,0,0,2,1,0,0,0,3,0,1,1,4,0,3,1,2,11,3,1
10,11,6,3,P1 Solegit,0,0,1,1,0,0,0,5,0,1,1,6,0,2,0,4,11,2,1
11,12,0,3,P2 NNRoffle,0,0,1,1,0,0,0,1,0,1,1,2,0,3,1,5,12,1,1
12,1,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
13,2,30,30,P2 NNRoffle,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,2
14,3,30,30,P1 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,2
15,4,27,30,P2 NNRoffle,0,0,1,2,0,0,0,2,0,2,1,4,0,1,0,0,4,2,2
16,5,27,30,P1 Solegit,0,0,1,1,0,0,0,1,1,1,1,2,0,0,0,0,6,3,2
17,6,16,30,P2 NNRoffle,0,0,1,2,0,0,0,4,1,1,1,6,0,2,0,0,7,3,2
18,7,16,28,P1 Solegit,0,0,1,2,0,0,0,2,0,2,1,4,0,0,0,2,8,2,2
