,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 NNWabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
2,3,30,28,P1 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,1
3,4,30,28,P2 NNWabeka,0,0,1,1,0,0,0,1,1,1,2,2,0,0,0,0,3,2,1
4,5,30,27,P1 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,6,3,1
5,6,25,27,P2 NNWabeka,0,0,1,2,0,0,0,2,0,0,1,4,0,2,0,0,7,3,1
6,7,25,26,P1 Solegit,0,0,1,2,0,0,0,1,0,1,0,3,0,1,0,0,10,4,1
7,8,19,26,P2 NNWabeka,0,0,1,1,0,0,0,6,1,1,3,7,0,2,0,0,11,4,1
8,9,19,15,P1 Solegit,0,0,1,2,0,0,0,4,0,1,0,6,0,2,0,0,15,5,1
9,10,8,15,P2 NNWabeka,0,0,1,3,0,0,0,6,3,3,6,9,0,2,0,1,15,4,1
10,11,8,12,P1 Solegit,0,0,1,1,0,0,0,4,0,1,1,5,0,2,0,5,16,1,1
11,12,-1,18,P2 NNWabeka,6,0,1,1,0,0,0,2,0,1,0,3,0,2,0,1,20,5,1
12,1,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
13,2,30,30,P2 NNWabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
14,3,30,26,P1 Solegit,0,0,4,2,0,0,0,1,1,0,1,3,0,2,0,0,3,2,2
15,4,29,26,P2 NNWabeka,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,2
16,5,29,26,P1 Solegit,0,0,1,1,0,0,0,1,1,1,2,2,0,2,0,1,5,2,2
17,6,29,26,P2 NNWabeka,0,0,1,2,0,0,0,0,0,0,0,2,0,2,0,0,5,3,2
18,7,29,24,P1 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,1,8,3,2
19,8,22,24,P2 NNWabeka,0,0,1,2,0,0,0,4,1,2,2,6,0,2,0,1,8,3,2
20,9,22,23,P1 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,1,12,4,2
21,10,14,23,P2 NNWabeka,0,0,1,1,0,0,0,5,0,1,0,6,0,2,0,0,13,5,2
22,11,14,14,P1 Solegit,0,0,1,0,0,0,0,2,0,0,0,2,0,2,0,6,12,0,2
23,12,5,18,P2 NNWabeka,4,0,1,1,0,0,0,7,2,1,3,8,0,2,0,1,18,5,2
24,13,3,16,P1 Solegit,0,0,2,3,0,0,0,1,0,3,0,4,0,2,1,0,19,7,2
25,14,-1,20,P2 NNWabeka,4,0,1,0,0,0,0,2,1,0,2,2,0,2,0,7,18,0,2
26,1,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3
27,2,30,30,P2 NNWabeka,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,3
28,3,30,30,P1 Solegit,0,0,1,2,0,0,0,1,0,2,0,3,0,0,0,0,3,2,3
29,4,28,30,P2 NNWabeka,0,0,1,1,0,0,0,2,0,1,1,3,0,1,0,0,4,2,3
30,5,28,30,P1 Solegit,0,0,1,1,0,0,0,2,1,1,2,3,0,0,0,0,6,3,3
31,6,22,30,P2 NNWabeka,0,0,1,2,0,0,0,2,0,2,0,4,0,1,0,0,7,3,3
32,7,20,25,P1 Solegit,0,0,2,1,0,0,0,4,1,1,2,5,0,0,1,1,9,3,3
33,8,13,25,P2 NNWabeka,0,0,1,0,0,0,0,3,0,0,0,3,0,1,0,4,7,0,3
34,9,13,17,P1 Solegit,0,0,1,1,0,0,0,3,1,1,1,4,0,0,1,0,14,5,3
35,10,4,17,P2 NNWabeka,0,0,1,1,0,0,0,5,1,1,1,6,0,1,0,1,11,4,3
36,11,4,6,P1 Solegit,0,0,1,2,0,0,0,3,1,1,1,5,0,1,1,3,17,3,3
37,12,0,6,P2 NNWabeka,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,6,11,0,3
38,1,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,4
39,2,30,30,P2 NNWabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,4
40,3,30,30,P1 Solegit,0,0,1,1,0,0,0,1,1,1,1,2,0,0,0,0,3,2,4
41,4,30,30,P2 NNWabeka,0,0,1,2,0,0,0,1,1,1,2,3,0,1,0,0,4,2,4
42,5,30,27,P1 Solegit,0,0,1,2,0,0,0,1,0,2,0,3,0,0,0,0,6,3,4
43,6,30,27,P2 NNWabeka,0,0,1,1,0,0,0,1,1,1,2,2,0,1,0,1,6,2,4
44,7,30,21,P1 Solegit,0,0,1,2,0,0,0,2,1,1,1,4,0,1,0,0,10,4,4
45,8,24,21,P2 NNWabeka,0,0,1,1,0,0,0,3,1,1,2,4,0,1,0,0,10,4,4
46,9,24,19,P1 Solegit,0,0,1,2,0,0,0,1,0,2,0,3,0,1,0,0,15,5,4
47,10,18,26,P2 NNWabeka,7,0,1,1,0,0,0,4,1,1,3,5,0,1,0,0,15,5,4
48,11,18,26,P1 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,5,16,1,4
49,12,5,30,P2 NNWabeka,6,0,2,1,0,0,0,4,2,0,3,5,0,2,1,3,18,3,4
50,13,5,30,P1 Solegit,0,0,1,1,0,0,0,1,1,1,2,2,0,1,0,0,23,7,4
51,14,-1,30,P2 NNWabeka,0,0,4,2,0,0,0,1,0,1,0,3,0,3,1,5,20,2,4
52,1,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,5
53,2,30,30,P2 NNWabeka,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,5
54,3,30,28,P1 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,5
55,4,30,28,P2 NNWabeka,0,0,1,1,0,0,0,1,1,1,2,2,0,1,0,0,4,2,5
56,5,30,27,P1 Solegit,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,3,3,0,5
57,6,30,27,P2 NNWabeka,0,0,1,1,0,0,0,0,1,0,1,1,0,2,0,2,5,1,5
58,7,30,25,P1 Solegit,0,0,1,1,0,0,0,1,0,0,0,2,0,1,0,0,7,4,5
59,8,27,25,P2 NNWabeka,0,0,1,1,0,0,0,3,0,0,0,4,0,3,0,0,9,4,5
60,9,27,20,P1 Solegit,0,0,1,3,0,0,0,5,1,3,4,8,0,1,0,3,9,2,5
61,10,25,18,P2 NNWabeka,0,0,2,1,0,0,0,1,1,0,1,2,0,4,1,2,12,3,5
62,11,25,0,P1 Solegit,0,0,1,0,0,0,0,2,0,0,0,2,0,1,0,6,9,0,5
63,1,30,30,P1 Solegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,6
64,2,30,30,P2 NNWabeka,0,0,4,3,0,0,0,0,0,1,0,3,0,2,0,0,2,1,6
65,3,30,26,P1 Solegit,0,0,1,2,0,0,0,1,1,1,1,3,0,1,0,0,3,2,6
66,4,27,26,P2 NNWabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,0,4,2,6
67,5,27,24,P1 Solegit,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,6,3,6
68,6,22,24,P2 NNWabeka,0,0,1,1,0,0,0,2,0,1,0,3,0,2,0,0,7,3,6
69,7,20,19,P1 Solegit,0,0,2,1,0,0,0,2,0,1,0,3,0,1,1,0,10,4,6
70,8,15,19,P2 NNWabeka,0,0,1,1,0,0,0,3,0,1,1,4,0,2,0,0,11,4,6
71,9,15,16,P1 Solegit,0,0,1,3,0,0,0,2,0,3,0,5,0,1,1,2,13,3,6
72,10,7,22,P2 NNWabeka,6,0,1,1,0,0,0,6,3,1,5,7,0,2,0,0,16,5,6
