,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Viper,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,27,P2 NNPizza,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,1
2,3,30,27,P1 Viper,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
3,4,25,27,P2 NNPizza,0,0,1,1,0,0,0,2,1,0,1,3,0,2,0,1,3,1,1
4,5,25,27,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,3,1
5,6,21,27,P2 NNPizza,0,0,1,2,0,0,0,1,0,2,0,3,0,2,0,0,6,3,1
6,7,21,20,P1 Viper,0,0,1,2,0,0,0,3,1,1,1,5,0,1,0,0,7,4,1
7,8,14,20,P2 NNPizza,0,0,1,1,0,0,0,3,1,1,1,4,0,2,0,0,10,4,1
8,9,14,11,P1 Viper,0,0,1,2,0,0,0,3,0,2,0,5,0,1,0,1,11,4,1
9,10,13,11,P2 NNPizza,0,0,1,1,0,0,0,6,3,1,7,7,0,2,0,2,13,3,1
10,11,13,9,P1 Viper,0,0,1,2,0,0,0,1,0,1,0,3,0,2,0,1,16,5,1
11,12,8,4,P2 NNPizza,0,0,1,2,0,0,0,5,2,1,6,7,0,3,0,1,18,5,1
