,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,26,30,P2 NNRoffle,0,0,1,3,0,0,0,0,0,1,0,3,0,2,0,0,2,1,1
2,3,26,30,P1 Viper,0,0,1,2,0,0,0,1,1,2,1,3,0,0,0,0,3,2,1
3,4,25,30,P2 NNRoffle,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,0,4,2,1
4,5,25,29,P1 Viper,0,0,1,2,0,0,0,2,1,2,2,4,0,0,0,1,5,2,1
5,6,24,29,P2 NNRoffle,0,0,1,3,0,0,0,1,0,2,1,4,0,3,0,0,7,3,1
6,7,24,24,P1 Viper,0,0,1,1,0,0,0,3,0,1,0,4,0,0,0,0,9,4,1
7,8,24,24,P2 NNRoffle,0,0,1,1,0,0,0,3,2,1,4,4,0,3,0,3,8,1,1
8,9,24,18,P1 Viper,0,0,1,1,0,0,0,3,1,0,1,4,0,1,0,4,10,1,1
9,10,20,18,P2 NNRoffle,0,0,1,1,0,0,0,2,1,1,2,3,0,3,0,2,11,3,1
10,11,20,16,P1 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,4,12,2,1
11,12,16,16,P2 NNRoffle,0,0,1,1,0,0,0,3,2,1,4,4,0,3,0,5,12,1,1
12,13,16,16,P1 Viper,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,7,12,0,1
13,14,11,16,P2 NNRoffle,0,0,1,1,0,0,0,2,0,1,0,3,0,3,0,6,13,1,1
14,15,11,16,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,7,13,1,1
15,16,4,16,P2 NNRoffle,0,0,1,1,0,0,0,3,0,0,0,4,0,4,0,4,17,4,1
16,17,4,15,P1 Viper,0,0,4,2,0,0,0,1,0,1,0,3,0,2,0,6,16,3,1
17,18,0,15,P2 NNRoffle,0,0,1,0,0,0,0,1,0,0,0,1,0,4,0,9,17,0,1
