,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 NNSolegit,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,1
2,3,30,30,P1 Viper,0,0,1,2,0,0,0,1,1,2,1,3,0,0,0,0,3,2,1
3,4,30,30,P2 NNSolegit,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,4,2,1
4,5,30,30,P1 Viper,0,0,1,1,0,0,0,2,1,1,2,3,0,0,0,0,6,3,1
5,6,27,25,P2 NNSolegit,0,0,4,3,0,0,0,2,0,2,2,5,0,2,0,0,7,3,1
6,7,27,24,P1 Viper,0,0,1,1,0,0,0,3,0,1,0,4,0,0,0,3,7,1,1
7,8,22,24,P2 NNSolegit,0,0,1,2,0,0,0,4,1,1,5,6,0,3,0,1,10,3,1
8,9,22,24,P1 Viper,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,1
9,10,4,22,P2 NNSolegit,0,0,2,1,0,0,0,7,0,0,0,8,0,4,1,2,13,3,1
10,11,4,22,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,4,9,2,1
11,12,0,22,P2 NNSolegit,0,0,1,0,0,0,0,1,0,0,0,1,0,4,1,6,13,0,1
