,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 NNViper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
2,3,30,28,P1 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,1
3,4,30,28,P2 NNViper,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,4,2,1
4,5,30,22,P1 Viper,0,0,4,3,0,0,0,2,1,1,1,5,0,2,0,0,6,3,1
5,6,28,22,P2 NNViper,0,0,1,1,0,0,0,4,3,1,5,5,0,1,0,0,7,3,1
6,7,28,21,P1 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,1,9,3,1
7,8,18,21,P2 NNViper,0,0,1,1,0,0,0,2,0,0,0,3,0,2,0,0,11,4,1
8,9,18,15,P1 Viper,0,0,1,3,0,0,0,4,0,3,1,7,0,2,0,1,13,4,1
9,10,6,15,P2 NNViper,0,0,1,3,0,0,0,5,1,3,2,8,0,2,0,0,16,5,1
10,11,6,2,P1 Viper,0,0,1,1,0,0,0,5,0,1,0,6,0,2,0,5,14,1,1
11,12,-2,2,P2 NNViper,0,0,1,0,0,0,0,3,1,0,2,3,0,2,0,6,16,0,1
12,1,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
13,2,30,30,P2 NNViper,0,0,4,3,0,0,0,0,0,1,0,3,0,2,0,0,2,1,2
14,3,30,30,P1 Viper,0,0,1,1,0,0,0,1,1,1,1,2,0,0,0,0,3,2,2
15,4,28,30,P2 NNViper,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,0,4,2,2
16,5,28,30,P1 Viper,0,0,1,1,0,0,0,1,0,1,1,2,0,0,0,1,5,2,2
17,6,26,30,P2 NNViper,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,0,7,3,2
18,7,26,24,P1 Viper,0,0,1,2,0,0,0,2,1,1,3,4,0,1,0,0,9,4,2
19,8,26,24,P2 NNViper,0,0,1,3,0,0,0,2,1,3,3,5,0,2,0,0,11,4,2
20,9,26,14,P1 Viper,0,0,1,2,0,0,0,2,0,1,0,4,0,2,0,1,13,4,2
21,10,14,14,P2 NNViper,0,0,1,2,0,0,0,4,2,2,4,6,0,2,0,3,13,2,2
22,11,14,0,P1 Viper,0,0,1,1,0,0,0,3,0,1,1,4,0,2,0,2,17,4,2
23,1,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3
24,2,30,30,P2 NNViper,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,3
25,3,30,28,P1 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,3
26,4,28,28,P2 NNViper,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,1,3,1,3
27,5,28,21,P1 Viper,0,0,1,2,0,0,0,2,1,1,1,4,0,1,0,0,6,3,3
28,6,25,21,P2 NNViper,0,0,1,1,0,0,0,2,1,1,2,3,0,1,0,0,6,3,3
29,7,25,18,P1 Viper,0,0,1,3,0,0,0,1,0,3,2,4,0,1,0,0,10,4,3
30,8,23,18,P2 NNViper,0,0,1,3,0,0,0,3,1,3,3,6,0,1,0,0,10,4,3
31,9,23,16,P1 Viper,0,0,1,1,0,0,0,2,0,1,1,3,0,1,0,4,11,1,3
32,10,14,16,P2 NNViper,0,0,1,1,0,0,0,4,2,0,4,5,0,2,0,1,14,4,3
33,11,14,15,P1 Viper,0,0,1,1,0,0,0,1,0,0,0,2,0,2,0,2,15,4,3
34,12,0,15,P2 NNViper,0,0,1,0,0,0,0,3,0,0,0,3,0,2,0,6,14,0,3
35,1,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,4
36,2,30,30,P2 NNViper,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,4
37,3,30,29,P1 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,4
38,4,26,29,P2 NNViper,0,0,1,2,0,0,0,1,0,2,0,3,0,1,0,0,4,2,4
39,5,26,25,P1 Viper,0,0,1,1,0,0,0,2,1,0,1,3,0,1,0,2,4,1,4
40,6,18,25,P2 NNViper,0,0,1,1,0,0,0,3,1,1,2,4,0,1,0,1,6,2,4
41,7,18,25,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,8,4,4
42,8,8,25,P2 NNViper,0,0,1,1,0,0,0,4,1,1,2,5,0,1,0,0,10,4,4
43,9,8,25,P1 Viper,0,0,1,2,0,0,0,0,0,2,0,2,0,1,0,3,10,2,4
44,10,0,25,P2 NNViper,0,0,1,1,0,0,0,2,0,0,2,3,0,2,0,1,14,4,4
45,1,30,30,P1 Viper,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
46,2,30,30,P2 NNViper,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,5
47,3,30,30,P1 Viper,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5
48,4,27,30,P2 NNViper,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,4,2,5
49,5,27,30,P1 Viper,0,0,1,2,0,0,0,0,1,1,1,2,0,1,0,0,3,3,5
50,6,24,28,P2 NNViper,0,0,2,1,0,0,0,1,0,1,1,2,0,1,1,0,7,3,5
51,7,24,27,P1 Viper,0,0,1,2,0,0,0,2,1,2,2,4,0,1,0,2,5,2,5
52,8,19,27,P2 NNViper,0,0,1,1,0,0,0,2,0,0,3,3,0,2,1,0,11,4,5
53,9,19,27,P1 Viper,0,0,1,2,0,0,0,0,0,2,0,2,0,1,0,0,10,5,5
54,10,13,27,P2 NNViper,0,0,1,2,0,0,0,6,2,2,3,8,0,2,1,0,16,5,5
55,11,13,19,P1 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,3,13,3,5
56,12,0,19,P2 NNViper,0,0,1,0,0,0,0,3,0,0,0,3,0,2,1,6,16,0,5
57,1,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,6
58,2,30,30,P2 NNViper,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,6
59,3,30,28,P1 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,6
60,4,30,28,P2 NNViper,0,0,4,2,0,0,0,2,2,1,3,4,0,2,0,0,4,2,6
61,5,30,28,P1 Viper,0,0,1,1,0,0,0,1,1,1,1,2,0,0,0,2,4,1,6
62,6,30,28,P2 NNViper,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,0,7,3,6
