,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 NNWabeka,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,29,P1 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,1
3,4,28,29,P2 NNWabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,1,3,1,1
4,5,28,25,P1 Viper,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,0,6,3,1
5,6,24,25,P2 NNWabeka,0,0,1,1,0,0,0,2,1,1,2,3,0,1,0,2,4,1,1
6,7,24,23,P1 Viper,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,3,7,1,1
7,8,22,23,P2 NNWabeka,0,0,1,0,0,0,0,3,2,0,3,3,0,1,0,4,4,0,1
8,9,20,21,P1 Viper,0,0,2,2,0,0,0,3,0,2,1,5,0,0,1,0,12,5,1
9,10,20,24,P2 NNWabeka,3,0,1,1,0,0,0,1,0,1,1,2,0,1,0,0,9,5,1
10,11,20,19,P1 Viper,0,0,1,1,0,0,0,3,0,1,1,4,0,0,1,3,15,3,1
11,12,20,19,P2 NNWabeka,0,0,1,2,0,0,0,0,0,2,0,2,0,1,0,0,15,6,1
12,13,20,11,P1 Viper,0,0,1,1,0,0,0,6,0,1,0,7,0,0,1,5,17,2,1
13,14,13,9,P2 NNWabeka,0,0,5,3,0,0,0,2,1,1,1,5,0,3,1,0,22,7,1
14,15,13,0,P1 Viper,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,8,17,0,1
15,1,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
16,2,30,30,P2 NNWabeka,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,2
17,3,30,27,P1 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,2,1,2
18,4,25,27,P2 NNWabeka,0,0,1,2,0,0,0,1,0,2,1,3,0,1,0,0,4,2,2
19,5,25,27,P1 Viper,0,0,1,1,0,0,0,1,1,1,1,2,0,0,0,0,5,3,2
20,6,21,27,P2 NNWabeka,0,0,1,0,0,0,0,3,0,0,0,3,0,1,0,3,4,0,2
21,7,21,26,P1 Viper,0,0,1,2,0,0,0,2,0,2,1,4,0,0,0,2,7,2,2
22,8,17,26,P2 NNWabeka,0,0,1,1,0,0,0,2,1,0,3,3,0,2,0,0,8,4,2
23,9,17,25,P1 Viper,0,0,1,2,0,0,0,1,0,1,0,3,0,1,0,0,12,5,2
24,10,11,28,P2 NNWabeka,3,0,1,1,0,0,0,6,0,1,2,7,0,2,0,0,13,5,2
25,11,11,27,P1 Viper,0,0,1,1,0,0,0,4,1,1,2,5,0,1,0,4,14,2,2
