,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 NNRoffle,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,1
2,3,30,30,P1 Wabeka,0,0,1,1,0,0,0,1,1,1,2,2,0,0,0,1,2,1,1
3,4,30,30,P2 NNRoffle,0,0,1,2,0,0,0,1,0,2,1,3,0,1,0,0,4,2,1
4,5,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,4,2,1
5,6,26,30,P2 NNRoffle,0,0,1,2,0,0,0,3,1,1,2,5,0,2,0,1,6,2,1
6,7,26,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,1
7,8,20,30,P2 NNRoffle,0,0,1,1,0,0,0,3,0,0,0,4,0,3,0,0,10,4,1
8,9,20,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,9,5,1
9,10,13,30,P2 NNRoffle,0,0,1,2,0,0,0,7,2,1,3,9,0,4,0,0,15,5,1
10,11,13,30,P1 Wabeka,0,0,1,2,0,0,0,0,0,2,1,2,0,0,0,1,14,5,1
11,12,4,30,P2 NNRoffle,0,0,1,1,0,0,0,6,1,1,2,7,0,4,0,4,17,2,1
12,13,4,28,P1 Wabeka,0,0,4,5,0,0,0,1,0,4,0,6,0,1,0,0,21,7,1
13,14,0,28,P2 NNRoffle,0,0,1,1,0,0,0,6,3,1,5,7,0,4,0,6,18,1,1
14,1,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
15,2,30,30,P2 NNRoffle,0,0,1,3,0,0,0,0,0,1,0,3,0,2,0,0,2,1,2
16,3,30,29,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,2
17,4,25,29,P2 NNRoffle,0,0,1,2,0,0,0,1,0,2,0,3,0,2,0,0,4,2,2
18,5,25,24,P1 Wabeka,0,0,1,1,0,0,0,2,1,1,1,3,0,0,0,2,4,1,2
19,6,23,24,P2 NNRoffle,0,0,1,1,0,0,0,3,1,1,3,4,0,2,0,0,7,3,2
20,7,23,21,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,7,3,2
21,8,10,21,P2 NNRoffle,0,0,1,2,0,0,0,4,1,1,1,6,0,3,0,2,9,2,2
22,9,10,17,P1 Wabeka,0,0,1,1,0,0,0,1,0,0,0,2,0,1,0,1,11,4,2
23,10,0,17,P2 NNRoffle,0,0,1,0,0,0,0,3,0,0,0,3,0,3,0,5,9,0,2
24,1,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
25,2,30,30,P2 NNRoffle,0,0,1,3,0,0,0,0,0,1,0,3,0,2,0,0,2,1,3
26,3,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,3
27,4,25,30,P2 NNRoffle,0,0,1,2,0,0,0,1,0,2,0,3,0,2,0,0,4,2,3
28,5,25,26,P1 Wabeka,0,0,1,2,0,0,0,1,1,1,2,3,0,1,0,0,5,3,3
29,6,16,26,P2 NNRoffle,0,0,1,2,0,0,0,2,0,2,0,4,0,2,0,0,7,3,3
30,7,16,19,P1 Wabeka,0,0,1,2,0,0,0,5,1,2,2,7,0,1,0,0,9,4,3
31,8,5,19,P2 NNRoffle,0,0,1,1,0,0,0,3,0,1,0,4,0,2,0,1,10,3,3
32,9,5,11,P1 Wabeka,0,0,1,1,0,0,0,6,0,0,0,7,0,2,0,1,13,4,3
