,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,3,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
3,4,30,30,P2 Wabeka,0,0,1,3,0,0,0,0,1,1,1,3,0,2,0,0,3,2,1
4,5,30,30,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,2,2,1
5,6,27,30,P2 Wabeka,0,0,1,0,0,0,0,3,0,0,0,3,0,2,0,3,3,0,1
6,7,27,27,P1 Krebs1996,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,6,4,1
7,8,27,27,P2 Wabeka,0,0,1,1,0,0,0,3,3,0,3,4,0,3,0,0,7,4,1
8,9,30,24,P1 Krebs1996,3,0,1,1,0,0,0,3,0,1,2,4,0,0,0,0,11,5,1
9,10,30,24,P2 Wabeka,0,0,1,1,0,0,0,2,2,1,3,3,0,3,0,0,12,5,1
10,11,30,24,P1 Krebs1996,0,0,1,2,0,0,0,2,2,2,3,4,0,0,0,2,15,4,1
11,12,29,24,P2 Wabeka,0,0,1,2,0,0,0,0,0,2,0,2,0,3,0,0,18,6,1
12,13,25,24,P1 Krebs1996,0,0,1,1,0,0,0,0,2,1,6,1,0,0,0,2,20,5,1
13,14,25,24,P2 Wabeka,0,0,1,2,0,0,0,0,0,2,0,2,0,3,0,1,24,6,1
14,15,25,20,P1 Krebs1996,0,0,1,1,0,0,0,1,0,1,1,2,0,0,0,2,26,6,1
15,16,25,20,P2 Wabeka,0,0,1,2,0,0,0,1,0,2,0,3,0,3,0,0,32,8,1
16,17,23,20,P1 Krebs1996,0,0,2,2,0,0,0,2,1,1,4,4,0,1,1,0,35,9,1
17,18,21,18,P2 Wabeka,0,0,5,3,0,0,0,0,0,1,0,3,0,5,1,0,41,9,1
18,19,25,12,P1 Krebs1996,4,0,1,2,0,0,0,2,2,2,7,4,0,1,1,1,44,9,1
19,20,25,12,P2 Wabeka,0,0,1,2,0,0,0,0,0,2,0,2,0,5,1,4,47,6,1
20,21,11,12,P1 Krebs1996,0,0,1,1,0,0,0,2,1,1,3,4,0,1,1,1,53,9,1
21,22,11,12,P2 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,5,1,7,50,3,1
22,23,10,12,P1 Krebs1996,0,0,1,2,0,0,0,1,0,2,1,4,0,1,2,1,62,9,1
23,24,10,12,P2 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,5,1,5,55,5,1
24,25,10,-3,P1 Krebs1996,0,0,1,0,0,0,0,3,0,0,0,3,0,1,2,10,62,0,1
25,1,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
26,2,30,30,P2 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
27,3,30,30,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,2
28,4,30,30,P2 Wabeka,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,3,2,2
29,5,30,27,P1 Krebs1996,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,3,2,0,2
30,6,29,27,P2 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,6,3,2
31,7,29,23,P1 Krebs1996,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,6,4,2
32,8,29,23,P2 Wabeka,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,0,10,4,2
33,9,25,17,P1 Krebs1996,0,0,1,1,0,0,0,2,1,0,6,3,0,1,0,1,10,4,2
34,10,25,20,P2 Wabeka,3,0,1,1,0,0,0,1,0,1,1,2,0,1,0,0,15,5,2
35,11,22,17,P1 Krebs1996,0,0,1,2,0,0,0,0,0,1,1,2,0,2,0,0,16,6,2
36,12,22,17,P2 Wabeka,0,0,4,2,0,0,0,0,0,1,0,2,0,2,0,3,18,3,2
37,13,22,17,P1 Krebs1996,0,0,1,1,0,0,0,0,1,1,5,1,0,2,0,0,23,7,2
38,14,22,17,P2 Wabeka,0,0,1,2,0,0,0,0,0,2,0,2,0,2,0,0,25,7,2
39,15,25,17,P1 Krebs1996,3,0,1,1,0,0,0,1,0,0,2,2,0,3,0,2,29,6,2
40,16,25,17,P2 Wabeka,0,0,1,2,0,0,0,0,0,2,0,2,0,2,0,1,32,7,2
41,17,25,13,P1 Krebs1996,0,0,1,1,0,0,0,1,0,1,1,2,0,3,0,3,35,6,2
42,18,19,13,P2 Wabeka,0,0,1,2,0,0,0,1,1,1,1,3,0,3,0,3,38,6,2
43,19,19,13,P1 Krebs1996,0,0,1,2,0,0,0,2,1,2,2,4,0,3,0,2,43,8,2
44,20,19,13,P2 Wabeka,0,0,1,2,0,0,0,0,0,2,0,2,0,3,0,4,44,6,2
45,21,21,1,P1 Krebs1996,4,0,2,1,0,0,0,5,0,1,2,6,0,3,1,5,48,5,2
46,22,21,1,P2 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,9,45,1,2
47,23,21,-4,P1 Krebs1996,0,0,1,0,0,0,0,1,0,0,0,1,0,3,1,10,48,0,2
48,1,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
49,2,30,30,P2 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
50,3,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
51,4,30,30,P2 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
52,5,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
53,6,30,30,P2 Wabeka,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,4,3,3
54,7,30,30,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,2,2,2,3
55,8,20,30,P2 Wabeka,0,0,1,2,0,0,0,3,2,1,2,5,0,2,0,0,8,4,3
56,9,20,30,P1 Krebs1996,0,0,1,1,0,0,0,1,0,1,1,2,0,0,0,0,7,5,3
57,10,20,30,P2 Wabeka,0,0,1,1,0,0,0,4,2,1,3,5,0,2,0,0,13,5,3
58,11,20,30,P1 Krebs1996,0,0,1,1,0,0,0,1,1,1,2,2,0,0,0,1,12,5,3
59,12,20,30,P2 Wabeka,0,0,1,2,0,0,0,1,1,2,1,3,0,2,0,0,19,6,3
60,13,20,30,P1 Krebs1996,4,0,1,1,0,0,0,1,1,1,5,2,0,0,0,1,18,6,3
61,14,20,30,P2 Wabeka,0,0,1,3,0,0,0,0,0,3,0,3,0,2,0,0,26,7,3
62,15,21,30,P1 Krebs1996,3,0,2,1,0,0,0,2,0,1,2,3,0,0,1,1,25,7,3
63,16,19,28,P2 Wabeka,0,0,5,4,0,0,0,2,2,2,3,6,0,4,1,0,34,8,3
64,17,22,28,P1 Krebs1996,3,0,1,2,0,0,0,1,0,1,2,3,0,1,1,1,33,8,3
65,18,22,28,P2 Wabeka,0,0,1,2,0,0,0,0,0,2,0,2,0,4,1,2,41,7,3
66,19,22,25,P1 Krebs1996,0,0,1,2,0,0,0,2,2,2,4,4,0,1,1,1,42,9,3
