,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 Viper,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,30,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1
3,4,26,30,P2 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,4,2,1
4,5,26,30,P1 Orasha,0,0,1,1,0,0,0,0,1,1,3,1,0,0,0,1,4,2,1
5,6,26,30,P2 Viper,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,4,0,1
6,7,30,30,P1 Orasha,4,0,3,1,0,0,0,0,1,0,1,1,0,1,0,1,7,3,1
7,8,30,30,P2 Viper,0,0,1,2,0,0,0,0,0,2,0,2,0,1,0,0,8,4,1
8,9,27,27,P1 Orasha,0,0,1,1,0,0,0,0,0,0,4,1,0,2,0,1,11,4,1
9,10,27,27,P2 Viper,0,0,1,2,0,0,0,0,0,1,0,2,0,2,0,0,13,5,1
10,11,27,27,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,1,16,5,1
11,12,28,27,P2 Viper,0,0,1,2,0,0,0,5,4,2,5,7,0,2,0,1,18,5,1
12,13,28,27,P1 Orasha,0,0,1,1,0,0,0,0,0,1,3,1,0,2,0,1,22,6,1
13,14,28,27,P2 Viper,0,0,1,1,0,0,0,0,0,0,0,1,0,3,0,3,22,4,1
14,15,26,25,P1 Orasha,0,0,2,2,0,0,0,1,0,1,4,3,0,3,1,1,29,7,1
15,16,26,25,P2 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,0,30,8,1
16,17,24,22,P1 Orasha,3,0,2,2,0,0,0,2,2,1,3,4,0,4,2,0,38,9,1
17,18,24,22,P2 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,8,31,1,1
18,19,24,20,P1 Orasha,0,0,1,1,0,0,0,1,0,1,0,2,0,4,2,5,43,5,1
19,20,24,18,P2 Viper,0,0,2,2,0,0,0,1,1,2,1,3,0,3,1,6,35,4,1
20,21,22,18,P1 Orasha,0,0,2,2,0,0,0,2,0,2,2,4,0,4,3,-3,56,13,1
21,22,22,18,P2 Viper,0,0,1,1,0,0,0,1,1,1,1,2,0,3,1,9,36,1,1
22,23,26,8,P1 Orasha,4,0,1,1,0,0,0,4,1,1,2,5,0,4,3,0,66,10,1
23,24,26,8,P2 Viper,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,10,36,0,1
24,25,26,-1,P1 Orasha,0,0,1,0,0,0,0,1,0,0,0,1,0,4,3,10,66,0,1
25,1,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
26,2,30,30,P2 Viper,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,2
27,3,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
28,4,28,30,P2 Viper,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,2,2,0,2
29,5,28,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2
30,6,23,30,P2 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,5,3,2
31,7,20,27,P1 Orasha,0,0,1,1,0,0,0,0,0,0,4,1,0,1,0,0,4,4,2
32,8,20,27,P2 Viper,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,9,4,2
33,9,18,27,P1 Orasha,0,0,2,1,0,0,0,0,0,1,0,1,0,1,1,0,9,5,2
34,10,12,27,P2 Viper,0,0,1,2,0,0,0,4,0,2,0,6,0,2,0,0,14,5,2
35,11,12,27,P1 Orasha,0,0,2,2,0,0,0,1,0,1,2,3,0,2,1,3,12,3,2
36,12,8,27,P2 Viper,0,0,1,1,0,0,0,4,0,1,0,5,0,2,0,4,16,2,2
37,13,8,27,P1 Orasha,0,0,1,1,0,0,0,0,2,1,10,1,0,2,1,0,19,7,2
38,14,8,27,P2 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,6,17,1,2
