,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 Pizza,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,30,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1
3,4,27,30,P2 Pizza,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,1,3,1,1
4,5,27,27,P1 Slage,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,3,2,0,1
5,6,21,27,P2 Pizza,0,0,1,2,0,0,0,2,2,1,3,4,0,2,0,0,6,3,1
6,7,18,24,P1 Slage,0,0,1,1,0,0,0,0,0,0,5,1,0,1,0,0,6,4,1
7,8,18,24,P2 Pizza,0,0,1,2,0,0,0,0,0,2,0,2,0,2,0,0,10,4,1
8,9,18,24,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,10,4,1
9,10,18,24,P2 Pizza,0,0,1,1,0,0,0,2,2,1,2,3,0,2,0,2,13,3,1
10,11,21,20,P1 Slage,3,0,1,1,0,0,0,1,0,0,1,2,0,2,0,0,16,6,1
11,12,21,20,P2 Pizza,0,0,1,1,0,0,0,2,2,0,2,3,0,3,0,2,17,4,1
12,13,21,16,P1 Slage,0,0,1,2,0,0,0,1,1,1,5,3,0,3,0,1,22,6,1
13,14,21,16,P2 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,4,20,3,1
14,15,21,12,P1 Slage,0,0,1,1,0,0,0,1,0,1,0,2,0,3,0,1,29,7,1
15,16,21,12,P2 Pizza,0,0,1,1,0,0,0,1,0,1,1,2,0,3,0,0,28,8,1
16,17,19,5,P1 Slage,0,0,2,3,0,0,0,1,0,3,0,5,0,3,1,0,38,9,1
17,18,16,3,P2 Pizza,0,0,2,3,0,0,0,2,0,3,1,5,0,3,1,0,37,9,1
18,19,16,-1,P1 Slage,0,0,1,0,0,0,0,1,0,0,0,1,0,3,1,10,38,0,1
19,1,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
20,2,30,30,P2 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
21,3,30,30,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,2
22,4,29,30,P2 Pizza,0,0,1,2,0,0,0,1,0,1,0,3,0,1,0,0,4,2,2
23,5,29,30,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,4,2,2
24,6,28,27,P2 Pizza,0,0,1,1,0,0,0,3,1,1,2,4,0,1,0,2,5,1,2
25,7,28,27,P1 Slage,0,0,1,1,0,0,0,1,0,1,1,2,0,0,0,0,8,4,2
26,8,26,27,P2 Pizza,0,0,1,2,0,0,0,1,0,2,0,3,0,1,0,0,9,4,2
27,9,30,25,P1 Slage,4,0,2,2,0,0,0,2,0,1,2,4,0,1,0,0,13,5,2
28,10,30,25,P2 Pizza,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,1,13,4,2
29,11,30,21,P1 Slage,0,0,1,1,0,0,0,3,0,0,3,4,0,2,0,0,19,6,2
30,12,29,21,P2 Pizza,0,0,1,2,0,0,0,1,0,1,0,3,0,3,0,1,18,5,2
31,13,29,15,P1 Slage,0,0,1,1,0,0,0,3,0,1,1,4,0,2,0,0,26,7,2
32,14,25,15,P2 Pizza,0,0,1,1,0,0,0,5,0,1,1,6,0,3,0,6,19,1,2
33,15,25,5,P1 Slage,0,0,1,2,0,0,0,3,0,2,0,5,0,2,0,-3,37,11,2
34,16,6,5,P2 Pizza,0,0,1,1,0,0,0,6,1,0,1,7,0,4,0,7,20,1,2
35,17,6,-5,P1 Slage,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,9,37,0,2
36,1,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
37,2,30,30,P2 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3
38,3,30,30,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,3
39,4,28,30,P2 Pizza,0,0,4,3,0,0,0,1,0,1,0,4,0,2,0,0,4,2,3
40,5,28,30,P1 Slage,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,3,2,0,3
41,6,27,30,P2 Pizza,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,0,7,3,3
42,7,27,28,P1 Slage,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,6,4,3
43,8,27,25,P2 Pizza,0,0,1,2,0,0,0,2,1,1,2,4,0,3,0,2,9,2,3
44,9,27,22,P1 Slage,0,0,1,2,0,0,0,1,0,2,0,3,0,0,0,0,11,5,3
45,10,23,22,P2 Pizza,0,0,1,2,0,0,0,1,1,1,1,3,0,4,0,2,12,3,3
46,11,26,12,P1 Slage,3,0,1,1,0,0,0,3,1,0,3,4,0,1,0,0,17,6,3
47,12,26,12,P2 Pizza,0,0,1,2,0,0,0,0,0,1,0,2,0,5,0,1,17,5,3
48,13,23,3,P1 Slage,0,0,1,2,0,0,0,2,2,1,7,4,0,2,0,1,23,6,3
49,14,23,3,P2 Pizza,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,7,17,0,3
50,15,20,0,P1 Slage,0,0,1,1,0,0,0,0,1,0,1,1,0,3,0,4,27,4,3
51,1,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
52,2,30,30,P2 Pizza,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,4
53,3,30,30,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,4
54,4,26,30,P2 Pizza,0,0,1,2,0,0,0,1,0,2,0,3,0,1,0,0,4,2,4
55,5,26,30,P1 Slage,0,0,1,1,0,0,0,1,1,1,2,2,0,0,0,1,4,2,4
56,6,22,30,P2 Pizza,0,0,1,0,0,0,0,2,0,0,0,2,0,1,0,3,4,0,4
57,7,22,30,P1 Slage,0,0,1,1,0,0,0,0,1,1,3,1,0,0,0,1,7,3,4
58,8,21,30,P2 Pizza,0,0,1,3,0,0,0,0,0,3,1,3,0,1,0,0,8,4,4
59,9,18,27,P1 Slage,0,0,1,1,0,0,0,0,0,0,2,1,0,1,0,1,11,4,4
60,10,16,27,P2 Pizza,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,3,10,2,4
61,11,19,27,P1 Slage,3,0,1,1,0,0,0,0,0,0,1,1,0,2,0,0,17,6,4
62,12,17,27,P2 Pizza,0,0,1,2,0,0,0,1,1,0,1,3,0,3,0,1,15,5,4
63,13,17,27,P1 Slage,0,0,1,2,0,0,0,0,0,2,0,2,0,2,0,1,23,6,4
64,14,15,27,P2 Pizza,0,0,1,2,0,0,0,4,3,2,4,6,0,3,0,0,22,7,4
65,15,15,27,P1 Slage,0,0,1,2,0,0,0,1,0,2,1,3,0,2,0,2,29,6,4
66,16,15,27,P2 Pizza,0,0,1,0,0,0,0,2,1,0,3,2,0,3,0,8,22,0,4
67,17,18,25,P1 Slage,3,0,3,2,0,0,0,1,0,0,1,3,0,4,0,1,37,8,4
68,18,18,25,P2 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,8,23,1,4
69,19,20,25,P1 Slage,4,0,3,1,0,0,0,1,0,0,1,2,0,5,1,7,40,3,4
70,20,20,25,P2 Pizza,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,10,23,0,4
71,21,20,23,P1 Slage,0,0,1,1,0,0,1,1,0,1,0,2,0,5,1,0,50,10,4
72,22,20,23,P2 Pizza,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,10,23,0,4
73,23,18,13,P1 Slage,0,0,2,2,0,1,0,2,0,2,0,4,0,5,2,2,58,8,4
74,24,18,13,P2 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,7,26,3,4
75,25,15,-2,P1 Slage,0,0,1,1,0,0,0,2,2,0,2,3,0,6,2,6,62,4,4
76,1,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
77,2,30,30,P2 Pizza,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,5
78,3,30,30,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,5
79,4,28,30,P2 Pizza,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,4,2,5
80,5,28,30,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,4,2,5
81,6,23,30,P2 Pizza,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,1,6,2,5
