,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 Roffle,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,1
2,3,30,30,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1
3,4,28,30,P2 Roffle,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,0,4,2,1
4,5,28,30,P1 Slage,0,0,1,1,0,0,0,0,1,1,4,1,0,0,0,1,4,2,1
5,6,25,30,P2 Roffle,0,0,1,2,0,0,0,3,0,2,0,5,0,1,0,0,7,3,1
6,7,25,30,P1 Slage,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,2,6,2,1
7,8,19,30,P2 Roffle,0,0,1,2,0,0,0,5,1,2,2,7,0,1,0,0,11,4,1
8,9,19,28,P1 Slage,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,10,4,1
9,10,10,28,P2 Roffle,0,0,1,1,0,0,0,7,1,1,2,8,0,1,0,4,12,1,1
10,11,10,28,P1 Slage,0,0,1,1,0,0,0,1,1,0,9,2,0,1,0,2,14,4,1
11,12,10,28,P2 Roffle,0,0,1,2,0,0,0,0,0,1,0,2,0,2,0,2,16,4,1
12,13,10,28,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,21,7,1
13,14,10,28,P2 Roffle,0,0,1,1,0,0,0,2,1,1,2,3,0,2,0,5,18,2,1
14,15,8,28,P1 Slage,0,0,2,1,0,0,1,1,1,1,2,2,0,1,1,2,27,6,1
15,16,6,26,P2 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,6,20,2,1
16,17,6,19,P1 Slage,0,0,1,1,0,1,0,1,0,1,0,2,0,1,1,3,33,6,1
17,18,4,17,P2 Roffle,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,9,20,0,1
18,19,4,6,P1 Slage,0,0,1,2,0,0,0,2,0,2,0,4,0,1,1,2,41,8,1
19,20,2,4,P2 Roffle,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,10,20,0,1
20,21,2,-4,P1 Slage,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,10,41,0,1
21,1,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
22,2,30,30,P2 Roffle,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,2
23,3,30,30,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,2
24,4,28,30,P2 Roffle,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,0,4,2,2
25,5,28,30,P1 Slage,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,3,2,0,2
26,6,21,30,P2 Roffle,0,0,1,1,0,0,0,3,0,0,0,4,0,2,0,2,5,1,2
