,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
2,3,30,30,P1 Stonekeep,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1
3,4,28,30,P2 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,1
4,5,30,30,P1 Stonekeep,2,0,3,1,0,0,0,0,0,0,0,1,0,2,0,0,4,3,1
5,6,26,30,P2 Wabeka,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,0,6,3,1
6,7,23,27,P1 Stonekeep,0,0,1,1,0,0,0,0,0,0,3,1,0,3,0,0,8,4,1
7,8,16,27,P2 Wabeka,0,0,1,2,0,0,0,2,0,1,0,4,0,1,0,0,11,4,1
8,9,16,27,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,0,13,5,1
9,10,4,27,P2 Wabeka,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,0,16,5,1
10,11,4,27,P1 Stonekeep,0,0,1,1,0,0,0,1,0,1,1,2,0,3,0,1,18,5,1
11,12,-7,27,P2 Wabeka,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,6,16,0,1
12,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
13,2,30,30,P2 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
14,3,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
15,4,29,30,P2 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,2
16,5,27,30,P1 Stonekeep,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,3,3,2
17,6,21,30,P2 Wabeka,0,0,1,2,0,0,0,2,0,1,0,4,0,1,0,0,7,3,2
18,7,21,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,4,3,0,2
19,8,8,30,P2 Wabeka,0,0,1,2,0,0,0,4,1,1,1,6,0,2,0,2,9,2,2
20,9,8,30,P1 Stonekeep,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,8,5,2
21,10,0,27,P2 Wabeka,0,0,1,2,0,0,0,2,1,2,1,4,0,2,0,3,11,2,2
22,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
23,2,30,30,P2 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3
24,3,30,30,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,3
25,4,29,30,P2 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,3
26,5,29,30,P1 Stonekeep,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,3,2,0,3
27,6,23,30,P2 Wabeka,0,0,1,3,0,0,0,3,1,1,1,6,0,2,0,0,7,3,3
28,7,25,30,P1 Stonekeep,4,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,4,2,3
29,8,17,30,P2 Wabeka,0,0,1,1,0,0,0,3,0,1,0,4,0,2,0,2,9,2,3
30,9,17,30,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,9,5,3
31,10,7,30,P2 Wabeka,0,0,1,1,0,0,0,4,0,1,0,5,0,2,0,0,14,5,3
32,11,7,30,P1 Stonekeep,0,0,1,1,0,0,0,1,1,1,5,2,0,0,1,0,15,6,3
33,12,2,30,P2 Wabeka,0,0,1,2,0,0,0,1,0,2,0,3,0,2,0,0,20,6,3
34,13,5,28,P1 Stonekeep,3,0,1,1,0,0,0,1,0,0,1,2,0,1,1,1,21,6,3
35,14,0,28,P2 Wabeka,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,7,20,0,3
36,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
37,2,30,30,P2 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
38,3,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4
39,4,30,30,P2 Wabeka,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,3,2,4
40,5,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4
41,6,28,30,P2 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,6,3,4
42,7,28,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4
43,8,25,30,P2 Wabeka,0,0,1,2,0,0,0,2,0,2,0,4,0,1,0,2,8,2,4
44,9,22,27,P1 Stonekeep,0,0,2,2,0,0,0,0,0,0,4,2,0,2,0,0,5,5,4
45,10,15,27,P2 Wabeka,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,0,13,5,4
46,11,15,27,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,1,1,0,2,0,0,11,6,4
