,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 Roffle,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,1
2,3,30,30,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1
3,4,26,30,P2 Roffle,0,0,1,2,0,0,0,1,1,1,1,3,0,2,0,0,4,2,1
4,5,26,30,P1 Thijs,0,0,1,1,0,0,0,0,2,1,4,1,0,0,0,1,4,2,1
5,6,26,30,P2 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,1,6,2,1
6,7,30,30,P1 Thijs,4,0,5,2,0,0,0,0,1,1,2,2,0,1,0,0,8,4,1
7,8,25,30,P2 Roffle,0,0,1,2,0,0,0,3,0,2,0,5,0,2,0,1,9,3,1
8,9,25,30,P1 Thijs,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,5,8,0,1
9,10,18,30,P2 Roffle,0,0,1,0,0,0,0,4,0,0,0,4,0,2,0,5,9,0,1
10,11,18,27,P1 Thijs,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,1,13,5,1
11,12,14,25,P2 Roffle,0,0,2,3,0,0,0,2,2,1,2,5,0,4,1,1,14,5,1
12,13,15,18,P1 Thijs,4,0,1,1,0,0,0,2,2,0,5,3,0,2,0,3,17,4,1
13,14,15,18,P2 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,4,1,6,15,1,1
14,15,15,18,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,2,23,6,1
15,16,15,18,P2 Roffle,0,0,1,1,0,0,0,1,0,0,0,2,0,5,1,4,19,4,1
