,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 Wabeka,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
3,4,28,30,P2 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,4,2,1
4,5,28,30,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,3,1
5,6,24,30,P2 Wabeka,0,0,1,2,0,0,0,1,1,1,2,3,0,2,0,0,7,3,1
6,7,24,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,1
7,8,16,30,P2 Wabeka,0,0,1,1,0,0,0,2,0,0,0,3,0,3,0,0,11,4,1
8,9,19,30,P1 Thijs,3,0,1,1,0,0,0,1,0,1,1,2,0,0,0,0,8,5,1
9,10,13,30,P2 Wabeka,0,0,1,2,0,0,0,5,1,2,2,7,0,3,0,3,13,2,1
10,11,13,30,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,14,6,1
11,12,6,30,P2 Wabeka,0,0,1,1,0,0,0,6,3,1,4,7,0,3,0,1,18,5,1
12,13,6,30,P1 Thijs,0,0,5,3,0,0,0,0,0,1,1,3,0,2,0,0,21,7,1
13,14,0,30,P2 Wabeka,0,0,1,0,0,0,0,1,0,0,0,1,0,3,0,7,18,0,1
14,1,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
15,2,30,30,P2 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
16,3,30,30,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,2
17,4,30,30,P2 Wabeka,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,3,2,2
18,5,30,27,P1 Thijs,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,3,2,0,2
19,6,29,27,P2 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,6,3,2
20,7,29,24,P1 Thijs,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,4,2,0,2
21,8,24,24,P2 Wabeka,0,0,1,2,0,0,0,2,1,1,1,4,0,2,0,1,9,3,2
22,9,24,20,P1 Thijs,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,7,5,2
23,10,24,24,P2 Wabeka,4,0,1,1,0,0,0,1,0,1,0,2,0,2,0,0,14,5,2
24,11,27,16,P1 Thijs,3,0,1,1,0,0,0,2,0,0,1,3,0,1,0,0,13,6,2
25,12,27,16,P2 Wabeka,0,0,1,1,0,0,0,2,0,1,1,3,0,2,0,1,19,5,2
26,13,27,12,P1 Thijs,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,20,7,2
27,14,19,9,P2 Wabeka,0,0,1,3,0,0,0,4,2,2,3,7,0,3,0,0,26,7,2
28,15,17,9,P1 Thijs,0,0,2,2,0,0,0,1,0,2,1,3,0,1,1,0,28,8,2
29,16,0,9,P2 Wabeka,0,0,1,1,0,0,0,5,0,1,0,6,0,3,0,7,27,1,2
30,1,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
31,2,30,30,P2 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
32,3,30,30,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,3
33,4,30,30,P2 Wabeka,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,3,2,3
34,5,30,27,P1 Thijs,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,3,2,0,3
35,6,27,27,P2 Wabeka,0,0,1,1,0,0,0,2,1,1,2,3,0,1,0,2,4,1,3
36,7,27,27,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,3
37,8,26,27,P2 Wabeka,0,0,1,1,0,0,0,1,0,0,0,2,0,2,0,0,8,4,3
38,9,26,27,P1 Thijs,0,0,2,1,0,0,0,0,0,0,1,1,0,1,0,4,3,1,3
39,10,22,27,P2 Wabeka,0,0,1,1,0,0,0,4,0,1,0,5,0,2,0,0,13,5,3
40,11,22,27,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,9,6,3
41,12,18,27,P2 Wabeka,0,0,1,2,0,0,0,6,1,2,2,8,0,2,0,0,19,6,3
42,13,18,27,P1 Thijs,0,0,1,1,0,0,0,0,0,1,5,1,0,1,0,0,16,7,3
43,14,13,30,P2 Wabeka,3,0,4,3,0,0,0,3,0,2,1,6,0,3,0,0,26,7,3
44,15,16,30,P1 Thijs,3,0,1,2,0,0,0,1,0,2,1,3,0,1,0,0,24,8,3
45,16,13,27,P2 Wabeka,0,0,1,2,0,0,0,4,1,1,2,6,0,4,0,3,31,5,3
46,17,13,26,P1 Thijs,0,0,1,1,0,0,0,1,1,0,8,2,0,2,0,1,32,8,3
47,18,13,26,P2 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,4,0,6,34,3,3
48,19,17,26,P1 Thijs,4,0,2,2,0,0,0,0,0,1,0,2,0,3,0,1,41,9,3
49,20,17,26,P2 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,4,0,8,36,2,3
50,21,17,26,P1 Thijs,0,0,5,2,0,0,0,2,0,1,1,4,0,4,0,0,51,10,3
51,22,17,26,P2 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,4,0,5,41,5,3
52,23,15,21,P1 Thijs,0,0,7,2,0,0,0,3,1,1,3,5,0,5,1,1,60,9,3
53,24,15,21,P2 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,4,0,9,42,1,3
54,25,18,11,P1 Thijs,3,0,1,2,0,0,0,3,0,1,1,5,0,6,1,1,69,9,3
55,26,18,11,P2 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,4,0,8,44,2,3
56,27,16,0,P1 Thijs,4,0,1,2,0,0,0,1,5,0,6,3,0,8,1,2,77,8,3
