,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 Orasha,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
3,4,30,30,P2 Orasha,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,2,2,0,1
4,5,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
5,6,30,30,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,1
6,7,30,30,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,4,4,1
7,8,30,30,P2 Orasha,0,0,6,2,0,0,0,0,0,1,0,2,0,2,0,0,6,4,1
8,9,30,25,P1 Krebs1996,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,8,4,1
9,10,30,25,P2 Orasha,0,0,1,1,0,0,0,0,1,1,3,1,0,2,0,2,9,3,1
10,11,30,25,P1 Krebs1996,0,0,1,2,0,0,0,0,0,2,0,2,0,0,0,0,14,6,1
11,12,30,25,P2 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,3,12,3,1
12,13,30,25,P1 Krebs1996,0,0,1,1,0,0,0,1,2,1,4,2,0,0,0,0,21,7,1
13,14,30,25,P2 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,0,19,7,1
14,15,25,22,P1 Krebs1996,0,0,2,2,0,0,0,1,1,1,1,3,0,1,1,0,29,8,1
15,16,25,20,P2 Orasha,0,0,2,1,0,0,0,1,0,1,1,2,0,2,1,0,27,8,1
16,17,28,20,P1 Krebs1996,3,0,1,2,0,0,0,0,1,1,4,2,0,2,1,2,36,7,1
17,18,22,20,P2 Orasha,0,0,1,2,0,0,0,1,0,2,0,3,0,2,1,0,36,9,1
18,19,25,20,P1 Krebs1996,3,0,1,2,0,0,0,1,0,2,1,3,0,2,1,0,46,10,1
19,20,20,21,P2 Orasha,1,0,1,1,0,0,0,4,1,1,2,5,0,2,1,5,41,5,1
20,21,15,6,P1 Krebs1996,0,0,2,1,0,0,0,3,0,0,4,4,0,3,2,4,52,6,1
21,22,0,15,P2 Orasha,0,0,1,1,0,0,0,3,0,1,0,5,0,2,1,1,50,9,1
22,1,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
23,2,30,30,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
24,3,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
25,4,30,30,P2 Orasha,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,3,2,2
26,5,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2
27,6,28,30,P2 Orasha,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,3,3,0,2
28,7,28,30,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,4,4,2
29,8,26,30,P2 Orasha,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,7,4,2
30,9,26,30,P1 Krebs1996,0,0,1,1,0,0,0,1,0,1,1,2,0,0,0,1,8,4,2
31,10,26,30,P2 Orasha,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,12,5,2
32,11,30,25,P1 Krebs1996,4,0,1,1,0,0,0,2,1,0,3,3,0,1,0,0,14,6,2
33,12,30,25,P2 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,17,5,2
34,13,30,29,P1 Krebs1996,0,0,1,1,0,0,0,1,0,1,1,2,0,1,0,4,17,3,2
35,14,30,29,P2 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,24,7,2
36,15,30,29,P1 Krebs1996,0,0,1,1,0,0,1,2,2,1,3,3,0,1,0,1,24,7,2
37,16,30,29,P2 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,2,30,6,2
38,17,30,29,P1 Krebs1996,0,0,1,2,0,1,0,1,0,2,1,3,0,1,0,1,32,8,2
39,18,22,29,P2 Orasha,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,39,9,2
40,19,20,20,P1 Krebs1996,0,0,2,2,0,0,0,3,1,2,2,5,0,1,1,1,41,9,2
41,20,20,20,P2 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,4,45,6,2
42,21,17,0,P1 Krebs1996,0,0,1,2,0,0,0,6,3,1,4,8,0,2,1,1,50,9,2
43,1,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
44,2,30,30,P2 Orasha,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,3
45,3,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
46,4,30,30,P2 Orasha,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,2,2,0,3
47,5,30,30,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,2,2,3
48,6,30,30,P2 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,5,3,3
49,7,30,30,P1 Krebs1996,0,0,1,1,0,0,0,1,1,1,1,2,0,0,0,0,6,4,3
50,8,28,30,P2 Orasha,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,4,5,0,3
51,9,30,30,P1 Krebs1996,2,0,1,2,0,0,0,1,0,2,1,3,0,0,0,0,11,5,3
52,10,30,30,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5,5,0,3
53,11,30,30,P1 Krebs1996,0,0,1,1,0,0,0,0,3,1,3,1,0,0,0,3,14,3,3
54,12,30,30,P2 Orasha,0,0,2,2,0,0,0,0,0,1,1,2,0,2,0,0,11,6,3
55,13,30,30,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,2,19,5,3
56,14,26,30,P2 Orasha,0,0,1,2,0,0,0,2,0,1,1,4,0,3,0,1,17,6,3
57,15,26,30,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,2,1,0,0,0,1,26,7,3
58,16,26,30,P2 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,1,24,7,3
59,17,26,30,P1 Krebs1996,0,0,1,2,0,0,0,1,1,2,2,3,0,0,0,0,35,9,3
60,18,26,30,P2 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,1,32,8,3
61,19,26,23,P1 Krebs1996,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,5,40,5,3
62,20,22,28,P2 Orasha,7,0,3,3,0,0,0,3,1,1,4,6,0,5,1,0,42,10,3
63,21,27,28,P1 Krebs1996,7,0,2,1,0,0,0,3,1,1,2,4,0,0,1,3,47,7,3
64,22,19,30,P2 Orasha,2,0,1,2,0,0,0,4,0,2,2,6,0,5,1,1,51,9,3
65,23,17,30,P1 Krebs1996,0,0,2,2,0,0,0,0,0,2,0,2,0,0,2,2,55,8,3
66,24,-1,27,P2 Orasha,0,0,1,2,0,0,0,6,4,0,6,8,0,7,1,4,57,6,3
67,1,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
68,2,30,30,P2 Orasha,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,4
69,3,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4
70,4,30,30,P2 Orasha,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,2,2,0,4
71,5,30,30,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,2,2,4
72,6,30,30,P2 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,4
73,7,30,30,P1 Krebs1996,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,6,4,4
74,8,30,30,P2 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,5,3,4
75,9,30,30,P1 Krebs1996,0,0,1,1,0,0,0,1,0,1,1,2,0,0,0,0,11,5,4
76,10,30,30,P2 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,10,5,4
77,11,30,26,P1 Krebs1996,2,0,2,1,0,0,0,2,1,1,2,3,0,0,1,0,17,6,4
78,12,30,26,P2 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,16,6,4
79,13,30,26,P1 Krebs1996,2,0,2,1,0,0,0,2,1,1,2,3,0,0,2,0,24,7,4
80,14,30,23,P2 Orasha,0,0,1,3,0,0,0,0,0,1,2,3,0,3,0,0,23,7,4
81,15,30,23,P1 Krebs1996,0,0,1,2,0,0,0,0,0,2,1,2,0,0,2,0,32,8,4
82,16,30,27,P2 Orasha,4,0,4,1,0,0,0,0,0,0,0,1,0,4,0,6,25,2,4
83,17,30,27,P1 Krebs1996,0,0,1,1,0,0,0,0,2,1,2,1,0,0,2,4,37,5,4
