,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,3,30,30,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1
3,4,30,30,P2 Stonekeep,0,0,1,2,0,0,0,0,0,0,1,2,0,2,0,0,3,2,1
4,5,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1
5,6,30,30,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,3,0,1
6,7,30,30,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,6,4,1
7,8,30,30,P2 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,0,7,4,1
8,9,30,26,P1 Krebs1996,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,11,5,1
9,10,30,26,P2 Stonekeep,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,0,12,5,1
10,11,30,22,P1 Krebs1996,0,0,1,1,0,0,0,2,0,0,2,3,0,1,0,0,17,6,1
11,12,30,25,P2 Stonekeep,3,0,1,1,0,0,0,0,0,0,1,1,0,3,0,0,18,6,1
12,13,30,21,P1 Krebs1996,0,0,1,2,0,0,0,1,0,2,0,3,0,1,0,0,24,7,1
13,14,30,21,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,7,18,0,1
14,15,30,21,P1 Krebs1996,0,0,1,1,0,0,1,0,3,1,3,1,0,1,0,0,32,8,1
15,16,30,21,P2 Stonekeep,0,0,1,2,0,0,0,0,0,2,1,2,0,3,0,1,25,7,1
16,17,30,21,P1 Krebs1996,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,3,38,6,1
17,18,26,21,P2 Stonekeep,0,0,1,1,0,0,0,1,0,1,1,2,0,3,0,3,31,6,1
18,19,26,21,P1 Krebs1996,0,0,1,2,0,0,0,0,0,2,0,2,0,1,0,0,48,10,1
19,20,22,21,P2 Stonekeep,0,0,1,2,0,0,0,1,2,1,8,3,0,4,0,0,41,10,1
20,21,20,21,P1 Krebs1996,0,0,2,2,0,0,0,0,0,2,0,2,0,1,1,2,56,8,1
21,22,20,21,P2 Stonekeep,0,0,1,2,0,0,0,0,1,1,3,2,0,5,0,0,51,10,1
22,23,20,21,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,10,56,0,1
23,24,20,19,P2 Stonekeep,0,0,2,1,0,0,0,0,1,1,1,1,0,5,1,3,58,7,1
24,25,18,19,P1 Krebs1996,0,0,2,2,0,0,0,0,0,2,0,2,0,1,2,1,65,9,1
25,26,14,19,P2 Stonekeep,0,0,1,2,0,0,0,3,1,2,3,5,0,5,1,0,68,10,1
26,27,16,16,P1 Krebs1996,7,0,2,2,0,0,0,0,0,1,1,2,0,2,3,1,74,9,1
27,28,0,16,P2 Stonekeep,0,0,1,2,0,0,0,4,1,1,2,6,0,6,1,1,77,9,1
28,1,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
29,2,30,30,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
30,3,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
31,4,30,30,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
32,5,30,30,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,3,2
33,6,30,30,P2 Stonekeep,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,3,3,2
34,7,30,30,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,2,5,2,2
35,8,30,30,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,3,0,2
36,9,30,30,P1 Krebs1996,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,10,5,2
37,10,30,30,P2 Stonekeep,0,0,1,2,0,0,0,0,0,0,1,2,0,3,0,0,9,5,2
38,11,30,30,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,15,5,2
39,12,30,30,P2 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,1,14,5,2
40,13,28,30,P1 Krebs1996,0,0,2,2,0,0,0,1,0,2,1,3,0,0,1,1,21,6,2
41,14,28,30,P2 Stonekeep,0,0,1,1,0,0,0,0,0,1,3,1,0,3,0,0,21,7,2
42,15,30,30,P1 Krebs1996,2,0,1,1,0,0,0,0,0,0,1,1,0,1,1,2,27,6,2
43,16,30,30,P2 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,2,27,6,2
44,17,30,30,P1 Krebs1996,0,0,1,2,0,0,0,0,0,2,0,2,0,1,1,1,35,8,2
45,18,30,28,P2 Stonekeep,0,0,3,3,0,0,0,1,0,1,2,4,0,5,1,1,35,8,2
46,19,30,28,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,10,35,0,2
47,20,30,26,P2 Stonekeep,0,0,2,2,0,0,0,0,2,2,2,2,0,5,2,0,45,10,2
48,21,30,26,P1 Krebs1996,2,0,2,2,0,0,0,0,0,2,0,2,0,1,2,0,45,10,2
49,22,30,12,P2 Stonekeep,0,0,1,1,0,0,0,2,0,1,2,4,0,5,2,1,54,9,2
50,23,30,12,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,2,1,0,1,2,3,52,7,2
51,24,27,12,P2 Stonekeep,0,0,1,1,0,0,0,0,0,0,1,2,0,6,3,0,64,10,2
52,25,28,12,P1 Krebs1996,3,0,2,1,0,0,0,1,0,1,0,2,0,1,3,3,59,7,2
53,26,24,9,P2 Stonekeep,0,0,1,1,0,0,1,1,0,1,1,3,0,6,4,1,73,9,2
54,27,21,6,P1 Krebs1996,0,0,1,3,0,0,0,0,0,2,1,3,0,2,3,0,69,10,2
55,28,4,6,P2 Stonekeep,0,0,1,1,0,1,0,2,1,0,3,4,0,7,5,4,79,6,2
56,29,2,6,P1 Krebs1996,0,0,2,2,0,0,0,0,0,2,0,2,0,2,4,2,77,8,2
57,30,-1,3,P2 Stonekeep,0,0,1,1,0,0,0,0,1,0,3,1,0,8,5,6,83,4,2
58,1,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
59,2,30,30,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
60,3,30,30,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,3
61,4,30,30,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
62,5,30,27,P1 Krebs1996,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,5,3,3
63,6,27,24,P2 Stonekeep,0,0,1,2,0,0,0,0,0,0,2,2,0,2,0,0,4,3,3
64,7,27,24,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,2,7,2,3
65,8,27,24,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,4,4,0,3
66,9,27,24,P1 Krebs1996,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,12,5,3
67,10,27,24,P2 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,0,9,5,3
68,11,27,20,P1 Krebs1996,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,18,6,3
69,12,23,23,P2 Stonekeep,3,0,1,1,0,0,0,1,0,0,1,2,0,3,0,0,15,6,3
70,13,20,20,P1 Krebs1996,0,0,1,2,0,0,0,1,1,1,2,3,0,1,0,0,25,7,3
71,14,20,20,P2 Stonekeep,0,0,1,2,0,0,0,0,0,1,1,2,0,4,0,0,22,7,3
72,15,20,20,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,3,30,5,3
73,16,16,23,P2 Stonekeep,3,0,1,2,0,0,0,1,0,1,1,3,0,5,0,0,30,8,3
74,17,16,23,P1 Krebs1996,0,0,1,2,0,0,0,0,0,2,1,2,0,1,0,1,38,8,3
75,18,12,23,P2 Stonekeep,0,0,1,1,0,0,0,1,0,1,2,2,0,5,0,3,36,6,3
76,19,13,23,P1 Krebs1996,3,0,2,2,0,0,0,1,0,2,0,3,0,1,1,1,47,9,3
77,20,13,21,P2 Stonekeep,0,0,2,1,0,0,0,1,1,1,3,2,0,5,1,1,45,9,3
78,21,13,21,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,2,1,0,1,1,3,54,7,3
79,22,13,21,P2 Stonekeep,0,0,1,2,0,0,0,0,0,1,1,2,0,6,1,2,53,8,3
80,23,11,21,P1 Krebs1996,0,0,2,2,0,0,0,0,0,2,0,2,0,1,2,0,64,10,3
81,24,11,21,P2 Stonekeep,0,0,1,2,0,0,0,1,0,2,0,3,0,6,1,0,63,10,3
82,25,11,9,P1 Krebs1996,0,0,1,2,0,0,0,2,0,2,0,4,0,1,2,2,72,8,3
83,26,9,9,P2 Stonekeep,0,0,1,2,0,0,0,5,1,2,5,7,0,6,1,0,73,10,3
84,27,8,6,P1 Krebs1996,4,0,2,1,0,0,0,0,0,0,4,1,0,2,3,4,78,6,3
85,28,0,6,P2 Stonekeep,0,0,1,0,0,0,0,2,0,0,0,2,0,6,1,10,73,0,3
86,1,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
87,2,30,30,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
88,3,30,30,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,4
89,4,30,30,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4
90,5,30,27,P1 Krebs1996,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,4,2,4
91,6,30,27,P2 Stonekeep,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,4,3,4
92,7,30,27,P1 Krebs1996,0,0,1,1,0,0,0,2,2,1,3,3,0,0,0,0,8,4,4
93,8,30,30,P2 Stonekeep,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0,4
94,9,30,28,P1 Krebs1996,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,13,5,4
95,10,30,28,P2 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,9,5,4
96,11,30,22,P1 Krebs1996,0,0,1,1,0,0,0,2,0,0,1,3,0,1,0,0,19,6,4
97,12,30,25,P2 Stonekeep,3,0,1,1,0,0,0,0,0,0,1,1,0,2,0,0,15,6,4
98,13,30,23,P1 Krebs1996,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,2,24,5,4
99,14,30,21,P2 Stonekeep,0,0,3,2,0,0,0,0,0,0,1,2,0,4,1,1,21,6,4
100,15,30,19,P1 Krebs1996,0,0,1,2,0,0,0,1,0,2,0,3,0,1,0,0,32,8,4
101,16,30,19,P2 Stonekeep,0,0,1,1,0,0,0,0,0,0,3,1,0,5,1,0,29,8,4
102,17,30,19,P1 Krebs1996,0,0,1,2,0,0,0,0,0,2,0,2,0,1,0,2,39,7,4
