,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,3,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
3,4,30,30,P2 Thijs,0,0,4,3,0,0,0,0,0,1,0,3,0,2,0,0,3,2,1
4,5,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
5,6,30,30,P2 Thijs,0,0,1,0,0,0,0,0,1,0,1,0,0,2,0,3,3,0,1
6,7,30,30,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,3,3,1
7,8,30,30,P2 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,4,3,0,1
8,9,30,24,P1 Krebs1996,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,7,4,1
9,10,30,27,P2 Thijs,3,0,1,1,0,0,0,1,0,1,1,2,0,2,0,0,8,5,1
10,11,30,30,P1 Krebs1996,0,0,1,1,0,0,0,1,1,1,2,2,0,0,0,2,11,4,1
11,12,30,30,P2 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,0,14,6,1
12,13,27,27,P1 Krebs1996,0,0,1,2,0,0,0,1,0,1,1,3,0,1,0,0,18,7,1
13,14,27,27,P2 Thijs,0,0,1,1,0,0,0,0,0,1,2,1,0,2,0,0,21,7,1
14,15,25,27,P1 Krebs1996,0,0,2,1,0,0,0,0,0,1,0,1,0,1,1,1,25,7,1
15,16,29,27,P2 Thijs,0,0,1,2,0,0,0,1,1,1,2,3,0,3,0,0,29,8,1
16,17,29,27,P1 Krebs1996,0,0,1,3,0,0,0,0,0,3,0,3,0,1,1,2,32,7,1
17,18,22,27,P2 Thijs,0,0,3,3,0,0,0,1,0,3,0,5,0,3,0,-4,42,13,1
18,19,20,25,P1 Krebs1996,0,0,1,2,0,0,0,0,3,2,7,2,0,1,1,0,42,10,1
19,20,20,23,P2 Thijs,0,0,2,3,0,0,0,0,0,3,0,3,0,3,1,0,52,10,1
20,21,21,21,P1 Krebs1996,3,0,1,2,0,0,0,1,7,2,10,3,0,1,1,0,52,10,1
21,22,16,21,P2 Thijs,0,0,1,4,0,0,0,1,0,4,1,6,0,3,1,0,62,10,1
22,23,14,21,P1 Krebs1996,0,0,2,4,0,0,0,0,0,2,1,4,0,3,2,0,62,10,1
23,24,6,17,P2 Thijs,0,0,1,3,0,0,1,3,1,3,3,7,0,3,1,1,71,9,1
