,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 Slage,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
3,4,30,30,P2 Slage,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0,4,2,1
4,5,30,30,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,3,1
5,6,30,30,P2 Slage,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,3,4,0,1
6,7,30,30,P1 Orasha,0,0,1,1,0,0,0,1,0,1,1,2,0,0,0,1,6,3,1
7,8,30,30,P2 Slage,0,0,5,2,0,0,0,0,0,1,0,2,0,2,0,0,8,4,1
8,9,30,26,P1 Orasha,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,5,6,0,1
9,10,30,26,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,3,10,2,1
10,11,30,26,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,2,10,4,1
11,12,30,29,P2 Slage,3,0,1,1,0,0,0,1,0,0,2,2,0,3,0,0,16,6,1
12,13,30,29,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,17,7,1
13,14,30,30,P2 Slage,1,0,3,3,0,0,0,0,0,1,0,3,0,5,0,0,23,7,1
14,15,30,27,P1 Orasha,0,0,1,1,0,0,0,2,0,1,1,3,0,0,0,0,25,8,1
15,16,28,25,P2 Slage,0,0,2,1,0,0,0,2,1,1,2,3,0,5,1,2,29,6,1
16,17,28,25,P1 Orasha,0,0,1,1,0,0,0,2,0,1,2,3,0,0,0,0,34,9,1
17,18,25,20,P2 Slage,0,0,2,1,0,0,0,0,0,0,5,1,0,6,2,3,35,6,1
18,19,25,4,P1 Orasha,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,0,44,10,1
19,20,25,7,P2 Slage,3,0,1,2,0,0,0,0,0,1,1,2,0,7,2,0,45,10,1
20,21,25,-1,P1 Orasha,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,10,44,0,1
21,1,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
22,2,30,30,P2 Slage,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,2
23,3,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
24,4,27,30,P2 Slage,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,2,2,0,2
25,5,27,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2
26,6,24,30,P2 Slage,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,3,2,0,2
27,7,24,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2
28,8,21,30,P2 Slage,0,0,6,2,0,0,0,1,0,1,0,3,0,2,0,0,6,4,2
29,9,21,30,P1 Orasha,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,1,4,4,2
30,10,21,30,P2 Slage,0,0,2,3,0,0,0,2,1,2,2,5,0,3,0,0,11,5,2
31,11,21,30,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,9,5,2
32,12,25,30,P2 Slage,0,0,1,2,0,0,0,0,3,2,4,2,0,3,0,0,17,6,2
33,13,27,30,P1 Orasha,4,0,3,1,0,0,0,0,0,0,0,1,0,2,1,2,14,5,2
34,14,24,29,P2 Slage,4,0,2,1,0,0,0,0,2,0,2,1,0,4,1,1,23,6,2
35,15,24,29,P1 Orasha,0,0,1,2,0,0,0,0,0,2,0,2,0,2,1,2,20,6,2
36,16,24,30,P2 Slage,1,0,1,2,0,0,0,0,0,1,1,2,0,5,1,0,31,8,2
37,17,24,30,P1 Orasha,0,0,1,2,0,0,0,1,1,2,2,3,0,2,1,0,29,9,2
38,18,24,30,P2 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,9,31,0,2
39,19,24,30,P1 Orasha,0,0,1,1,0,0,0,0,2,1,2,1,0,2,1,2,37,8,2
40,20,24,30,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,5,1,6,35,4,2
41,21,22,23,P1 Orasha,0,0,2,3,0,0,0,3,0,2,1,6,0,3,2,0,47,10,2
