,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 Thijs,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
3,4,30,30,P2 Thijs,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,2,2,0,1
4,5,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
5,6,30,30,P2 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,1
6,7,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1
7,8,30,30,P2 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,5,3,1
8,9,30,30,P1 Orasha,0,0,1,1,0,0,0,1,0,1,1,2,0,0,0,0,5,5,1
9,10,30,30,P2 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,10,5,1
10,11,28,30,P1 Orasha,0,0,2,2,0,0,0,0,0,1,0,2,0,1,1,0,11,6,1
11,12,30,30,P2 Thijs,0,0,1,1,0,0,0,1,0,0,2,2,0,2,0,0,16,6,1
12,13,30,30,P1 Orasha,0,0,1,2,0,0,0,0,0,1,1,2,0,2,1,0,18,7,1
13,14,30,30,P2 Thijs,0,0,4,2,0,0,0,0,0,0,1,2,0,4,0,0,23,7,1
14,15,30,30,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,2,1,1,25,7,1
15,16,30,30,P2 Thijs,0,0,1,1,0,0,0,0,0,0,1,1,0,5,0,0,31,8,1
16,17,30,30,P1 Orasha,0,0,1,2,0,0,0,0,0,2,0,2,0,2,1,0,34,9,1
17,18,30,30,P2 Thijs,0,0,6,2,0,0,0,0,0,1,0,2,0,6,0,1,39,8,1
18,19,30,28,P1 Orasha,0,0,4,3,0,0,0,4,0,3,2,7,0,2,1,0,44,10,1
19,20,30,26,P2 Thijs,0,0,2,1,0,0,0,0,0,0,5,1,0,7,1,0,49,10,1
20,21,30,26,P1 Orasha,0,0,1,2,0,0,0,0,0,2,0,2,0,2,1,0,54,10,1
21,22,30,30,P2 Thijs,4,0,2,4,0,0,0,0,0,2,1,4,0,9,1,2,57,8,1
22,23,30,22,P1 Orasha,0,0,1,1,0,0,0,2,0,1,0,3,0,2,1,3,61,7,1
