,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 Slage,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
3,4,30,30,P2 Slage,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,2,2,0,1
4,5,30,30,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,3,1
5,6,30,30,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,5,3,1
6,7,30,29,P1 Thijs,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,4,3,0,1
7,8,30,29,P2 Slage,0,0,1,1,0,0,0,1,1,1,2,2,0,1,0,0,9,4,1
8,9,30,29,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,8,5,1
9,10,30,29,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,13,4,1
10,11,30,26,P1 Thijs,3,0,1,1,0,0,0,1,1,0,2,2,0,1,0,2,12,4,1
11,12,26,30,P2 Slage,4,0,4,3,0,0,0,1,0,2,0,4,0,2,0,0,19,6,1
12,13,24,30,P1 Thijs,0,0,2,1,0,0,0,0,0,1,0,1,0,1,1,0,19,7,1
13,14,24,30,P2 Slage,0,0,1,1,0,0,0,2,2,0,3,3,0,3,0,3,23,4,1
14,15,24,30,P1 Thijs,0,0,1,2,0,0,0,0,0,1,1,2,0,2,1,2,25,6,1
15,16,24,30,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,1,30,7,1
16,17,27,29,P1 Thijs,3,0,1,1,0,0,0,1,0,0,1,2,0,3,1,3,31,6,1
17,18,27,29,P2 Slage,0,0,1,2,0,0,0,0,0,2,0,2,0,3,0,1,38,8,1
18,19,25,28,P1 Thijs,0,0,2,3,0,0,0,1,1,2,3,4,0,4,2,0,41,10,1
19,20,25,28,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,6,42,4,1
20,21,25,28,P1 Thijs,0,0,1,1,0,0,0,0,2,1,3,1,0,4,2,2,49,8,1
21,22,25,28,P2 Slage,0,0,1,2,0,0,0,1,0,2,1,3,0,3,0,6,46,4,1
22,23,25,22,P1 Thijs,0,0,5,3,0,0,0,4,2,1,5,7,0,6,2,0,59,10,1
23,24,25,20,P2 Slage,0,0,2,1,0,0,1,0,0,1,0,1,0,3,1,1,55,9,1
24,25,23,1,P1 Thijs,0,0,1,0,0,0,0,2,0,0,0,2,0,6,2,10,59,0,1
25,26,21,-1,P2 Slage,0,0,1,0,0,1,0,0,0,0,0,0,0,3,1,10,55,0,1
26,1,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
27,2,30,30,P2 Slage,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,2
28,3,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
29,4,30,30,P2 Slage,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,2,2,0,2
30,5,30,30,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,2,2,2
31,6,30,30,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,5,3,2
32,7,30,27,P1 Thijs,0,0,2,2,0,0,0,1,0,1,1,3,0,1,0,0,6,4,2
33,8,27,24,P2 Slage,0,0,1,1,0,0,0,0,0,0,2,1,0,2,0,0,9,4,2
34,9,27,24,P1 Thijs,0,0,1,2,0,0,0,0,0,2,0,2,0,1,0,1,10,4,2
35,10,27,28,P2 Slage,4,0,6,1,0,0,0,0,0,0,0,1,0,3,0,3,11,2,2
36,11,30,28,P1 Thijs,3,0,11,3,0,0,0,0,2,0,2,3,0,4,0,0,16,6,2
37,12,30,26,P2 Slage,0,0,2,2,0,0,0,0,0,2,0,2,0,3,1,0,17,6,2
38,13,30,26,P1 Thijs,0,0,1,2,0,0,0,0,0,1,0,2,0,5,0,0,23,7,2
39,14,30,26,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,3,1,0,24,7,2
40,15,30,26,P1 Thijs,0,0,1,1,0,0,0,0,1,0,4,1,0,6,0,0,31,8,2
41,16,30,26,P2 Slage,0,0,1,2,0,0,0,0,0,2,1,2,0,3,1,2,30,6,2
42,17,30,26,P1 Thijs,0,0,1,1,0,0,0,0,0,1,2,1,0,6,0,2,38,7,2
43,18,30,26,P2 Slage,0,0,1,1,0,0,0,1,0,1,1,2,0,3,1,1,38,8,2
44,19,30,23,P1 Thijs,3,0,1,2,0,0,0,1,0,1,1,3,0,7,0,1,47,9,2
45,20,30,23,P2 Slage,0,0,1,2,0,0,0,0,0,2,0,2,0,3,1,2,46,8,2
46,21,30,20,P1 Thijs,0,0,1,1,0,0,0,1,0,1,0,2,0,7,0,2,55,8,2
47,22,24,18,P2 Slage,0,0,2,5,0,0,0,2,1,4,5,8,0,4,2,0,56,10,2
48,23,24,18,P1 Thijs,0,0,1,2,0,0,0,0,0,1,6,2,0,8,0,0,65,10,2
49,24,15,18,P2 Slage,0,0,1,2,0,0,0,2,0,1,1,4,0,5,2,2,64,8,2
50,25,15,18,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,8,0,5,70,5,2
51,26,19,16,P2 Slage,0,0,2,2,0,0,0,1,1,2,2,3,0,5,3,0,74,10,2
52,27,19,16,P1 Thijs,0,0,1,4,0,0,0,0,0,1,1,4,0,11,0,0,80,10,2
53,28,18,16,P2 Slage,0,0,1,6,0,0,0,3,2,6,3,9,0,5,3,0,84,10,2
54,29,18,16,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,11,0,3,87,7,2
55,30,14,16,P2 Slage,0,0,1,3,0,0,0,6,2,3,3,9,0,5,3,0,94,10,2
56,31,14,10,P1 Thijs,0,0,1,3,0,0,0,1,0,1,0,4,0,13,0,0,97,10,2
57,32,0,10,P2 Slage,0,0,1,0,0,0,0,5,0,0,0,5,0,5,3,10,94,0,2
58,1,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
59,2,30,30,P2 Slage,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,3
60,3,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
61,4,30,30,P2 Slage,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,2,2,0,3
62,5,30,30,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,3,3
63,6,30,30,P2 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,3
64,7,30,29,P1 Thijs,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,4,3,0,3
65,8,30,29,P2 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,6,4,3
66,9,30,29,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,8,5,3
67,10,28,29,P2 Slage,0,0,2,2,0,0,0,1,0,1,1,3,0,2,0,0,11,5,3
68,11,30,29,P1 Thijs,2,0,1,1,0,0,0,1,0,0,2,2,0,1,0,0,14,6,3
69,12,30,27,P2 Slage,0,0,2,1,0,0,0,0,0,1,0,1,0,2,1,0,17,6,3
70,13,30,27,P1 Thijs,0,0,1,1,0,0,0,2,1,1,2,3,0,1,0,2,19,5,3
71,14,27,24,P2 Slage,0,0,1,2,0,0,0,0,0,1,1,2,0,3,1,0,24,7,3
72,15,25,21,P1 Thijs,3,0,2,2,0,0,0,0,0,1,1,2,0,2,1,0,27,8,3
73,16,25,24,P2 Slage,3,0,1,1,0,0,0,0,0,0,1,1,0,4,1,2,30,6,3
74,17,29,24,P1 Thijs,4,0,3,2,0,0,0,0,0,1,0,2,0,3,1,0,36,9,3
75,18,29,24,P2 Slage,0,0,1,2,0,0,0,0,0,2,0,2,0,4,1,0,39,9,3
76,19,26,21,P1 Thijs,0,0,2,3,0,0,0,1,1,1,2,4,0,5,1,0,46,10,3
77,20,26,21,P2 Slage,0,0,1,1,0,0,0,1,1,1,1,2,0,4,1,3,46,7,3
78,21,22,21,P1 Thijs,4,0,1,1,0,0,0,1,2,1,9,2,0,5,1,3,53,7,3
79,22,22,19,P2 Slage,0,0,2,2,0,0,0,0,0,2,0,2,0,4,2,2,54,8,3
80,23,22,15,P1 Thijs,0,0,1,2,0,0,0,1,1,1,5,3,0,6,1,0,63,10,3
81,24,22,12,P2 Slage,0,0,1,2,0,0,0,0,0,2,1,3,0,4,3,1,63,4,3
82,25,25,12,P1 Thijs,3,0,1,1,0,0,0,0,0,0,1,1,0,7,1,0,69,6,3
83,26,16,12,P2 Slage,0,0,1,1,0,0,0,1,0,1,0,8,0,4,3,0,69,6,3
