,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,3,30,30,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1
3,4,30,30,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
4,5,30,30,P1 Thijs,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,5,3,1
5,6,30,30,P2 Stonekeep,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,3,3,1
6,7,30,30,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,2,7,2,1
7,8,30,30,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,3,0,1
8,9,30,30,P1 Thijs,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,5,7,0,1
9,10,30,30,P2 Stonekeep,0,0,1,3,0,0,1,0,0,2,0,3,0,2,0,0,9,5,1
10,11,30,30,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,13,6,1
11,12,30,30,P2 Stonekeep,0,0,1,1,0,1,0,0,2,0,3,1,0,3,0,3,12,3,1
12,13,30,30,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,5,15,2,1
13,14,27,29,P2 Stonekeep,4,0,2,1,0,0,0,0,0,0,2,1,0,4,1,1,18,6,1
14,15,30,29,P1 Thijs,3,0,5,2,0,0,0,0,0,1,0,2,0,1,0,3,20,5,1
15,16,30,30,P2 Stonekeep,1,0,3,2,0,0,0,0,0,1,0,2,0,5,1,0,26,8,1
16,17,30,29,P1 Thijs,0,0,1,2,0,0,0,1,0,0,1,3,0,3,0,5,24,4,1
17,18,30,27,P2 Stonekeep,0,0,2,1,0,0,0,0,0,1,1,1,0,5,2,1,34,8,1
18,19,30,27,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,3,31,7,1
19,20,28,27,P2 Stonekeep,0,0,1,2,0,0,0,1,0,2,1,3,0,5,2,0,44,10,1
20,21,28,27,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,0,41,10,1
21,22,16,27,P2 Stonekeep,0,0,1,1,0,0,0,5,1,1,2,6,0,5,2,5,49,5,1
22,23,14,27,P1 Thijs,0,0,2,1,0,0,0,0,0,1,0,1,0,3,1,0,51,10,1
23,24,-2,25,P2 Stonekeep,0,0,2,2,0,0,0,4,1,1,8,6,0,6,3,0,59,10,1
24,1,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
25,2,30,30,P2 Stonekeep,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,2
26,3,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
27,4,30,30,P2 Stonekeep,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,2,2,0,2
28,5,30,30,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,2,2,2
29,6,30,30,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,2
30,7,30,27,P1 Thijs,0,0,6,2,0,0,0,1,0,1,0,3,0,1,0,0,6,4,2
31,8,30,27,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,2,0,2
32,9,30,27,P1 Thijs,0,0,1,1,0,0,0,0,2,1,2,1,0,1,0,2,9,3,2
33,10,30,27,P2 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,6,4,2
34,11,30,26,P1 Thijs,0,0,1,1,0,0,0,1,0,0,1,2,0,2,0,0,15,6,2
35,12,30,29,P2 Stonekeep,3,0,1,1,0,0,0,0,0,0,1,1,0,2,0,0,12,6,2
36,13,30,29,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,7,15,0,2
37,14,30,29,P2 Stonekeep,0,0,1,1,0,0,1,0,0,1,0,1,0,2,0,0,19,7,2
38,15,30,29,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,0,23,8,2
39,16,30,29,P2 Stonekeep,0,0,1,1,0,1,1,1,1,1,2,2,0,2,0,1,26,7,2
40,17,30,29,P1 Thijs,0,0,1,1,0,0,0,0,0,0,1,1,0,3,0,1,31,8,2
41,18,30,29,P2 Stonekeep,0,0,1,1,0,1,0,0,0,1,0,1,0,2,0,4,31,5,2
42,19,30,29,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,0,41,10,2
43,20,26,29,P2 Stonekeep,0,0,1,2,0,0,0,1,0,2,1,3,0,2,0,0,41,10,2
44,21,23,29,P1 Thijs,0,0,2,1,0,0,0,0,0,0,5,1,0,4,0,2,49,8,2
45,22,23,29,P2 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,4,47,6,2
46,23,0,29,P1 Thijs,0,0,16,4,0,0,0,0,1,2,2,4,0,6,1,0,59,10,2
47,24,0,29,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,10,47,0,2
48,1,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
49,2,30,30,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
50,3,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
51,4,30,30,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
52,5,30,30,P1 Thijs,0,0,4,2,0,0,0,0,0,1,0,2,0,1,0,0,3,3,3
53,6,30,30,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
54,7,30,30,P1 Thijs,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,4,3,0,3
55,8,30,30,P2 Stonekeep,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,4,4,3
56,9,30,30,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,8,5,3
57,10,22,30,P2 Stonekeep,0,0,1,2,0,1,0,1,0,0,1,3,0,2,0,0,10,5,3
58,11,25,30,P1 Thijs,3,0,1,1,0,0,0,1,0,1,0,2,0,1,0,1,13,5,3
59,12,17,30,P2 Stonekeep,0,0,1,1,0,0,0,1,0,0,1,2,0,3,0,0,16,6,3
60,13,17,30,P1 Thijs,0,0,6,3,0,0,0,0,0,2,0,3,0,2,0,0,20,7,3
61,14,9,30,P2 Stonekeep,0,0,1,1,0,0,0,1,1,1,3,2,0,3,0,0,23,7,3
62,15,9,30,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,0,28,8,3
63,16,5,30,P2 Stonekeep,0,0,1,2,0,0,0,1,0,2,1,3,0,3,0,0,31,8,3
64,17,3,25,P1 Thijs,0,0,2,1,0,0,0,1,0,1,0,2,0,2,1,1,36,8,3
65,18,3,25,P2 Stonekeep,0,0,1,1,0,0,0,0,3,0,7,1,0,4,0,1,39,8,3
66,19,5,25,P1 Thijs,4,0,2,2,0,0,0,0,0,2,0,2,0,2,2,1,45,9,3
67,20,5,25,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,10,39,0,3
