,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,28,P2 NNKrebs1996,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,1
2,3,30,28,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
3,4,30,26,P2 NNKrebs1996,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,1
4,5,30,26,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
5,6,30,24,P2 NNKrebs1996,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,1,6,2,1
6,7,28,24,P1 Krebs1996,0,0,2,1,0,0,0,0,0,1,0,1,0,0,1,0,4,4,1
7,8,28,24,P2 NNKrebs1996,0,0,1,1,0,0,1,0,0,1,0,1,0,1,3,1,9,3,1
8,9,28,21,P1 Krebs1996,0,0,1,1,0,0,0,1,0,1,0,2,0,0,1,0,9,5,1
9,10,30,21,P2 NNKrebs1996,0,0,1,1,0,1,0,1,0,1,1,2,0,1,3,1,13,4,1
10,11,30,21,P1 Krebs1996,0,0,1,1,0,0,0,1,1,1,1,2,0,0,1,0,15,6,1
11,12,30,21,P2 NNKrebs1996,0,0,1,2,0,0,0,0,0,2,0,2,0,1,3,0,19,6,1
12,13,30,21,P1 Krebs1996,0,0,1,2,0,0,0,0,1,1,4,2,0,1,1,0,22,7,1
13,14,30,19,P2 NNKrebs1996,0,0,2,2,0,0,0,0,0,2,0,2,0,1,4,0,26,7,1
14,15,30,19,P1 Krebs1996,0,0,1,2,0,0,0,0,0,2,0,2,0,1,1,0,30,8,1
15,16,30,17,P2 NNKrebs1996,0,0,2,1,0,0,0,2,0,1,1,3,0,1,5,1,33,7,1
16,17,27,18,P1 Krebs1996,0,0,1,2,0,0,0,2,2,1,6,4,0,2,1,0,39,9,1
17,18,27,18,P2 NNKrebs1996,0,0,1,3,0,0,0,0,0,3,0,3,0,1,5,1,41,8,1
18,19,27,18,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,10,39,0,1
19,20,30,16,P2 NNKrebs1996,0,0,2,2,0,0,0,0,3,2,4,2,0,1,6,0,51,10,1
20,21,30,16,P1 Krebs1996,0,0,1,2,0,0,0,0,0,2,0,2,0,2,1,2,47,8,1
21,22,25,16,P2 NNKrebs1996,0,0,1,2,0,0,0,4,1,1,4,6,0,2,6,1,60,9,1
22,23,25,11,P1 Krebs1996,0,0,1,1,0,0,0,1,1,1,5,2,0,2,1,3,54,7,1
23,24,21,13,P2 NNKrebs1996,4,0,2,1,0,0,1,2,1,1,2,3,0,2,7,1,69,9,1
24,25,24,13,P1 Krebs1996,3,0,1,2,0,0,0,0,0,1,1,2,0,3,1,0,64,10,1
25,26,17,12,P2 NNKrebs1996,4,0,2,2,0,1,0,1,1,1,2,3,0,3,8,0,79,10,1
26,27,14,9,P1 Krebs1996,0,0,1,2,0,0,0,0,0,1,1,2,0,4,1,4,70,6,1
27,28,11,4,P2 NNKrebs1996,0,0,2,1,0,0,0,0,0,0,0,1,0,4,9,4,85,6,1
28,29,11,4,P1 Krebs1996,0,0,1,1,0,0,0,0,1,1,1,1,0,4,1,6,74,4,1
29,30,11,2,P2 NNKrebs1996,0,0,2,3,0,0,0,0,0,3,0,3,0,4,10,0,95,10,1
30,31,12,2,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,1,2,0,4,1,1,83,9,1
31,32,12,2,P2 NNKrebs1996,0,0,1,2,0,0,0,2,0,2,1,4,0,4,10,3,102,7,1
32,33,12,2,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,4,2,6,87,4,1
33,34,0,4,P2 NNKrebs1996,3,0,0,1,0,0,0,3,0,0,1,4,0,5,10,4,108,6,1
34,1,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
35,2,30,30,P2 NNKrebs1996,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,2
36,3,30,30,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,2
37,4,30,28,P2 NNKrebs1996,0,0,2,0,0,0,0,1,1,0,2,1,0,1,1,0,4,2,2
38,5,30,28,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,5,3,2
39,6,30,26,P2 NNKrebs1996,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,1,6,2,2
40,7,28,21,P1 Krebs1996,0,0,2,1,0,0,0,1,0,1,0,2,0,0,1,0,9,4,2
41,8,28,19,P2 NNKrebs1996,0,0,2,1,0,0,0,0,0,1,0,1,0,1,3,0,10,4,2
42,9,28,19,P1 Krebs1996,0,0,1,1,0,0,0,0,2,1,3,1,0,0,1,0,14,5,2
43,10,28,17,P2 NNKrebs1996,0,0,2,1,0,0,1,0,0,1,0,1,0,1,4,0,15,5,2
44,11,28,13,P1 Krebs1996,0,0,1,1,0,0,0,1,0,1,0,2,0,0,1,1,19,5,2
45,12,30,13,P2 NNKrebs1996,0,0,1,2,0,1,1,1,0,2,1,3,0,1,4,1,20,5,2
46,13,30,13,P1 Krebs1996,0,0,1,1,0,0,0,1,1,0,3,2,0,1,1,1,25,6,2
47,14,28,13,P2 NNKrebs1996,0,0,1,2,0,1,0,1,0,2,0,3,0,1,4,1,26,6,2
48,15,25,10,P1 Krebs1996,0,0,1,2,0,0,0,0,0,1,2,2,0,2,1,1,32,7,2
49,16,25,12,P2 NNKrebs1996,4,0,2,1,0,0,0,1,0,1,1,2,0,1,5,1,33,7,2
50,17,22,9,P1 Krebs1996,0,0,1,2,0,0,0,0,0,1,1,2,0,3,1,3,38,6,2
51,18,22,12,P2 NNKrebs1996,3,0,1,2,0,0,0,2,0,2,1,4,0,1,5,0,42,9,2
