,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,28,P2 NNOrasha,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,1
2,3,30,28,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
3,4,30,30,P2 NNOrasha,2,0,6,1,0,0,0,0,0,0,0,1,0,2,1,0,4,2,1
4,5,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
5,6,30,30,P2 NNOrasha,0,0,1,1,0,0,0,0,0,0,0,1,0,3,1,2,5,1,1
6,7,30,30,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,4,4,1
7,8,30,30,P2 NNOrasha,0,0,1,1,0,0,0,0,0,1,0,1,0,3,1,1,8,3,1
8,9,30,30,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,3,6,2,1
9,10,30,30,P2 NNOrasha,0,0,1,1,0,0,0,1,0,0,0,2,0,4,1,3,10,2,1
10,11,30,30,P1 Krebs1996,0,0,1,1,0,0,0,0,2,1,3,1,0,0,0,0,12,6,1
11,12,30,30,P2 NNOrasha,0,0,1,1,0,0,0,0,0,1,1,1,0,4,1,0,16,6,1
12,13,30,30,P1 Krebs1996,0,0,1,2,0,0,0,0,0,2,0,2,0,0,0,0,19,7,1
13,14,30,30,P2 NNOrasha,0,0,1,1,0,0,0,1,0,1,0,2,0,4,1,0,23,7,1
14,15,30,30,P1 Krebs1996,0,0,1,1,0,0,0,1,2,1,4,2,0,0,0,1,26,7,1
15,16,30,30,P2 NNOrasha,0,0,1,1,0,0,0,0,0,1,0,1,0,4,1,3,28,5,1
16,17,30,26,P1 Krebs1996,0,0,1,2,0,0,0,2,0,2,1,4,0,0,0,2,33,7,1
17,18,30,26,P2 NNOrasha,0,0,1,1,0,0,0,0,0,1,0,1,0,4,1,3,34,6,1
18,19,30,26,P1 Krebs1996,0,0,1,2,0,0,0,0,3,2,4,2,0,0,0,1,42,9,1
19,20,22,26,P2 NNOrasha,0,0,1,1,0,0,0,1,0,1,0,2,0,4,1,1,43,9,1
20,21,20,18,P1 Krebs1996,0,0,2,2,0,0,0,4,2,2,3,6,0,0,1,3,49,7,1
21,22,20,18,P2 NNOrasha,0,0,1,1,0,0,0,0,0,1,0,1,0,4,1,0,53,10,1
22,23,21,3,P1 Krebs1996,3,0,2,1,0,0,0,4,0,0,1,5,0,1,2,2,57,8,1
23,24,21,1,P2 NNOrasha,0,0,2,1,0,0,0,0,0,1,0,1,0,4,2,1,62,9,1
24,25,21,-4,P1 Krebs1996,0,0,1,0,0,0,0,1,0,0,0,1,0,1,2,10,57,0,1
25,1,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
26,2,30,28,P2 NNOrasha,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,2
27,3,30,28,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,2
28,4,30,28,P2 NNOrasha,0,0,7,1,0,0,0,0,0,0,0,1,0,2,1,0,4,2,2
29,5,30,28,P1 Krebs1996,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,5,3,2
30,6,30,28,P2 NNOrasha,0,0,1,1,0,0,0,0,0,1,0,1,0,2,1,0,7,3,2
31,7,30,28,P1 Krebs1996,0,0,1,1,0,0,0,1,1,1,1,2,0,0,0,0,9,4,2
32,8,27,25,P2 NNOrasha,0,0,1,1,0,0,0,1,1,0,2,2,0,3,1,0,11,4,2
33,9,27,25,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,14,5,2
34,10,27,23,P2 NNOrasha,0,0,2,1,0,0,0,0,0,1,0,1,0,3,2,0,16,5,2
35,11,30,23,P1 Krebs1996,3,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,20,6,2
36,12,30,23,P2 NNOrasha,0,0,1,1,0,0,0,0,0,1,0,1,0,3,2,0,22,6,2
37,13,30,19,P1 Krebs1996,0,0,1,2,0,0,0,2,0,2,1,4,0,0,0,0,27,7,2
38,14,27,20,P2 NNOrasha,4,0,7,3,0,0,0,0,0,0,3,3,0,6,2,0,29,7,2
39,15,27,20,P1 Krebs1996,0,0,1,2,0,0,0,1,1,2,2,3,0,0,0,1,34,7,2
40,16,27,20,P2 NNOrasha,0,0,1,1,0,0,0,0,0,1,0,1,0,6,2,0,37,8,2
41,17,27,13,P1 Krebs1996,0,0,1,2,0,0,0,2,0,2,0,4,0,0,0,1,42,8,2
42,18,27,11,P2 NNOrasha,0,0,2,1,0,0,0,3,1,1,3,4,0,6,3,0,46,9,2
43,19,24,8,P1 Krebs1996,0,0,1,1,0,0,0,2,2,0,4,3,0,1,0,6,46,4,2
44,20,24,8,P2 NNOrasha,0,0,1,3,0,0,0,0,0,3,0,3,0,6,3,1,55,9,2
45,21,24,8,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,5,51,5,2
46,22,18,1,P2 NNOrasha,0,0,2,1,0,0,0,3,1,1,1,4,0,6,4,5,60,5,2
47,23,18,-2,P1 Krebs1996,0,0,1,1,0,0,0,2,1,0,7,3,0,2,0,6,55,4,2
48,1,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
49,2,30,30,P2 NNOrasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
