,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 NNStonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,3,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
3,4,30,30,P2 NNStonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
4,5,30,30,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,3,1
5,6,30,30,P2 NNStonekeep,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,4,3,1
6,7,30,27,P1 Krebs1996,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,2,5,2,1
7,8,30,25,P2 NNStonekeep,0,0,2,1,0,0,0,1,0,0,1,2,0,2,1,0,8,4,1
8,9,30,25,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,2,8,3,1
9,10,30,23,P2 NNStonekeep,0,0,2,1,0,0,0,1,0,0,2,2,0,3,2,0,13,5,1
10,11,30,23,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,13,5,1
11,12,26,25,P2 NNStonekeep,4,0,3,2,0,0,0,1,0,0,1,3,0,5,3,0,19,6,1
12,13,24,25,P1 Krebs1996,0,0,2,2,0,0,0,0,0,2,0,2,0,0,1,0,20,7,1
13,14,21,20,P2 NNStonekeep,0,0,3,2,0,0,0,1,0,0,2,3,0,7,4,0,26,7,1
14,15,16,17,P1 Krebs1996,0,0,2,2,0,0,0,0,0,1,1,2,0,1,2,0,28,8,1
15,16,16,15,P2 NNStonekeep,0,0,2,2,0,0,1,0,0,2,0,2,0,7,5,1,33,7,1
16,17,20,12,P1 Krebs1996,4,0,1,1,0,0,0,1,0,1,1,2,0,1,2,3,34,6,1
17,18,20,10,P2 NNStonekeep,0,0,2,1,0,1,0,1,0,1,2,2,0,7,6,0,42,9,1
18,19,20,10,P1 Krebs1996,0,0,1,2,0,0,0,0,1,1,3,2,0,2,2,1,43,9,1
19,20,20,10,P2 NNStonekeep,0,0,1,2,0,0,0,0,0,2,0,2,0,7,6,0,52,10,1
20,21,23,2,P1 Krebs1996,3,0,1,1,0,0,0,2,0,1,0,3,0,2,2,7,46,3,1
21,22,11,9,P2 NNStonekeep,7,0,3,2,0,0,0,6,0,0,3,8,0,9,6,1,61,9,1
22,23,12,9,P1 Krebs1996,3,0,2,1,0,0,0,1,0,1,1,2,0,2,3,3,53,7,1
23,24,-1,9,P2 NNStonekeep,0,0,1,2,0,0,0,5,0,2,1,7,0,9,6,0,71,10,1
24,1,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
25,2,30,30,P2 NNStonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
26,3,30,30,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,2
27,4,30,30,P2 NNStonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
28,5,30,30,P1 Krebs1996,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,5,3,2
29,6,30,30,P2 NNStonekeep,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,3,3,2
30,7,30,30,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,9,4,2
31,8,30,30,P2 NNStonekeep,0,0,1,2,0,0,0,0,0,1,0,2,0,2,0,0,8,4,2
32,9,30,30,P1 Krebs1996,0,0,1,1,0,0,0,1,0,1,1,2,0,0,0,1,13,4,2
33,10,30,30,P2 NNStonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,0,13,5,2
34,11,30,28,P1 Krebs1996,0,0,1,2,0,0,0,2,0,2,1,4,0,0,0,1,18,5,2
35,12,30,30,P2 NNStonekeep,2,0,1,1,0,0,0,0,0,0,1,1,0,3,0,0,19,6,2
36,13,30,20,P1 Krebs1996,0,0,1,1,0,0,0,3,0,1,0,4,0,0,0,2,23,5,2
37,14,30,24,P2 NNStonekeep,4,0,1,1,0,0,0,0,0,1,4,1,0,3,0,0,26,7,2
38,15,30,24,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,3,28,5,2
39,16,30,24,P2 NNStonekeep,0,0,1,1,0,0,1,0,0,1,0,1,0,3,0,0,34,8,2
40,17,30,24,P1 Krebs1996,0,0,1,1,0,0,0,1,0,0,2,2,0,1,0,3,34,6,2
41,18,30,22,P2 NNStonekeep,0,0,3,2,0,1,0,0,0,1,0,2,0,4,1,0,43,9,2
42,19,30,15,P1 Krebs1996,3,0,1,2,0,0,0,2,1,1,2,4,0,2,0,1,43,9,2
43,20,30,13,P2 NNStonekeep,0,0,2,1,0,0,0,0,0,1,0,1,0,4,2,3,50,7,2
44,21,30,10,P1 Krebs1996,0,0,1,2,0,0,0,1,0,2,0,3,0,2,0,1,52,9,2
45,22,30,8,P2 NNStonekeep,0,0,2,2,0,0,0,3,0,1,2,5,0,5,3,2,58,8,2
46,23,28,3,P1 Krebs1996,0,0,2,1,0,0,0,1,0,1,0,2,0,2,1,3,59,7,2
47,24,12,3,P2 NNStonekeep,0,0,1,2,0,0,0,4,1,1,2,6,0,6,3,0,68,10,2
48,25,12,-1,P1 Krebs1996,0,0,1,0,0,0,0,1,0,0,0,1,0,2,1,10,59,0,2
49,1,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
50,2,30,30,P2 NNStonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
51,3,30,30,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,3
52,4,30,28,P2 NNStonekeep,0,0,2,2,0,0,0,0,0,0,0,2,0,2,1,0,3,2,3
53,5,30,26,P1 Krebs1996,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,3,2,0,3
54,6,30,26,P2 NNStonekeep,0,0,1,1,0,0,0,0,0,0,1,1,0,3,1,0,6,3,3
55,7,30,26,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,6,4,3
56,8,30,28,P2 NNStonekeep,4,0,2,0,0,0,0,0,0,0,0,0,0,3,2,2,8,2,3
57,9,30,24,P1 Krebs1996,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,11,5,3
58,10,30,26,P2 NNStonekeep,4,0,4,1,0,0,0,0,0,0,0,1,0,4,3,0,13,5,3
59,11,30,16,P1 Krebs1996,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,2,15,4,3
60,12,30,14,P2 NNStonekeep,0,0,2,1,0,0,1,0,0,1,0,1,0,4,4,1,18,5,3
61,13,27,-1,P1 Krebs1996,0,0,1,1,0,0,0,3,1,0,1,4,0,1,0,3,19,4,3
62,1,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
63,2,30,30,P2 NNStonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
64,3,30,30,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,4
65,4,30,28,P2 NNStonekeep,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,1,2,2,4
66,5,30,25,P1 Krebs1996,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,3,2,0,4
67,6,30,23,P2 NNStonekeep,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,1,4,2,4
68,7,30,19,P1 Krebs1996,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,6,4,4
69,8,27,16,P2 NNStonekeep,0,0,1,1,0,0,0,0,0,0,2,1,0,2,2,0,8,4,4
70,9,27,16,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,11,5,4
71,10,27,18,P2 NNStonekeep,4,0,4,1,0,0,0,0,0,0,0,1,0,3,3,0,13,5,4
72,11,27,14,P1 Krebs1996,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,16,5,4
73,12,27,12,P2 NNStonekeep,0,0,2,1,0,0,1,0,0,1,0,1,0,3,4,1,18,5,4
74,13,30,12,P1 Krebs1996,3,0,1,2,0,0,0,2,2,2,3,4,0,0,0,0,23,7,4
75,14,30,10,P2 NNStonekeep,0,0,2,2,0,1,1,0,0,1,0,2,0,4,5,1,24,6,4
76,15,30,7,P1 Krebs1996,3,0,1,2,0,0,0,2,2,1,3,4,0,1,0,0,31,8,4
77,16,30,5,P2 NNStonekeep,0,0,2,1,0,1,0,0,0,1,0,1,0,4,6,0,32,8,4
78,17,28,5,P1 Krebs1996,0,0,2,2,0,0,0,0,0,2,0,2,0,1,1,2,38,7,4
79,18,24,5,P2 NNStonekeep,0,0,1,2,0,0,0,1,0,1,3,3,0,5,6,1,40,8,4
80,19,25,5,P1 Krebs1996,3,0,2,2,0,0,0,0,0,1,1,2,0,2,2,0,48,10,4
81,20,25,5,P2 NNStonekeep,0,0,1,2,0,0,0,1,0,2,1,3,0,5,6,0,50,10,4
82,21,25,5,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,1,1,0,2,2,4,54,6,4
83,22,17,3,P2 NNStonekeep,0,0,2,2,0,0,0,4,0,1,1,6,0,6,7,1,59,9,4
84,23,15,0,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,2,0,2,2,1,63,9,4
85,1,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
86,2,30,30,P2 NNStonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
87,3,30,30,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,5
88,4,30,30,P2 NNStonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,5
89,5,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,3,2,0,5
90,6,30,30,P2 NNStonekeep,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,6,3,5
91,7,28,30,P1 Krebs1996,0,0,2,1,0,0,0,0,0,1,0,1,0,0,1,0,6,4,5
92,8,25,27,P2 NNStonekeep,0,0,1,1,0,0,0,1,0,0,1,2,0,2,0,0,10,4,5
93,9,25,27,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,11,5,5
94,10,25,28,P2 NNStonekeep,3,0,2,0,0,0,0,0,0,0,0,0,0,2,1,3,12,2,5
95,11,22,21,P1 Krebs1996,0,0,1,1,0,0,0,1,0,0,1,2,0,1,1,2,15,4,5
96,12,22,21,P2 NNStonekeep,0,0,1,1,0,0,1,0,0,1,0,1,0,2,1,0,18,6,5
97,13,20,17,P1 Krebs1996,0,0,2,2,0,0,0,1,0,2,0,3,0,1,2,0,22,7,5
