,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,28,P2 NNThijs,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,1
2,3,30,28,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1
3,4,30,26,P2 NNThijs,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,1
4,5,30,26,P1 Krebs1996,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,3,2,0,1
5,6,30,26,P2 NNThijs,0,0,4,2,0,0,0,0,0,1,0,2,0,2,2,0,7,3,1
6,7,30,26,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,6,4,1
7,8,27,24,P2 NNThijs,0,0,2,1,0,0,0,1,0,1,0,2,0,2,3,0,11,4,1
8,9,24,17,P1 Krebs1996,0,0,1,1,0,0,0,1,0,0,2,2,0,1,0,1,10,4,1
9,10,24,17,P2 NNThijs,0,0,1,1,0,0,0,0,0,1,0,1,0,2,3,0,16,5,1
10,11,24,21,P1 Krebs1996,0,0,1,2,0,0,0,1,1,2,2,3,0,1,0,0,16,6,1
11,12,24,21,P2 NNThijs,0,0,1,2,0,0,0,0,0,1,0,2,0,3,3,0,22,6,1
12,13,27,20,P1 Krebs1996,3,0,1,1,0,0,0,2,0,0,1,3,0,2,0,1,22,6,1
13,14,27,20,P2 NNThijs,0,0,1,1,0,0,0,0,0,1,0,1,0,3,3,0,29,7,1
14,15,27,20,P1 Krebs1996,0,0,1,2,0,0,0,0,0,2,0,2,0,2,0,0,30,8,1
15,16,27,18,P2 NNThijs,0,0,2,1,0,0,0,1,0,1,1,2,0,3,4,0,37,8,1
16,17,28,13,P1 Krebs1996,3,0,2,1,0,0,0,4,1,1,3,5,0,2,1,2,37,7,1
17,18,28,11,P2 NNThijs,0,0,2,1,0,0,0,0,0,1,0,6,0,3,5,0,46,9,1
18,19,30,8,P1 Krebs1996,2,0,1,2,0,0,0,3,2,2,3,5,0,2,1,0,47,10,1
19,20,30,8,P2 NNThijs,0,0,1,4,0,0,0,0,1,4,1,5,0,3,5,0,56,10,1
20,21,30,0,P1 Krebs1996,0,0,1,0,0,0,0,2,0,0,0,2,0,2,1,10,47,0,1
21,1,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
22,2,30,28,P2 NNThijs,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,2
23,3,30,28,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
24,4,30,26,P2 NNThijs,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,2
25,5,30,26,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2
26,6,30,24,P2 NNThijs,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,1,6,2,2
27,7,30,24,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,4,4,2
28,8,30,22,P2 NNThijs,0,0,2,1,0,0,0,0,0,0,0,1,0,2,4,1,9,3,2
29,9,30,17,P1 Krebs1996,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,8,4,2
30,10,30,15,P2 NNThijs,0,0,2,0,0,0,0,0,0,0,0,0,0,2,5,3,11,2,2
31,11,30,8,P1 Krebs1996,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,1,13,5,2
32,12,27,3,P2 NNThijs,0,0,2,1,0,0,0,0,0,0,1,1,0,3,6,0,17,6,2
33,13,27,-1,P1 Krebs1996,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,7,13,0,2
34,1,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
35,2,30,30,P2 NNThijs,0,0,5,2,0,0,0,0,0,0,0,2,0,2,0,0,2,1,3
36,3,30,30,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,3
37,4,30,30,P2 NNThijs,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,0,4,2,3
38,5,30,28,P1 Krebs1996,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,3,2,0,3
39,6,27,28,P2 NNThijs,0,0,1,1,0,0,0,1,0,0,1,2,0,3,0,0,7,3,3
40,7,24,25,P1 Krebs1996,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,6,4,3
