,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 NNSlage,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,30,P1 Orasha,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1
3,4,30,30,P2 NNSlage,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,1
4,5,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,1
5,6,30,28,P2 NNSlage,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,4,2,1
6,7,30,28,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,1
7,8,30,28,P2 NNSlage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,8,4,1
8,9,30,28,P1 Orasha,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,4,2,1,1
9,10,26,30,P2 NNSlage,2,0,1,1,0,0,0,1,0,1,0,2,0,1,1,1,12,4,1
10,11,23,27,P1 Orasha,0,0,1,1,0,0,0,0,0,0,0,1,0,3,0,2,6,4,1
11,12,17,27,P2 NNSlage,0,0,1,1,0,0,0,2,0,1,0,3,0,1,1,2,16,4,1
12,13,17,27,P1 Orasha,0,0,1,1,0,0,0,0,0,1,3,1,0,3,0,0,13,7,1
13,14,17,27,P2 NNSlage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,23,7,1
14,15,17,27,P1 Orasha,0,0,1,1,0,0,0,1,1,1,1,2,0,3,0,0,21,8,1
15,16,17,27,P2 NNSlage,0,0,1,1,0,0,0,1,1,1,2,2,0,1,1,1,30,7,1
16,17,14,24,P1 Orasha,0,0,5,4,0,0,0,1,1,1,2,5,0,6,0,0,30,9,1
17,18,8,24,P2 NNSlage,0,0,1,1,0,0,0,1,0,1,0,2,0,1,1,7,32,2,1
18,19,0,24,P1 Orasha,0,0,1,0,0,0,0,0,2,0,8,0,0,6,0,10,30,0,1
19,1,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
20,2,30,30,P2 NNSlage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
21,3,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
22,4,30,28,P2 NNSlage,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2
23,5,30,28,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2
24,6,30,28,P2 NNSlage,0,0,8,3,0,0,0,0,0,1,0,3,0,2,1,0,6,3,2
25,7,30,28,P1 Orasha,0,0,1,2,0,0,0,0,0,1,1,2,0,1,0,1,3,3,2
26,8,30,28,P2 NNSlage,0,0,7,2,0,0,0,0,0,1,0,2,0,3,1,0,10,4,2
27,9,30,28,P1 Orasha,0,0,1,1,0,0,0,0,1,1,2,1,0,1,0,2,6,3,2
28,10,30,28,P2 NNSlage,0,0,1,2,0,0,0,0,0,1,0,2,0,4,1,0,15,5,2
29,11,30,28,P1 Orasha,0,0,1,2,0,0,0,0,0,1,0,2,0,2,0,0,12,6,2
30,12,30,28,P2 NNSlage,0,0,1,3,0,0,0,0,0,3,0,3,0,4,1,0,21,6,2
31,13,30,24,P1 Orasha,0,0,1,1,0,0,0,1,1,1,5,2,0,2,0,1,18,6,2
32,14,30,27,P2 NNSlage,3,0,1,1,0,0,0,0,0,0,1,1,0,5,1,1,27,6,2
33,15,30,23,P1 Orasha,0,0,1,2,0,0,0,1,0,2,0,3,0,2,0,0,26,8,2
34,16,27,20,P2 NNSlage,0,0,1,2,0,0,0,0,0,1,0,2,0,6,1,0,35,8,2
35,17,30,13,P1 Orasha,3,0,1,1,0,0,0,3,1,1,2,4,0,2,0,3,32,6,2
36,18,30,11,P2 NNSlage,0,0,2,0,0,0,0,0,0,0,0,0,0,6,2,7,37,2,2
37,19,30,-2,P1 Orasha,3,0,1,1,0,0,0,2,2,0,2,3,0,3,0,6,36,4,2
38,1,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
