,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 NNThijs,0,0,5,2,0,0,0,0,0,0,0,2,0,2,0,0,2,1,1
2,3,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
3,4,30,28,P2 NNThijs,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,4,2,1
4,5,30,28,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
5,6,30,28,P2 NNThijs,0,0,1,1,0,0,0,0,0,1,0,1,0,2,1,1,6,2,1
6,7,30,28,P1 Orasha,0,0,1,2,0,0,0,0,0,1,1,2,0,1,0,0,4,4,1
7,8,30,28,P2 NNThijs,0,0,1,1,0,0,0,0,0,0,1,1,0,3,1,1,9,3,1
8,9,30,28,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,9,5,1
9,10,30,30,P2 NNThijs,2,0,1,1,0,0,0,1,0,1,0,2,0,3,1,0,14,5,1
10,11,30,30,P1 Orasha,0,0,1,1,0,0,0,1,1,1,2,2,0,1,0,1,14,5,1
11,12,30,30,P2 NNThijs,0,0,1,1,0,0,0,0,0,1,0,1,0,3,1,1,19,5,1
12,13,30,30,P1 Orasha,0,0,1,3,0,0,0,1,0,1,1,4,0,3,0,0,21,7,1
13,14,30,30,P2 NNThijs,0,0,1,1,0,0,0,0,0,1,2,1,0,3,1,0,26,7,1
14,15,28,30,P1 Orasha,0,0,2,1,0,0,0,0,0,1,0,1,0,3,1,3,26,5,1
15,16,28,30,P2 NNThijs,0,0,1,1,0,0,0,1,0,1,0,2,0,3,1,1,33,7,1
16,17,28,30,P1 Orasha,0,0,1,2,0,0,0,0,0,1,0,2,0,4,1,2,33,7,1
17,18,24,28,P2 NNThijs,0,0,2,1,0,0,0,3,0,1,2,4,0,3,2,1,41,8,1
18,19,28,28,P1 Orasha,4,0,5,2,0,0,0,0,0,1,0,2,0,5,1,1,42,9,1
19,20,28,26,P2 NNThijs,0,0,2,2,0,0,0,0,0,2,0,2,0,3,3,0,51,10,1
20,21,28,26,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,5,1,3,49,7,1
21,22,28,26,P2 NNThijs,0,0,1,2,0,0,0,2,0,2,2,4,0,3,3,0,61,10,1
22,23,28,26,P1 Orasha,0,0,1,1,0,0,1,2,1,1,1,3,0,5,1,2,57,8,1
23,24,28,24,P2 NNThijs,0,0,2,2,0,0,0,2,2,2,3,4,0,3,4,0,71,10,1
24,25,28,24,P1 Orasha,0,0,1,2,0,1,0,0,0,2,0,2,0,5,1,2,65,8,1
25,26,-2,24,P2 NNThijs,0,0,1,1,0,0,0,6,1,1,2,7,0,3,4,1,80,9,1
26,1,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
